Licensed Component Carriers / E-UTRA Band / Harmonic order / Channel BW in UL,,,,,
Licensed Component Carriers,Harmonic order,5MHz,10MHz,15MHz,20MHz
1,3,+/- 15,+/- 23,+/- 35,+/- 45
2,3,+/- 15,+/- 23,+/- 35,+/- 45
3,3,+/- 15,+/- 23,+/- 35,+/- 45
4,3,+/- 15,+/- 23,+/- 35,+/- 45
5,7,+/- 10,+/- 20,,
71,2,+/- 15,+/- 25,+/- 38,+/- 50
8,6,+/- 10,+/- 20,,
11,4,+/- 15,+/- 25,,
12,8,+/- 10,+/- 20,,
13,7,+/- 10,+/- 20,,
19,7,+/- 10,+/- 20,+/- 30,
21,4,+/- 15,+/- 25,+/- 38,
25,3,+/- 15,+/- 23,+/- 35,+/- 45
26,7,+/- 10,+/- 20,+/- 30,
28,7,+/- 10,+/- 20,+/- 30,+/- 40
28,8,+/- 10,+/- 20,+/- 30,+/- 40
39,3,+/- 15,+/- 23,+/- 35,+/- 45
41,2,+/- 15,+/- 25,+/- 38,+/- 50
66,3,+/- 15,+/- 23,+/- 35,+/- 45
NOTE 1:Even though UL harmonic does not fall directly into Band 46 the exclusion region still applies.NOTE 2:The center of the exclusion region is obtained by multiplying the UL channel center frequency by the harmonic order.,,,,,
