E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,
E-UTRA Band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz,Duplex Mode
1,,,25,50,75,100,FDD
2,6,15,25,50,501,501,FDD
3,6,15,25,50,501,501,FDD
4,6,15,25,50,75,100,FDD
5,6,15,25,251,,,FDD
6,,,25,251,,,FDD
7,,,25,50,75,751,FDD
8,6,15,25,251,,,FDD
9,,,25,50,501,501,FDD
10,,,25,50,75,100,FDD
11,,,25,251,,,FDD
12,6,15,201,201,,,FDD
13,,,201,201,,,FDD
14,,,151,151,,,FDD
...,,,,,,,
17,,,201,201,,,FDD
18,,,25,251,251,,FDD
19,,,25,251,251,,FDD
20,,,25,201,203,203,FDD
21,,,25,251,251,,FDD
22,,,25,50,501,501,FDD
23,6,15,25,50,75,100,FDD
24,,,25,50,,,FDD
25,6,15,25,50,501,501,FDD
26,6,15,25,251,251,,FDD
27,6,15,25,251,,,FDD
28,,15,25,251,251,251,FDD
30,,,25,251,,,FDD
31,6,54,54,,,,FDD
…,,,,,,,
33,,,25,50,75,100,TDD
34,,,25,50,75,,TDD
35,6,15,25,50,75,100,TDD
36,6,15,25,50,75,100,TDD
37,,,25,50,75,100,TDD
38,,,25,50,75,100,TDD
39,,,25,50,75,100,TDD
40,,,25,50,75,100,TDD
41,,,25,50,75,100,TDD
42,,,25,50,75,100,TDD
43,,,25,50,75,100,TDD
44,,15,25,50,75,100,TDD
45,,,25,50,75,100,TDD
48,,,25,50,75,100,TDD
50,,15,25,50,75,100,TDD
51,,15,25,,,,TDD
52,,,25,50,75,100,TDD
53,6,15,25,50,,,
54,6,15,25,,,,TDD
…,,,,,,,
65,6,15,25,50,75,100,FDD
66,6,15,25,50,75,100,FDD
68,,,25,251,251,,FDD
…,,,,,,,
70,,,25,50,75,,FDD
71,,,25,251,201,201,FDD
72,6,54,54,,,,FDD
73,6,54,54,,,,FDD
74,6,15,25,251,251,251,FDD
85,,,201,201,,,FDD
87,6,54,54,,,,FDD
88,6,54,54,,,,FDD
"NOTE 1:1 refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 2:For the UE which supports both Band 11 and Band 21 the uplink configuration for reference sensitivity is FFS.NOTE 3:3 refers to Band 20; in the case of 15MHz channel bandwidth, the UL resource blocks shall be located at RBstart 11 and in the case of 20MHz channel bandwidth, the UL resource blocks shall be located at RBstart 16NOTE 4:4 refers to Bands 31, 72, 73, 87 and 88; in the case of 3 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 9 and in the case of 5 MHz channel bandwidth, the UL resource blocks shall be located at RBstart 10.",,,,,,,
