E-UTRA Band,Rx Parameter,Units,Channel bandwidth,,,,,
,,,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz
46,Power in Transmission Bandwidth Configuration,dBm,REFSENS + 14 dB,,,,,
,PInterferer,dBm,,,,REFSENS+45.5dB,,REFSENS +39.5dB
,BWInterferer,MHz,,,,20,,20
,FInterferer (offset),MHz,,,,15+0.0075/-15-0.0075,,20+0.0025/-20-0.0025
49,Power in Transmission Bandwidth Configuration,dBm,REFSENS + 14 dB,,,,,
,PInterferer,dBm,,,,REFSENS+45.5dB,,REFSENS+45.5dB
,BWInterferer,MHz,,,,10,,20
,FInterferer (offset),MHz,,,,10+0.0125/-10-0.0125,,20+0.0025/-20-0.0025
"NOTE 1:In a band capable of uplink operation, the transmitter shall be set to 4dB below PCMAX_L at the minimum uplink configuration specified in Table 7.3.1-2 with PCMAX_L as defined in subclause 6.2.5.NOTE 2:The interferer consists of the Reference measurement channel specified in Annex A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD/FS3 as described in Annex A.5.1.1/A.5.2.1/A.5.4.1 and set-up according to Annex C.3.1.",,,,,,,,
