CA configuration / CC combination / NRB_agg / Duplex mode,,,,,,,,,,,,,
Uplink CA configuration,100RB+25RB,,100RB+50RB,,75RB+75RB,,75RB+50RB,,100RB+75RB,,100RB+100RB,,Duplex Mode
,PCC,SCC,PCC,SCC,PCC,SCC,PCC,SCC,PCC,SCC,PCC,SCC,
CA_1C,N/A,N/A,N/A,N/A,75,54,N/A,N/A,N/A,N/A,100,30,FDD
CA_2C,50,0,50,0,50,0,50,0,50,0,50,0,FDD
CA_3C,50,0,50,0,N/A,N/A,N/A,N/A,50,0,50,0,FDD
CA_7C,N/A,N/A,75,0,75,0,75,0,75,0,75,0,FDD
CA_28C,25,0,25,0,25,0,25,0,N/A,N/A,N/A,N/A,FDD
CA_38C,N/A,N/A,N/A,N/A,75,75,N/A,N/A,N/A,N/A,100,100,TDD
CA_39C,100,25,100,50,N/A,N/A,N/A,N/A,100,75,N/A,N/A,TDD
CA_40C,N/A,N/A,100,50,75,75,N/A,N/A,100,75,100,100,TDD
CA_41C,100,25,100,50,75,75,75,50,100,75,100,100,TDD
CA_42C,100,25,100,50,N/A,N/A,N/A,N/A,100,75,100,100,TDD
CA_48C,100,25,100,50,N/A,N/A,N/A,N/A,100,75,100,100,TDD
CA_66C,100,25,100,50,75,75,75,50,100,75,100,100,FDD
"NOTE 1:The carrier centre frequency of SCC in the UL operating band is configured closer to the DL operating band.NOTE 2:The transmitted power over both PCC and SCC shall be set to PUMAX as defined in subclause 6.2.5A.NOTE 3:The UL resource blocks in both PCC and SCC shall be confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 4:The UL resource blocks in PCC shall be located as close as possible to the downlink operating band, while the UL resource blocks in SCC shall be located as far as possible from the downlink operating band.NOTE 5: In case a CA configuration consists of CC channel bandwidths which are unequal in bandwidth the PCC channel bandwidth shall be the larger one for reference sensitivity test.NOTE 6: Void.NOTE 7:Void",,,,,,,,,,,,,
