E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,
E-UTRA Band,1.4 MHz,3 MHz,5 MHz,10 MHz,15 MHz,20 MHz,Duplex Mode
2,6,15,25,361,361,361,FDD and HD-FDD
3,6,15,25,361,361,361,FDD and HD-FDD
4,6,15,25,361,361,361,FDD and HD-FDD
5,6,15,25,251,,,FDD and HD-FDD
8,6,15,25,251,,,FDD and HD-FDD
13,,,201,201,,,FDD and HD-FDD
20,,,25,201,202,202,FDD and HD-FDD
25,6,15,25,361,361,361,FDD and HD-FDD
26,6,15,25,251,251,,FDD and HD-FDD
28,,15,25,251,251,251,FDD and HD-FDD
39,,,25,361,361,361,TDD
40,,,25,361,361,361,TDD
41,,,25,361,361,361,TDD
111,6,101,101,101,,,FDD and HD-FDD
"NOTE 1:1 refers to the UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth (Table 5.6-1).NOTE 2:2 refers to Band 20; in the case of 15MHz channel bandwidth, the UL resource blocks shall be located at RBstart 11 and in the case of 20MHz channel bandwidth, the UL resource blocks shall be located at RBstart 16.",,,,,,,
