E-UTRA Band,Spurious emission,,,,,,
,Protected band,Frequency range (MHz),,,Maximum Level (dBm),MBW (MHz),NOTE
1,"E-UTRA Band 1, 3, 5, 7, 8, 11, 18, 19, 20, 21, 22, 26, 27, 28, 31, 32, 38, 40, 41, 42, 43, 44, 45, 50, 51, 52, 65, 67, 68, 69, 72, 73, 74, 75, 76, 87, 88NR Band n78, n79, n100, n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 34,FDL_low,-,FDL_high,-50,1,15
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,Frequency range,1880,,1895,-40,1,"15, 27"
,Frequency range,1895,,1915,-15.5,5,"15, 26, 27"
,Frequency range,1915,,1920,+1.6,5,"15, 26, 27, 44"
2,"E-UTRA Band 4, 5,  12, 13, 14, 17, 24, 26, 27, 28, 29, 30, 41, 42, 50, 51, 53, 54, 66, 70, 71, 74, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 2, 25",FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 43, 48NR Band n77",FDL_low,-,FDL_high,-50,1,2
3,"E-UTRA Band 1, 5, 7, 8, 11, 18, 19, 20, 21, 26, 27, 28, 31, 32, 33, 34, 38, 39, 40, 41, 43, 44, 45, 50, 51, 65, 67, 68, 69, 72, 73,74, 75, 76, 87, 88NR Band n79, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 3,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 22, 42, 52NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,,,,,,,
4,"E-UTRA Band 2, 4, 5, 7, 12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 41, 43, 48, 50, 51, 53, 66, 70, 71, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 42,NR Band n77",FDL_low,-,FDL_high,-50,1,2
5,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8, 12, 13, 14, 17, 24, 25, 28, 29, 30, 31, 34, 38, 40, 42, 43, 45, 48, 50, 51,  65, 66, 70, 71, 73, 74, 85, 103, 106NR Band n105",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 26,859,-,869,-27,1,
,"E-UTRA Band 41, 52, 53, 54NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 18, 19",FDL_low,-,FDL_high,-40,1,39
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,39
,,,,,,,
6,"E-UTRA Band 1, 9, 11, 34",FDL_low,-,FDL_high,-50,1,
,Frequency range,860,-,875,-37,1,
,Frequency range,875,-,895,-50,1,
,,,,,,,
,,,,,,,
7,"E-UTRA Band 1, 2, 3, 4, 5, 7, 8,  12, 13, 14, 17, 20, 22, 26, 27, 28, 29, 30, 31, 32, 33, 34, 40, 42, 43, 50, 51, 52, 65, 66, 67, 68, 72, 74, 75, 76, 85, 87, 88, 103NR Band n77, n78, n100, n101, n105",FDL_low,-,FDL_high,-50,1,
,NR Band n79,FDL_low,-,FDL_high,-50,1,2
,Frequency range,2570,-,2575,+1.6,5,"15, 21, 26"
,Frequency range,2575,-,2595,-15.5,5,"15, 21, 26"
,Frequency range,2595,-,2620,-40,1,"15, 21"
8,"E-UTRA Band 1, 20, 28, 31, 32, 33, 34, 38, 39, 40, 45, 50, 51, 54, 65, 67, 68, 69, 72, 73, 74, 75, 76, 87, 88NR Band n101, n105",FDL_low,-,FDL_high,-50,1,
,"E-UTRA band 3, 7, 22, 41, 42, 43, 52NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,2
,E-UTRA Band 8,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 11, 21",FDL_low,-,FDL_high,-50,1,23
,Frequency range,860,-,890,-40,1,"15, 23"
,,,,,,,
9,"E-UTRA Band 1, 3, 11, 18, 19, 21, 26, 28, 34",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 42,FDL_low,-,FDL_high,-50,1,2
,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
10,"E-UTRA Band 2, 4, 5, 10, 12, 13, 14, 17, 24, 25, 26, 27, 28, 29, 30, 41, 43, 54, 66, 70, 85, 103",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 22, 42,NR Band n77",FDL_low,-,FDL_high,-50,1,2
11,"E-UTRA Band 1, 3, 11, 18, 19, 21, 28, 34, 40, 42, 65NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,
,Frequency range,945,-,960,-50,1,
,,,,,,,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
12,"E-UTRA Band 2, 5, 13, 14, 17, 24, 25, 26, 27, 30, 41, 53, 54, 70, 71, 74, 103, 106",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 4, 48,  50, 51, 66NR Band n77",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 12, 85",FDL_low,-,FDL_high,-50,1,15
13,"E-UTRA Band 2, 4, 5,  12, 13, 17, 25, 26, 27, 29, 41, 48, 50, 51, 53, 54, 66, 70, 71, 74, 85, 103, 106",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 14,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 24, 30,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,Frequency range,769,-,775,-35,0.00625,15
,Frequency range,799,-,805,-35,0.00625,15
14,"E-UTRA Band 2, 4, 5,  12, 13, 14, 17, 23, 24, 25, 26, 27, 29, 30, 41, 48, 53, 54, 66, 70, 71, 85, 103 ,106",FDL_low,-,FDL_high,-50,1,
,NR Band n77,FDL_low,-,FDL_high,-50,1,2
,Frequency range,769,-,775,-35,0.00625,"12, 15"
,Frequency range,799,-,805,-35,0.00625,"12, 15"
17,"E-UTRA Band 2, 5, 13, 14, 17, 24, 25, 26, 27, 30, 41, 71, 74, 103",FDL_low,-,FDL_high,-50,1,
,"E-UTRA Band 4, 48, 50, 51, 53, 54, 66, 70,NR Band n77",FDL_low,-,FDL_high,-50,1,2
,"E-UTRA Band 12, 48, 85",FDL_low,-,FDL_high,-50,1,15
18,"E-UTRA Band 1, 3, 11, 21, 34, 40, 42, 65NR Band n79",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,758,-,799,-50,1,
,Frequency range,799,-,803,-40,1,15
,Frequency range,860,-,890,-40,1,
,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
19,"E-UTRA Band 1, 3, 11, 21, 28, 34, 40, 42, 65NR Band n79",FDL_low,-,FDL_high,-50,1,
,"NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
20,"E-UTRA Band 1, 3, 7, 8, 22, 31, 32, 33, 34, 40, 43, 50, 51, 65, 67, 68, 72, 74, 75, 76, 87, 88NR Band n100, n101",FDL_low,-,FDL_high,-50,1,
,E-UTRA Band 20,FDL_low,-,FDL_high,-50,1,15
,"E-UTRA Band 38, 42, 52, 69NR Band n77, n78",FDL_low,-,FDL_high,-50,1,2
,Frequency range,758,-,788,-50,1,
21,"E-UTRA Band 1, 3, 18, 19, 28, 34, 40, 42, 65NR Band n77, n78, n79",FDL_low,-,FDL_high,-50,1,
,Frequency range,945,-,960,-50,1,
,,,,,,,
,Frequency range,2545,-,2575,-50,1,
,Frequency range,2595,-,2645,-50,1,
