Channelbandwidth [MHz],Parameters,Region A,Region B,Region C,Region D
5,No A-MPR is needed for 5 MHz channel bandwidth,,,,
10,RBstart,0-13,0-17,≤ 6,≥12
,LCRB [RBs],> 36,33-36,≤ 32,≤ 32
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥44
,A-MPR [dB],≤ 4,≤ 3,≤ 3,≤ 3
15,RBstart,0-24,0-38,≤ 14,≥ 23
,LCRB [RBs],> 50,37-50,≤ 36,≤ 36
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥59
,A-MPR [dB],≤ 5,≤ 4,≤ 3,≤ 3
20,RBstart,0-35,0-51,≤ 21,≥ 31
,LCRB [RBs],> 64,49-64,≤ 48,≤ 48
,RBstart + LCRB [RBs],N/A,N/A,N/A,≥79
,A-MPR [dB],≤ 5,≤ 4,≤ 3,≤ 3
"NOTE 1;RBstart indicates the lowest RB index of transmitted resource blocksNOTE 2;LCRB is the length of a contiguous resource block allocationNOTE 3:For intra-subframe frequency hopping between two regions, notes 1 and 2 apply on a per slot basis. For intra-slot or intra-subslot frequency hopping between two regions, notes 1 and 2 apply on a per Tno_hopping basis.NOTE 4;For intra-subframe frequency hopping between two regions, the larger A-MPR value of the two regions may be applied for both slots in the subframe. For intra-slot frequency hopping between two regions, the larger A-MPR value may be applied for the slot. For intra-subslot frequency hopping between two regions, the larger A-MPR value may be applied for the subslot.",,,,,
