EUTRA band,Class 2(dBm),Tolerance(dB),Class 3 (dBm),Tolerance (dB),Class 5 (dBm),Tolerance (dB),Class 6 (dBm),Tolerance (dB)
1,,,23,±2,20,±2,14,±2.5
2,,,23,±22,20,±22,14,±2.5
3,,,23,±22,20,±22,14,±2.5
4,,,23,±2,20,±2,14,±2.5
5,,,23,±2,20,±2,14,±2.5
7,,,23,±22,20,±22,14,±2.5
8,,,23,±22,20,±22,14,±2.5
11,,,23,±2,20,±2,14,±2.5
12,,,23,±22,20,±22,14,±2.5
13,,,23,±2,20,±2,14,±2.5
14,,,23,±2,20,±2,14,±2.5
18,,,23,±25,20,±25,14,±2.5
19,,,23,±2,20,±2,14,±2.5
20,,,23,±22,20,±22,14,±2.5
21,,,23,±2,20,±2,14,±2.5
24,,,23,+2/-32,20,+2/-32,14,±2.5
25,,,23,±22,20,±2,14,±2.5
26,,,23,±22,20,±22,14,±2.5
27,,,23,±2,20,±2,14,±2.5
28,,,23,+2/-2.5,20,+2/-2.5,14,±2.5
31,267,±2,23,±2,20,±2,14,±2.5
…,,,,,,,,
39,,,23,±2,20,±2,14,±2.5
40,,,23,±22,20,±2,14,±2.5
41,,,23,±22,20,±22,14,±2.5
42,,,23,+2/-3,20,+2/-3,14,±2.5
43,,,23,+2/-3,20,+2/-3,14,±2.5
48,,,23,+2/-3,20,+2/-3,14,±2.5
…,,,,,,,,
54,,,23,+2/-3,20,+2/-3,14,±2.5
…,,,,,,,,
71,,,23,±2,20,±2,14,±2.5
72,267,±2,23,±2,20,±2,14,±2.5
73,,,23,±2,20,±2,14,±2.5
74,,,23,±2,20,±2,14,±2.5
85,,,23,±22,20,±22,14,±2.5
87,,,23,±2,20,±2,14,±2.5
88,,,23,±2,20,±2,14,±2.5
106,,,23,±2,20,±2,14,±2.5
111,,,23,±2,,,,
"NOTE 1:VoidNOTE 2:2 refers to the transmission bandwidths (Figure 5.6-1) confined within FUL_low and FUL_low + 4 MHz or FUL_high – 4 MHz and FUL_high, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dBNOTE 3:For the UE which supports both Band 11 and Band 21 operating frequencies, the tolerance is FFS.NOTE 4:PPowerClass is the maximum UE power specified without taking into account the toleranceNOTE 5:For a UE that supports both Band 18 and Band 26, the maximum output power requirement is relaxed by reducing the lower tolerance limit by 1.5 dB for transmission bandwidths confined within 815 MHz and 818 MHz.NOTE 6:VoidNOTE 7:Applicable for category M1 and M2 HD-FDD UE",,,,,,,,
