E-UTRA operating band combination,E-UTRA Band,"ΔTIB,c [dB]"
"CA_1-3-5-7, CA_1-3-3-5-7, CA_1-3-5-7-7",1,0.6
,3,0.6
,5,0.3
,7,0.6
CA_1-3-5-28,1,0.3
,3,0.3
,5,0.5
,28,0.6
CA_1-3-5-40,1,0.5
,3,0.5
,5,0.3
,40,0.5
CA_1-3-5-41,1,0.5
,3,0.5
,5,0.39
,41,0.57
,,0.88
"CA_1-3-7-8, CA_1-3-3-7-8, CA_1-3-7-7-8, CA_1-3-3-7-7-8",1,0.6
,3,0.6
,7,0.6
,8,0.6
"CA_1-3-7-20, CA_1-1-3-7-20, CA_1-3-3-7-20, CA_1-3-7-7-20",1,0.6
,3,0.6
,7,0.6
,20,0.3
"CA_1-3-7-26, CA_1-3-7-7-26",1,0.6
,3,0.6
,7,0.6
,26,0.3
"CA_1-3-7-28, CA_1-1-3-7-28, CA_1-1-3-3-7-28, CA_1-3-3-7-28, CA_1-3-7-7-28",1,0.6
,3,0.6
,7,0.6
,28,0.6
CA_1-3-7-32,1,0.6
,3,0.6
,7,0.6
"CA_1-3-7-38, CA_1-1-3-7-38, CA_1-3-3-7-38",1,0.6
,3,0.6
"CA_1-3-7-40, CA_1-3-7-40-40",1,0.6
,3,0.6
,7,0.8
,40,0.9
CA_1-3-7-42,1,0.7
,3,0.7
,7,0.7
,42,0.8
CA_1-3-7-46,1,0.6
,3,0.6
,7,0.6
CA_1-3-8-11,1,0.3
,3,0.8
,8,0.3
,11,0.9
CA_1-3-8-20,1,0.3
,3,0.3
,8,0.4
,20,0.4
CA_1-3-8-2810,1,0.3
,3,0.3
,8,0.6
,28,0.6
CA_1-3-8-38CA_1-3-3-8-38,1,0.5
,3,0.5
,8,0.3
,38,0.5
CA_1-3-8-40,1,0.5
,3,0.5
,8,0.3
,40,0.5
"CA_1-3-8-41,CA_1-3-8-41-41",1,0.5
,3,0.5
,8,0.3
,41,0.35
,,0.86
CA_1-3-8-42,1,0.6
,3,0.6
,8,0.6
,42,0.8
CA_1-3-11-28,1,0.3
,3,0.8
,11,0.9
,28,0.6
CA_1-3-18-42,1,0.6
,3,0.6
,18,0.3
,42,0.8
CA_1-3-19-21,1,0.3
,3,0.8
,19,0.3
,21,0.9
"CA_1-3-19-42, CA_1-3-3-19-21",1,0.6
,3,0.6
,19,0.3
,42,0.8
"CA_1-3-20-28, CA_1-1-3-20-28, CA_1-3-3-20-28",1,0.3
,3,0.3
,20,0.6
,28,0.6
CA_1-3-20-32,1,0.5
,3,0.5
,20,0.3
CA_1-3-20-38,1,0.3
,3,0.3
,20,0.3
,38,0.3
CA_1-3-20-42,1,0.6
,3,0.6
,20,0.3
,42,0.8
CA_1-3-20-43,1,0.3
,3,0.3
,20,0.3
,43,0.8
CA_1-3-21-28,1,0.3
,3,0.8
,21,0.9
,28,0.6
CA_1-3-21-42,1,0.6
,3,0.8
,21,0.9
,42,0.8
,1,0.3
CA_1-3-28-32,3,0.3
,28,0.7
,1,0.5
CA_1-3-28-38,3,0.5
,28,0.6
,38,0.5
CA_1-3-28-40,1,0.5
,3,0.5
,28,0.6
,40,0.5
CA_1-3-28-42,1,0.6
,3,0.6
,28,0.6
,42,0.8
CA_1-3-28-71,1,0.5
,3,0.5
,28,1.1
,71,1.1
CA_1-3-32-42,1,0.6
,3,0.6
,42,0.8
CA_1-3-32-43,1,0.5
,3,0.5
,43,0.8
