E-UTRA Band / Channel bandwidth / NRB / Duplex mode,,,,,,,,Source of IMD
EUTRA CAConfiguration,EUTRA band,UL Fc (MHz),UL/DL BW (MHz),UL CLRB,DL Fc (MHz),MSD (dB),Duplex mode,
CA_1A-3A,1,1950,5,25,2140,23,FDD,IMD3
,3,1760,5,25,1855,N/A,,N/A
CA_1A-8A,1,1965,5,25,2155,6,FDD,IMD4
,8,887.5,5,25,932.5,N/A,,N/A
CA_2A-4A,2,1860,20,502,1940,5,FDD,IMD3
,4,1752.5,5,25,2152.5,N/A,,N/A
CA_2A-4A,2,1868.3,5,25,1948.3,N/A,FDD,N/A
,4,1735,5,25,2135,5,,IMD5
CA_2A-46A,2,1880,5,25,1960,12.0,FDD,IMD34
,46,5720,20,100,5720,N/A,,N/A
CA_2A-48A,2,1852.5,5,25,1932.5,12,FDD,IMD4
,48,3625,20,100,3625,N/A,TDD,N/A
CA_2A-49A,2,1852.5,5,25,1932.5,12,FDD,IMD4
,49,3625,20,100,3625,N/A,TDD,N/A
CA_2A-66A,2,1855,5,25,1935,20,FDD,IMD3
,66,1775,5,25,2175,N/A,,N/A
CA_2A-66A,2,1883.3,5,25,1963.3,N/A,FDD,N/A
,66,1750,5,25,2150,4,,IMD5
CA_3A-5A,3,1771,10,50,1866,4,FDD,IMD4
,5,838,5,25,883,N/A,,N/A
CA_3A-5A,3,1721,10,50,1816,N/A,FDD,N/A
,5,838,5,25,883,24,,IMD24
CA_3A-7A,3,1730,5,25,1825,N/A,FDD,N/A
,7,2535,10,50,2655,13,,IMD4
CA_3A-8A,3,1755,10,50,1850,N/A,FDD,N/A
,8,900,5,25,945,8,,IMD44
CA_3A-8A,3,1747.5,10,50,1842.5,6.4,FDD,IMD5
,8,897.5,5,25,942.5,N/A,,N/A
CA_3A-18A,3,1721,5,25,1816,4,FDD,IMD4
,18,823,5,25,868,N/A,,N/A
CA_3A-19A,3,1771,5,25,1866,4,FDD,IMD4
,19,838,5,25,883,N/A,,N/A
CA_3A-19A,3,1721,5,25,1816,N/A,FDD,N/A
,19,838,5,25,883,27,,IMD24
CA_3A-20A,3,1775,5,25,1870,4,FDD,IMD4
,20,840,5,25,799,N/A,,N/A
CA_3A-20A,3,1735,5,25,1830,N/A,FDD,N/A
,20,847,5,25,806,9,,IMD4
CA_3A-26A,3,1771,5,25,1866,4,FDD,IMD4
,26,838,5,25,883,N/A,,N/A
CA_3A-26A,3,1721,5,25,1816,N/A,FDD,N/A
,26,838,5,25,883,26,,IMD24
CA_3A-38A,3,1713,5,25,1808,8.2,FDD,IMD4
,38,2617,5,25,2617,N/A,TDD,N/A
CA_3A-41A,3,1740,5,25,1835,8.2,FDD,IMD4
,41,2657.5,5,25,2657.5,N/A,TDD,N/A
CA_3A-42A,3,1740,5,25,1835,29.8,FDD,IMD24
,42,3575,5,25,3575,N/A,TDD,N/A
CA_3A-42A,3,1765,5,25,1860,8.0,FDD,IMD44
,42,3435,5,25,3435,N/A,TDD,N/A
CA_4A-5A,4,1721,5,25,2121,N/A,FDD,N/A
,5,838,5,25,883,26,,IMD24
CA_4A-7A,4,1730,5,25,2130,N/A,FDD,N/A
,7,2535,5,25,2655,15,,IMD4
CA_5A-7A,5,834,5,25,879,12,FDD,IMD34
,7,2547,10,50,2667,N/A,,N/A
CA_5A-66A,5,838,5,25,883,30,FDD,IMD24
,66,1721,5,25,2121,N/A,,N/A
CA_7A-20A,7,2512,10,50,2632,N/A,FDD,N/A
,20,851,5,25,810,12,,IMD34
CA_7A-40ACA_7A-40CCA_7A-40DCA_7A-40A-40A,7,2510,5,25,2630,23,FDD,IMD3
,40,2390,5,25,2390,N/A,TDD,N/A
CA_7A-26A,7,2556,5,25,2676,N/A,FDD-FDD,N/A
,26,837,5,25,882,16.0,,IMD3
,7,2567.5,5,25,2687.5,2.5,FDD-FDD,IMD5
,26,816.5,5,25,861.5,N/A,,N/A
CA_8A-20A,20,849.5,5,25,808.5,25,FDD,IMD34
,8,890.5,5,25,935.5,N/A,,N/A
,20,847.5,5,25,806.5,N/A,,N/A
,8,892.5,5,25,937.5,25,,IMD34
CA_8A-41A,8,882.5,5,25,927.5,12.1,FDD,IMD34
,41,2685,10,50,2685,N/A,TDD,N/A
CA_19A-42A3,19,N/A,N/A,N/A,N/A,N/A,FDD,N/A
