Channel BW,Carrier centre freq. (FC) (MHz),Parameter,Region,,,,,,,,
5 MHz,"1630.0, 1630.3","(WBindex, SCstart)","(0, <=3)","(0, <=27)","(0, =66)","(0, =93)","(0, =0)","(0, <= 18)","(0, =24)","(0, <=42)","(0, =66)"
,,Lcsc,"2,3","2,3","2,3","2,3",6,6,6,6,6
,,A-MPR [dB],≤4.5,≤4,≤5,≤4,≤4.5,≤3.5,≤2.5,≤1.5,≤1.5
,1635,No A-MPR needed,,,,,,,,,
,1649,,,,,,,,,,
,1654,,,,,,,,,,
10 MHz,1632.5,"(WBindex, SCstart)","(0, <=12)","(0, <=12)","(0, =48)","(0, <=6)","(0, =12)","(0, <=30)",N/A,N/A,N/A
,,Lcsc,2,3,3,6,6,6,N/A,N/A,N/A
,,A-MPR [dB],≤4,≤2,≤2,≤3,≤1,≤1.5,N/A,N/A,N/A
,1651.5,No A-MPR needed,,,,,,,,,
Note 1:WBindex is the wideband index that is defined in [4].,,,,,,,,,,,
"Note 2:Lcsc is the length of the continuous subcarrier, SCstart is the subcarrier offset relative to the first subcarrier of the first PRB of NB indicated with NBindex.",,,,,,,,,,,
