Channel bandwidth,,,,,,,
E-UTRA Band,1.4 MHz(dBm),3 MHz(dBm),5 MHz(dBm),10 MHz(dBm),15 MHz(dBm),20 MHz(dBm),Duplex Mode
1,,,-97.7,-97.7,-97.7,-97.7,FDD
2,-100.2,-97.2,-95.7,-95.7,-95.7,-95.7,FDD
3,-99.2,-96.2,-94.7,-94.7,-94.7,-94.7,FDD
4,-102.2,-99.2,-97.7,-97.7,-97.7,-97.7,FDD
5,-100.7,-97.7,-95.7,-95.7,,,FDD
7,,,-95.7,-95.7,-95.7,-95.7,FDD
8,-99.7,-96.7,-94.7,-94.7,,,FDD
11,,,-97.7,-97.7,,,
12,-99.2,-96.2,-94.7,-94.7,,,FDD
13,,,-94.2,-94.2,,,FDD
…,,,,,,,
18,,,-97.7,-97.7,-97.7,,FDD
19,,,-97.7,-97.7,-97.7,,FDD
20,,,-94.7,-94.7,-94.7,-94.7,FDD
21,,,-97.7,-97.7,-97.7,,FDD
24,,,-96.7,-96.7,,,FDD
25,-98.7,-95.7,-94.2,-94.2,-94.2,-94.2,FDD
26,-100.2,-97.2,-95.2,-95.2,-95.2,,FDD
27,-100.7,-97.7,-95.7,-95.7,,,FDD
28,,-97.7,-96.2,-96.2,-96.2,-96.2,FDD
31,-96.5,-93.2,-91.2,,,,FDD
…,,,,,,,
39,,,-97.7,-97.7,-97.7,-97.7,TDD
40,,,-97.7,-97.7,-97.7,-97.7,TDD
41,,,-95.7,-95.7,-95.7,-95.7,TDD
42,,,-96.7,-96.7,-96.7,-96.7,TDD
43,,,-96.7,-96.7,-96.7,-96.7,TDD
48,,,-96.5,-96.5,-96.5,-96.5,TDD
54,-103.7,-99.7,-97.7,,,,TDD
66,-101.7,-98.7,-97.2,-97.2,-97.2,-97.2,FDD
…,,,,,,,
71,,,-93.4,-93.4,-93.4,-93.4,FDD
72,-96.5,-92.5,-90.5,,,,FDD
73,-96.5,-92.5,-90.5,,,,FDD
85,,,-94.7,-94.7,,,FDD
87,-96.5,-92.5,-90.5,,,,FDD
88,-96.5,-92.5,-90.5,,,,FDD
106,-99.7,-96.7,,,,,FDD
111,-96.5,-93.7,-92,-92,,,FDD
"NOTE 1:The transmitter shall be set to PUMAX as defined in subclause 6.2.5NOTE 2:Reference measurement channel is A.3.2 with one sided dynamic OCNG Pattern OP.1 FDD/TDD as described in Annex A.5.1.1/A.5.2.1NOTE 3:For the UE which supports both Band 11 and Band 21 the reference sensitivity level is FFS.NOTE 4:For a UE that supports both Band 18 and Band 26, the reference sensitivity level for Band 26 applies for the applicable channel bandwidths.NOTE 5:The UL resource blocks shall be located as close as possible to the downlink operating band but confined within the transmission bandwidth configuration for the channel bandwidth.",,,,,,,
