CA Bandwidth Class C,Upper edge frequency [MHz],RBStart,LCRB [RBs],RBstart + LCRB [RBs],A-MPR per modulation [dB],,,
,,,,,QPSK,16QAM,64QAM,256QAM
25 RB / 100 RB,>=743 and < 748,0-25,100-125,,4,3,3,1
,,0-17,25-99,,4,3,3,1
,,0-26,1-8,<=32,3.5,3,1,N/A
,,18-52,70-99,,3,2,1,
,,0-22,9-24,<=41,2.5,1.5,N/A,
,748,0-25,100-125,,2.5,2,2,N/A
,,0-10,51-99,,2,2,2,
,,0-26,1-8,<=32,3.0,2.5,1.5,
,,11-52,87-99,,2,1,1,
,,0-22,9-25,<=41,2,1,N/A,
50 RB / 75 RB,>=743 and < 748,0-25,100-125,,4,3,3,1
,,0-15,39-99,,4,3,3,1
,,16-26,38-99,,3,2,2,N/A
,,0-26,1-12,<=35,3,2,1,
,,27-45,60-99,,2,2,1,
,,0-15,13-38,,2,1,1,
,748,0-25,100-125,,3,2,2,N/A
,,0-15,51-99,,3,2,2,
,,0-26,1-12,<=35,3,2,1,
,,16-26,72-99,,2,1,1,
,,0-8,13-50,,1.5,1.5,0.5,
50 RB / 100 RB,748,0-26,125-150,,4,3,3,1
,,0-17,34-124,,4,3,3,
,,18-28,34-124,,3,2,2,
,,0-35,1-12,<=35,3,2,1,N/A
,,29-40,70-124,,3,2,2,
,,0-20,13-33,,2,2,1,
,,41-60,75-124,,2,1,1,
75 RB / 75 RB,748,0-26,125-150,,4.5,3,3,1
,,0-3,72-124,,4.5,3,3,
,,4-30,51-124,,4,3,3,
,,0-3,51-71,,4,3,2,N/A
,,35-39,45-124,,3,2,2,
,,0-36,1-16,<=48,3,2,1,
,,43-51,45-124,,2,1,1,
,,0-25,40-50,,2,2,1,
,,0-28,18-36,,1.5,1.5,0.5,
