Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n257ADC_n1A-n257DDC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n1A-n257JDC_n1A-n257KDC_n1A-n257LDC_n1A-n257M,DC_n1A-n257ADC_n1A-n257DDC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n1A-n257JDC_n1A-n257K
DC_n1A-n258ADC_n1A-n258BDC_n1A-n258CDC_n1A-n258DDC_n1A-n258EDC_n1A-n258FDC_n1A-n258GDC_n1A-n258HDC_n1A-n258IDC_n1A-n258JDC_n1A-n258R2DC_n1A-n258R3DC_n1A-n258R4DC_n1A-n258R5DC_n1A-n258R6DC_n1A-n258R7DC_n1A-n258R8DC_n1A-n258R9DC_n1A-n258R10,DC_n1A-n258ADC_n1A-n258GDC_n1A-n258HDC_n1A-n258IDC_n1A-n258R2DC_n1A-n258R3DC_n1A-n258R4
DC_n1A-n258KDC_n1A-n258LDC_n1A-n258M,DC_n1A-n258A
DC_n2A-n257ADC_n2A-n257GDC_n2A-n257HDC_n2A-n257IDC_n2A-n257JDC_n2A-n257KDC_n2A-n257LDC_n2A-n257MDC_n2A-n257ODC_n2A-n257PDC_n2A-n257Q,DC_n2A-n257ADC_n2A-n257GDC_n2A-n257HDC_n2A-n257IDC_n2A-n257JDC_n2A-n257KDC_n2A-n257LDC_n2A-n257MDC_n2A-n257ODC_n2A-n257PDC_n2A-n257Q
DC_n2A-n258ADC_n2A-n258GDC_n2A-n258HDC_n2A-n258IDC_n2A-n258JDC_n2A-n258KDC_n2A-n258LDC_n2A-n258ODC_n2A-n258PDC_n2A-n258Q,DC_n2A-n258ADC_n2A-n258GDC_n2A-n258HDC_n2A-n258IDC_n2A-n258JDC_n2A-n258KDC_n2A-n258LDC_n2A-n258ODC_n2A-n258PDC_n2A-n258Q
DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n2A-n260JDC_n2A-n260KDC_n2A-n260LDC_n2A-n260MDC_n2A-n260ODC_n2A-n260PDC_n2A-n260QDC_n2A-n260R2DC_n2A-n260R3DC_n2A-n260R4DC_n2A-n260R5DC_n2A-n260R6DC_n2A-n260R7DC_n2A-n260R8DC_n2A-n260R9DC_n2A-n260R10,DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n2A-n260JDC_n2A-n260KDC_n2A-n260LDC_n2A-n260MDC_n2A-n260ODC_n2A-n260PDC_n2A-n260Q DC_n2A-n260R2DC_n2A-n260R3DC_n2A-n260R4
DC_n2(2A)-n260ADC_n2(2A)-n260GDC_n2(2A)-n260HDC_n2(2A)-n260IDC_n2(2A)-n260JDC_n2(2A)-n260KDC_n2(2A)-n260LDC_n2(2A)-n260M,DC_n2A-n260ADC_n2A-n260GDC_n2A-n260HDC_n2A-n260IDC_n2A-n260JDC_n2A-n260KDC_n2A-n260LDC_n2A-n260M
DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n2A-n261JDC_n2A-n261KDC_n2A-n261LDC_n2A-n261MDC_n2A-n261ODC_n2A-n261PDC_n2A-n261Q,DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261IDC_n2A-n261ODC_n2A-n261PDC_n2A-n261Q
DC_n2A-n261(2A)DC_n2A-n261(3A)DC_n2A-n261(4A)DC_n2A-n261(2G)DC_n2A-n261(2H)DC_n2A-n261(2I)DC_n2A-n261(A-G)DC_n2A-n261(A-H)DC_n2A-n261(A-I)DC_n2A-n261(A-J)DC_n2A-n261(A-K)DC_n2A-n261(A-L)DC_n2A-n261(G-H)DC_n2A-n261(H-I)DC_n2A-n261(G-I)DC_n2A-n261(A-G-H)DC_n2A-n261(A-G-I)DC_n2A-n261(2A-H)DC_n2A-n261(2A-G)DC_n2A-n261(2A-I)DC_n2A-n261(A-2G),DC_n2A-n261ADC_n2A-n261GDC_n2A-n261HDC_n2A-n261I
DC_n3A-n257A1DC_n3A-n257D1DC_n3A-n257G1DC_n3A-n257H1DC_n3A-n257I1,DC_n3A-n257ADC_n3A-n257DDC_n3A-n257GDC_n3A-n257HDC_n3A-n257I
