NR CA configuration,Uplink CA configuration,NR Band,,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n79A-n257A,CA_n79A-n257A,n79,,"40, 50, 60, 80, 100",0
,,n257,,"50, 100, 200, 400",
CA_n79A-n257D,CA_n79A-n257A,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257D,
CA_n79A-n257E,CA_n79A-n257A,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257E,
CA_n79A-n257F,CA_n79A-n257A,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257F,
CA_n79A-n257G,CA_n257GCA_n79A-n257A/G,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257G,
CA_n79A-n257H,CA_n257G/HCA_n79A-n257A/G/H,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257H,
CA_n79A-n257I,CA_n257G/H/ICA_n79A-n257A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257I,
CA_n79A-n257J,CA_n79A-n257A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257J,
CA_n79A-n257K,CA_n79A-n257A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257K,
CA_n79A-n257L,CA_n79A-n257A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257L,
CA_n79A-n257M,CA_n79A-n257A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n257,,CA_n257M,
CA_n79C-n257A,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,"50, 100, 200, 400",
CA_n79C-n257D,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257D,
CA_n79C-n257E,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257E,
CA_n79C-n257F,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257F,
CA_n79C-n257G,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257G,
CA_n79C-n257H,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257H,
CA_n79C-n257I,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257I,
CA_n79C-n257J,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257J,
CA_n79C-n257K,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257K,
CA_n79C-n257L,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257L,
CA_n79C-n257M,CA_n79A-n257A,n79,,CA_n79C,0
,,n257,,CA_n257M,
CA_n79A-n258A,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,"50, 100, 200, 400",
CA_n79A-n258B,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258B,
CA_n79A-n258C,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258C,
CA_n79A-n258D,CA_n79A-n258A/D,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258D,
CA_n79A-n258E,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258E,
CA_n79A-n258F,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258F,
CA_n79A-n258G,CA_n79A-n258A/G,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258G,
CA_n79A-n258H,CA_n79A-n258A/G/H,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258H,
CA_n79A-n258I,CA_n79A-n258A/G/H/I,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258I,
CA_n79A-n258J,CA_n79A-n258A/G/H/I/J,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258J,
CA_n79A-n258K,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258K,
CA_n79A-n258L,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258L,
CA_n79A-n258M,CA_n79A-n258A,n79,,"40, 50, 60, 80, 100",0
,,n258,,CA_n258M,
CA_n79C-n258A,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,"50, 100, 200, 400",
CA_n79C-n258G,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258G,
CA_n79C-n258H,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258H,
CA_n79C-n258I,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258I,
CA_n79C-n258J,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258J,
CA_n79C-n258K,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258K,
CA_n79C-n258L,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258L,
CA_n79C-n258M,CA_n79A-n258A,n79,,CA_n79C,0
,,n258,,CA_n258M,
CA_n79A-n259A,CA_n79A-n259A,n79,,"40, 50, 60, 80, 100",0
,,n259,,"50, 100, 200, 400",
CA_n79A-n259G,CA_n259GCA_n79A-n259A/G,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259G,,
CA_n79A-n259H,CA_n259G/HCA_n79A-n259A/G/H,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259H,,
CA_n79A-n259I,CA_n259G/H/ICA_n79A-n259A/G/H/I,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259I,,
CA_n79A-n259J,CA_n259G/H/I/JCA_n79A-n259A/G/H/I/J,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259J,,
CA_n79A-n259K,CA_n259G/H/I/J/KCA_n79A-n259A/G/H/I/J/K,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259K,,
CA_n79A-n259L,CA_n259G/H/I/J/K/LCA_n79A-n259A/G/H/I/J/K/L,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259L,,
CA_n79A-n259M,CA_n259G/H/I/J/K/L/MCA_n79A-n259A/G/H/I/J/K/L/M,n79,"40, 50, 60, 80, 100",,0
,,n259,CA_n259M,,
