EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A-3A-5A-7A_n28A-n78A,DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3A_n78ADC_5A_n28ADC_5A_n78ADC_7A_n28ADC_7A_n78A
DC_1A-3A-5A-7A_n40A-n77A,DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77ADC_5A_n40ADC_5A_n77ADC_7A_n40ADC_7A_n77A
DC_1A-3A-5A-7A_n40A-n77(2A),DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77ADC_5A_n40ADC_5A_n77ADC_7A_n40ADC_7A_n77A
DC_1A-3A-5A-7A-7A_n40A-n77A,DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77ADC_5A_n40ADC_5A_n77ADC_7A_n40ADC_7A_n77A
DC_1A-3A-5A-7A-7A_n40A-n77(2A),DC_1A_n40ADC_1A_n77ADC_3A_n40ADC_3A_n77ADC_5A_n40ADC_5A_n77ADC_7A_n40ADC_7A_n77A
DC_1A-3A-5A-7A_n40A-n78ADC_1A-3A-5A-7A_n40A-n78C,DC_1A_n40ADC_1A_n78ADC_3A_n40ADC_3A_n78ADC_5A_n40ADC_5A_n78ADC_7A_n40ADC_7A_n78A
DC_1A-3A-5A-7A-7A_n40A-n78ADC_1A-3A-5A-7A-7A_n40A-n78C,DC_1A_n40ADC_1A_n78ADC_3A_n40ADC_3A_n78ADC_5A_n40ADC_5A_n78ADC_7A_n40ADC_7A_n78A
DC_1A-3A-7A-8A_n7A-n78A,DC_1A_n7ADC_1A_n78ADC_3A_n7ADC_3A_n78ADC_7A_n7A4DC_7A_n78ADC_8A_n7ADC_8A_n78A
DC_1A-3A-7A-8A_n28A-n78A,DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3A_n78ADC_7A_n28ADC_7A_n78ADC_8A_n28ADC_8A_n78A
DC_1A-3A-7A-8A-32A_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78ADC_8A_n78A
DC_1A-3A-7A-8A-40A_n78ADC_1A-3A-7A-8A-40C_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78ADC_8A_n78ADC_40A_n78A
DC_1A-3A-7A-8A-40A_n78(2A)DC_1A-3A-7A-8A-40C_n78(2A),DC_1A_n78ADC_3A_n78ADC_7A_n78ADC_8A_n78ADC_40A_n78A
DC_1A-3A-7A-20A_n8A-n78A,DC_1A_n8ADC_1A_n78ADC_3A_n8ADC_3A_n78ADC_7A_n8ADC_7A_n78ADC_20A_n8ADC_20A_n78A
"DC_1A-3A-7A-20A-28A_n78A2,3,6,7",DC_1A_n78ADC_3A_n78ADC_7A_n78ADC_20A_n78ADC_28A_n78A
"DC_1A-3A-7A-20A_n28A-n78A2,3,6,7",DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3A_n78ADC_7A_n28ADC_7A_n78ADC_20A_n28ADC_20A_n78A
DC_1A-3A-7A-20A-32A_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78ADC_20A_n78A
DC_1A-3A-7A-20A-38A_n78A,DC_1A_n78ADC_3A_n78ADC_20A_n78A
DC_1A-3A-7A-20A_n38A-n78A,DC_1A_n78ADC_3A_n78ADC_20A_n78A
DC_1A-3A-7A-28A_n3A-n78ADC_1A-3A-7C-28A_n3A-n78A,DC_1A_n3ADC_3A_n3A4DC_7A_n3ADC_7C_n3ADC_28A_n3ADC_1A_n78ADC_3A_n78ADC_7A_n78ADC_7C_n78ADC_28A_n78A
DC_1A-3A-7A-28A_n5A-n40A,DC_1A_n5ADC_1A_n40ADC_3A_n5ADC_3A_n40ADC_7A_n5ADC_7A_n40ADC_28A_n5ADC_28A_n40A
DC_1A-3A-7A-28A_n5A-n78ADC_1A-3A-7C-28A_n5A-n78ADC_1A-3C-7A-28A_n5A-n78ADC_1A-3C-7C-28A_n5A-n78A,DC_1A_n5ADC_1A_n78ADC_3A_n5ADC_3A_n78ADC_3C_n78ADC_7A_n5ADC_7C_n5ADC_7A_n78ADC_7C_n78ADC_28A_n5ADC_28A_n78A
DC_1A-3A-7A-28A_n7A-n78ADC_1A-3C-7A-28A_n7A-n78A,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_7A_n7A4DC_28A_n7ADC_1A_n78ADC_3A_n78ADC_3C_n78ADC_7A_n78ADC_28A_n78A
DC_1A-3A-7A-28A_n38A-n78A,DC_1A_n78A8DC_3A_n78A8DC_28A_n78A8
DC_1A-3A-7A-28A_n40A-n78A,DC_1A_n40ADC_1A_n78ADC_3A_n40ADC_3A_n78ADC_7A_n40ADC_7A_n78ADC_28A_n40ADC_28A_n78A
DC_1A-3A-7A-32A_n28A-n78A,DC_1A_n28ADC_1A_n78ADC_3A_n28ADC_3A_n78ADC_7A_n28ADC_7A_n78A
DC_1A-3A-7A_n40A-n78A-n105A,DC_1A_n40ADC_1A_n78ADC_1A_n105ADC_3A_n40ADC_3A_n78ADC_3A_n105ADC_7A_n40ADC_7A_n78ADC_7A_n105A
