NR CA Band,NR Band
CA_n1-n3-n8-n77-n257,"n1, n3, n8, n77, n257"
CA_n1-n3-n28-n41-n257,"n1, n3, n28, n41, n257"
CA_n1-n3-n28-n77-n257,"n1, n3, n28, n77, n257"
CA_n1-n3-n28-n79-n257,"n1, n3, n28, n79, n257"
CA_n1-n3-n41-n77-n257,"n1, n3, n41, n77, n257"
CA_n1-n3-n41-n79-n257,"n1, n3, n41, n79, n257"
CA_n1-n3-n77-n79-n257,"n1, n3, n77, n79, n257"
CA_n1-n28-n41-n77-n257,"n1, n28, n41, n77, n257"
CA_n1-n28-n41-n79-n257,"n1, n28, n41, n79, n257"
CA_n1-n28-n77-n79-n257,"n1, n28, n77, n79, n257"
CA_n1-n41-n77-n79-n257,"n1, n41, n77, n79, n257"
CA_n3-n28-n41-n77-n257,"n3, n28, n41, n77, n257"
CA_n3-n28-n41-n79-n257,"n3, n28, n41, n79, n257"
CA_n3-n41-n77-n79-n257,"n3, n41, n77, n79, n257"
CA_n28-n41-n77-n79-n257,"n28, n41, n77, n79, n257"
