NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n2A-n257A,CA_n2A-n257A,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,"50, 100, 200, 400",
CA_n2A-n257G,CA_n2A-n257A/G,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257G,
CA_n2A-n257H,CA_n2A-n257A/G/H,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257H,
CA_n2A-n257I,CA_n2A-n257A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257I,
CA_n2A-n257J,CA_n2A-n257A/G/H/I/J,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257J,
CA_n2A-n257K,CA_n2A-n257A/G/H/I/J/K,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257K,
CA_n2A-n257L,CA_n2A-n257A/G/H/I/J/K/L,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257L,
CA_n2A-n257M,CA_n2A-n257A/G/H/I/J/K/L/M,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257M,
CA_n2A-n257O,CA_n2A-n257A/O,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257O,
CA_n2A-n257P,CA_n2A-n257A/O/P,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257P,
CA_n2A-n257Q,CA_n2A-n257A/O/P/Q,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n257,CA_n257Q,
CA_n2A-n258A,CA_n2A-n258A,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,"50, 100, 200, 400",
CA_n2A-n258G,CA_n2A-n258A/G,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258G,
CA_n2A-n258H,CA_n2A-n258A/G/H,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258H,
CA_n2A-n258I,CA_n2A-n258A/G/H/I,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258I,
CA_n2A-n258J,CA_n2A-n258A/G/H/I/J,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258J,
CA_n2A-n258K,CA_n2A-n258A/G/H/I/J/K,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258K,
CA_n2A-n258L,CA_n2A-n258A/G/H/I/J/K/L,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258L,
CA_n2A-n258M,CA_n2A-n258A/G/H/I/J/K/L/M,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258M,
CA_n2A-n258O,CA_n2A-n258A/O,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258O,
CA_n2A-n258P,CA_n2A-n258A/O/P,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258P,
CA_n2A-n258Q,CA_n2A-n258A/O/P/Q,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n258,CA_n258Q,
CA_n2A-n260A,CA_n2A-n260A,n2,"5, 10, 15, 20",0
,,n260,"50, 100, 200, 400",
CA_n2A-n260G,CA_n2A-n260A/G,n2,"5, 10, 15, 20",0
,,n260,CA_n260G,
CA_n2A-n260H,CA_n2A-n260A/G/H,n2,"5, 10, 15, 20",0
,,n260,CA_n260H,
CA_n2A-n260I,CA_n2A-n260A/G/H/I,n2,"5, 10, 15, 20",0
,,n260,CA_n260I,
CA_n2A-n260J,CA_n2A-n260A/G/H/I/J,n2,"5, 10, 15, 20",0
,,n260,CA_n260J,
CA_n2A-n260K,CA_n2A-n260A/G/H/I/J/K,n2,"5, 10, 15, 20",0
,,n260,CA_n260K,
CA_n2A-n260L,CA_n2A-n260A/G/H/I/J/K/L,n2,"5, 10, 15, 20",0
,,n260,CA_n260L,
CA_n2A-n260M,CA_n2A-n260A/G/H/I/J/K/L/M,n2,"5, 10, 15, 20",0
,,n260,CA_n260M,
CA_n2A-n260O,CA_n2A-n260A/O,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n260,CA_n260O,
CA_n2A-n260P,CA_n2A-n260A/O/P,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n260,CA_n260P,
CA_n2A-n260Q,CA_n2A-n260A/O/P/Q,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n260,CA_n260Q,
CA_n2A-n260R2,CA_n2A-n260A/R2,n2,"5, 10, 15, 20",0
,,n260,CA_n260R2,
CA_n2A-n260R3,CA_n2A-n260A/R2/R3,n2,"5, 10, 15, 20",0
,,n260,CA_n260R3,
CA_n2A-n260R4,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R4,
CA_n2A-n260R5,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R5,
CA_n2A-n260R6,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R6,
CA_n2A-n260R7,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R7,
CA_n2A-n260R8,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R8,
CA_n2A-n260R9,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R9,
CA_n2A-n260R10,CA_n2A-n260A/R2/R3/R4,n2,"5, 10, 15, 20",0
,,n260,CA_n260R10,
CA_n2(2A)-n260A,CA_n2A-n260A,n2,CA_n2(2A),0
,,n260,"50, 100, 200, 400",
CA_n2(2A)-n260G,CA_n2A-n260A/G,n2,CA_n2(2A),0
,,n260,CA_n260G,
CA_n2(2A)-n260H,CA_n2A-n260A/G/H,n2,CA_n2(2A),0
,,n260,CA_n260H,
CA_n2(2A)-n260I,CA_n2A-n260A/G/H/I,n2,CA_n2(2A),0
,,n260,CA_n260I,
CA_n2(2A)-n260J,CA_n2A-n260A/G/H/I/J,n2,CA_n2(2A),0
,,n260,CA_n260J,
CA_n2(2A)-n260K,CA_n2A-n260A/G/H/I/J/K,n2,CA_n2(2A),0
,,n260,CA_n260K,
CA_n2(2A)-n260L,CA_n2A-n260A/G/H/I/J/K/L,n2,CA_n2(2A),0
,,n260,CA_n260L,
CA_n2(2A)-n260M,CA_n2A-n260A/G/H/I/J/K/L/M,n2,CA_n2(2A),0
,,n260,CA_n260M,
CA_n2A-n261A,CA_n2A-n261A,n2,"5, 10, 15, 20",0
,,n261,"50, 100, 200, 400",
CA_n2A-n261G,CA_n2A-n261A/G,n2,"5, 10, 15, 20",0
,,n261,CA_n261G,
CA_n2A-n261H,CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261H,
CA_n2A-n261I,CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261I,
CA_n2A-n261J,CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261J,
CA_n2A-n261K,CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261K,
CA_n2A-n261L,CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261L,
CA_n2A-n261M,CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261M,
CA_n2A-n261O,CA_n2A-n261A/O,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n261,CA_n261O,
CA_n2A-n261P,CA_n2A-n261A/O/P,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n261,CA_n261P,
CA_n2A-n261Q,CA_n2A-n261A/O/P/Q,n2,"5, 10, 15, 20, 25, 30, 35, 40",0
,,n261,CA_n261Q,
CA_n2A-n261(2A),CA_n2A-n261A,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2A),
CA_n2A-n261(2G),CA_n2A-n261A/G,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2G),
CA_n2A-n261(2H),CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2H),
CA_n2A-n261(2I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2I),
CA_n2A-n261(3A),CA_n2A-n261A,n2,"5, 10, 15, 20",0
,,n261,CA_n261(3A),
CA_n2A-n261(4A),CA_n2A-n261A,n2,"5, 10, 15, 20",0
,,n261,CA_n261(4A),
CA_n2A-n261(A-G),CA_n2A-n261A/G,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-G),
CA_n2A-n261(A-H),CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-H),
CA_n2A-n261(A-I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-I),
CA_n2A-n261(A-J),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-J),
CA_n2A-n261(A-K),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-K),
CA_n2A-n261(A-L),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-L),
CA_n2A-n261(G-H),CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261(G-H),
CA_n2A-n261(H-I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(H-I),
CA_n2A-n261(G-I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(G-I),
CA_n2A-n261(A-G-H),CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-G-H),
CA_n2A-n261(A-G-I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-G-I),
CA_n2A-n261(2A-H),CA_n2A-n261A/G/H,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2A-H),
CA_n2A-n261(2A-G),CA_n2A-n261A/G,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2A-G),
CA_n2A-n261(2A-I),CA_n2A-n261A/G/H/I,n2,"5, 10, 15, 20",0
,,n261,CA_n261(2A-I),
CA_n2A-n261(A-2G),CA_n2A-n261A/G,n2,"5, 10, 15, 20",0
,,n261,CA_n261(A-2G),
