NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n40A-n257A,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,"50, 100, 200, 400",
CA_n40A-n257D,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257D,
CA_n40A-n257E,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257E,
CA_n40A-n257F,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257F,
CA_n40A-n257G,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257G,
CA_n40A-n257H,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257H,
CA_n40A-n257I,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257I,
CA_n40A-n257J,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257J,
CA_n40A-n257K,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257K,
CA_n40A-n257L,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257L,
CA_n40A-n257M,CA_n40A-n257A,n40,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257M,
CA_n40B-n257A,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,"50, 100, 200, 400",
CA_n40B-n257D,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257D,
CA_n40B-n257E,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257E,
CA_n40B-n257F,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257F,
CA_n40B-n257G,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257G,
CA_n40B-n257H,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257H,
CA_n40B-n257I,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257I,
CA_n40B-n257J,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257J,
CA_n40B-n257K,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257K,
CA_n40B-n257L,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257L,
CA_n40B-n257M,CA_n40BCA_n40A-n257A,n40,CA_n40B,0
,,n257,CA_n257M,
CA_n40A-n258A,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,"50, 100, 200, 400",
CA_n40A-n258B,CA_n40A-n258A,n40,"5, 10, 15, 20",0
,,n258,CA_n258B,
CA_n40A-n258C,CA_n40A-n258A,n40,"5, 10, 15, 20",0
,,n258,CA_n258C,
CA_n40A-n258D,CA_n40A-n258A,n40,"5, 10, 15, 20",0
,,n258,CA_n258D,
CA_n40A-n258E,CA_n40A-n258A,n40,"5, 10, 15, 20",0
,,n258,CA_n258E,
CA_n40A-n258F,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258F,
CA_n40A-n258G,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258G,
CA_n40A-n258H,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258H,
CA_n40A-n258I,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258I,
CA_n40A-n258J,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258J,
CA_n40A-n258K,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258K,
CA_n40A-n258L,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258L,
CA_n40A-n258M,CA_n40A-n258A,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,n258,CA_n258M,
