EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A_n1A-n41A,DC_1A_n1A2DC_1A_n41A
DC_1A_n1A-n78A,DC_1A_n1A2DC_1A_n78A
DC_1A-3A_n1A,DC_1A_n1A2DC_3A_n1A
DC_1A-3A-3A_n1A,DC_1A_n1A2DC_3A_n1A
DC_1A-3A_n3A,DC_1A_n3ADC_3A_n3A2
DC_1A-(n)3AADC_1A-(n)3CA,DC_1A_n3ADC_3A_n3A2DC_(n)3AA2
DC_1A-3A_n5ADC_1A-3C_n5A,DC_1A_n5ADC_3A_n5A
DC_1A-3A_n7ADC_1A-3A_n7BDC_1A-3C_n7ADC_1A-3C_n7B,DC_1A_n7ADC_3A_n7ADC_3C_n7A
DC_1A-1A-3A_n7ADC_1A-1A-3A_n7BDC_1A-1A-3C_n7ADC_1A-1A-3C_n7B,DC_1A_n7ADC_3A_n7ADC_3C_n7A
DC_1A-3A-3A_n7ADC_1A-3A-3A_n7B,DC_1A_n7ADC_3A_n7A
DC_1A-1A-3A-3A_n7ADC_1A-1A-3A-3A_n7B,DC_1A_n7ADC_3A_n7A
DC_1A-3A_n8A,DC_1A_n8ADC_3A_n8A
DC_1A-3A-3A_n8A,DC_1A_n8ADC_3A_n8A
DC_1A-3A_n26ADC_1A-3C_n26A,DC_1A_n26ADC_3A_n26A
DC_1A-3A_n28ADC_1A-3C_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28A
DC_1A-1A-3A_n28ADC_1A-1A-3C_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28A
DC_1A_n3A-n28A,DC_1A_n3ADC_1A_n28A
DC_1A-3A_n38A,DC_1A_n38ADC_3A_n38A
DC_1A_n3A-n38A,DC_1A_n3ADC_1A_n38A
DC_1A-3A_n40ADC_1A-3C_n40A,DC_1A_n40ADC_3A_n40A
"DC_1A-3A_n41A5, 14DC_1A-3C_n41A14",DC_1A_n41A14DC_3A_n41A14DC_3C_n41A14
DC_1A-3A-3A_n41A,DC_1A_n41ADC_3A_n41A
DC_1A_n3A-n41A5,DC_1A_n3ADC_1A_n41A
DC_1A-3A_n71ADC_1A-3A_n71BDC_1A-3C_n71A,DC_1A_n71ADC_3A_n71A
"DC_1A-3A_n77A5, 14DC_1A-3A_n77C5DC_1A-3C_n77A5,14",DC_1A_n77A14DC_3A_n77A14DC_3C_n77A
"DC_1A-3A_n77(2A)5,14DC_1A-3C_n77(2A)5,14",DC_1A_n77A14DC_3A_n77A14DC_3C_n77A
"DC_1A-3A_n77(3A)5,14",DC_1A_n77A14DC_3A_n77A14
"DC_1A-3A_n78A5,14DC_1A-3A_n78C5DC_1A-3C_n78A5,14",DC_1A_n78A14DC_3A_n78A14DC_3C_n78A
"DC_1A-3A_n78(2A)5, 14DC_1A-3C_n78(2A)5, 14",DC_1A_n78A14DC_3A_n78A14DC_3C_n78A
DC_1A-3A_n78(A-C)5,DC_1A_n78ADC_3A_n78A
DC_1A-1A-3A_n78ADC_1A-1A-3C_n78A,DC_1A_n78ADC_3A_n78ADC_3C_n78A
DC_1A-1A-3A-3A_n78A,DC_1A_n78ADC_3A_n78A
DC_1A-3A-3A_n78A14,DC_1A_n78A14DC_3A_n78A14
DC_1A_n3A-n8A,DC_1A_n3A DC_1A_n8A
DC_1A_n3A-n75A,DC_1A_n3A
"DC_1A_n3A-n77A5, 14",DC_1A_n3ADC_1A_n77A14
"DC_1A_n3A-n77(2A) 5,14",DC_1A_n3ADC_1A_n77A14
DC_1A_n3A-n78A5,DC_1A_n3ADC_1A_n78A
DC_1A_n3A-n78(2A)5,DC_1A_n3ADC_1A_n78A
DC_1A_n3A-n79A14,DC_1A_n3ADC_1A_n79A14
"DC_1A-3A_n79A5,14DC_1A-3A_n79C5",DC_1A_n79A14DC_3A_n79A14
DC_1A-3A_n105A,DC_1A_n105ADC_3A_n105A
DC_1A-5A_n3A,DC_1A_n3ADC_5A_n3A
DC_1A-5A_n28A,DC_1A_n28ADC_5A_n28A
DC_1A-5A_n40A,DC_1A_n40ADC_5A_n40A
DC_1A_n5A-n40A,DC_1A_n5ADC_1A_n40A
DC_1A-5A_n77A,DC_1A_n77ADC_5A_n77A
DC_1A-5A_n77(2A)DC_1A-5A_n77(3A),DC_1A_n77ADC_5A_n77A
DC_1A-5A_n78A5 DC_1A-5A_n78C5,DC_1A_n78ADC_5A_n78A
DC_1A-5A_n78(2A)5DC_1A-5A_n78(A-C)5,DC_1A_n78ADC_5A_n78A
DC_1A-1A-5A_n78A,DC_1A_n78ADC_5A_n78A
DC_1A-5A_n79A,DC_1A_n79ADC_5A_n79A
DC_1A_n5A-n78A5,DC_1A_n5ADC_1A_n78A
DC_1A-7A_n1A,DC_1A_n1ADC_7A_n1A
DC_1A-7A_n3ADC_1A-7C_n3A,DC_1A_n3ADC_7A_n3ADC_7C_n3A
DC_1A-7A_n5ADC_1A-7C_n5A,DC_1A_n5ADC_7A_n5ADC_7C_n5A
DC_1A-7A_n7A,DC_1A_n7ADC_7A_n7A2
DC_1A-1A-7A_n7A,DC_1A_n7ADC_7A_n7A2
DC_1A-(n)7AA,DC_1A_n7A
DC_1A-7A_n8A,DC_1A_n8ADC_7A_n8A
DC_1A-7A-7A_n8A,DC_1A_n8ADC_7A_n8A
DC_1A-7A_n20A,DC_1A_n20ADC_7A_n20A
DC_1A-7A_n26ADC_1A-7C_n26A,DC_1A_n26ADC_7A_n26ADC_7C_n26A
DC_1A-7A_n28A5DC_1A-7C_n28A5,DC_1A_n28ADC_7A_n28ADC_7C_n28A
DC_1A-1A-7A_n28A,DC_1A_n28ADC_7A_n28A
DC_1A-7A-7A_n28A,DC_1A_n28ADC_7A_n28A
DC_1A-7A_n40A,DC_1A_n40ADC_7A_n40A
DC_1A-7A-7A_n40A,DC_1A_n40ADC_7A_n40A
DC_1A-7A_n77A,DC_1A_n77ADC_7A_n77A
DC_1A-7A_n77(2A)DC_1A-7A_n77(3A),DC_1A_n77ADC_7A_n77A
DC_1A-7A-7A_n77A,DC_1A_n77ADC_7A_n77A
DC_1A-7A-7A_n77(2A)DC_1A-7A-7A_n77(3A),DC_1A_n77ADC_7A_n77A
"DC_1A-7A_n78A5,14DC_1A-7C_n78A5DC_1A-7A_n78C5",DC_1A_n78A14DC_7A_n78A14DC_7C_n78A
DC_1A-7A_n78(2A)5DC_1A-7C_n78(2A)5DC_1A-7A_n78(A-C)5,DC_1A_n78ADC_7A_n78ADC_7C_n78A
DC_1A-1A-7A_n78A,DC_1A_n78ADC_7A_n78A
"DC_1A-7A-7A_n78A5,14DC_1A-7A-7A_n78C5",DC_1A_n78A14DC_7A_n78A14
DC_1A-7A-7A_n78(2A)5DC_1A-7A-7A_n78(A-C)5,DC_1A_n78ADC_7A_n78A
DC_1A_n7A-n78ADC_1A_n7B-n78A,DC_1A_n7ADC_1A_n78A
DC_1A_n7A-n78(2A),DC_1A_n7ADC_1A_n78A
DC_1A-7A_n105A,DC_1A_n105ADC_7A_n105A
DC_1A-8A_n1A,DC_1A_n1A1DC_8A_n1A
DC_1A-8A_n3A,DC_1A_n3ADC_8A_n3A
DC_1A-8B_n3A,DC_1A_n3ADC_8A_n3A
DC_1A-8A_n7A,DC_8A_n7A DC_1A_n7A
DC_1A-8A_n20A,DC_1A_n20ADC_8A_n20A
DC_1A-8A_n28A,DC_1A_n28ADC_8A_n28A
DC_1A-8A_n40A,DC_1A_n40ADC_8A_n40A
DC_1A_n8A-n40A,DC_1A_n8ADC_1A_n40A
DC_1A-8A_n41A,DC_1A_n41ADC_8A_n41A
DC_1A-8A_n71A,DC_1A_n71ADC_8A_n71A
"DC_1A-8A_n77A5,14",DC_1A_n77A14DC_8A_n77A14
DC_1A-8B_n77A5,DC_1A_n77ADC_8A_n77A
"DC_1A-8A_n77(2A)5,14",DC_1A_n77A14DC_8A_n77A14
DC_1A-8B_n77(2A)5,DC_1A_n77ADC_8A_n77A
DC_1A_n8A-n77A,DC_1A_n8ADC_1A_n77A
DC_1A_n8A-n77(2A),DC_1A_n8ADC_1A_n77A
"DC_1A-8A_n77(3A)5,14",DC_1A_n77A14DC_8A_n77A14
"DC_1A-8A_n78A5,14DC_1A-8B_n78A5",DC_1A_n78A14DC_8A_n78A14DC_8B_n78A
"DC_1A-8A_n78(2A)5,14",DC_1A_n78A14DC_8A_n78A14
"DC_1A_n8A-n78A5,14",DC_1A_n8ADC_1A_n78A14
"DC_1A-8A_n79A5,14",DC_1A_n79A14DC_8A_n79A14
DC_1A-11A_n3A,DC_1A_n3ADC_11A_n3A
DC_1A-11A_n28A,DC_1A_n28ADC_11A_n28A
DC_1A-11A_n41A5,DC_1A_n41ADC_11A_n41A
"DC_1A-11A_n77A5,14",DC_1A_n77A14DC_11A_n77A
