EN-DCconfiguration,Uplink EN-DC configuration(note 1),Single UL allowed
DC_(n)3AADC_(n)3CA,DC_(n)3AA6,Yes6
DC_(n)5AA,DC_(n)5AA6,Yes6
DC_(n)7AA,DC_(n)7AA6,Yes6
DC_(n)8AA,DC_(n)8AA6,Yes6
DC_(n)12AA,DC_(n)12AA6,Yes6
DC_(n)38AA,DC_(n)38AA6,Yes6
DC_(n)40AA7DC_(n)40CA7DC_(n)40DA7,"DC_(n)40AA6,7","Yes3,6"
DC_(n)41AADC_(n)41ABDC_(n)41CADC_(n)41DA,DC_(n)41AA,Yes3
DC_(n)48AA,DC_(n)48AA6,Yes6
DC_48A-(n)48AA,DC_(n)48AA6,Yes6
DC_(n)48CA,DC_(n)48AA6,Yes6
DC_(n)48DA,DC_(n)48AA6,Yes6
DC_(n)66AA,DC_(n)66AA6,Yes
DC_66A-(n)66AA,DC_(n)66AA6,Yes6
DC_(n)71AA,DC_(n)71AA10,No4
"NOTE 1:Uplink EN-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Requirements in this specification apply for NR SCS of 15 kHz only.NOTE 3:Single UL allowed due to potential emission issues, not self-interference.NOTE 4:For UE(s) supporting dynamic power sharing it is mandatory to do dual simultaneous UL. For UE(s) not supporting dynamic power sharing single UL is allowed.NOTE 5:For TDD bands, the minimum requirements only apply for non-simultaneous Rx/Tx between all carriers.NOTE 6:Only single switched UL is supportedNOTE 7:The PC2 Uplink EN-DC configuration supported in Table 6.2B.1.1-1 is applicable to the same EN-DC configuration.NOTE 8:The PC1.5 Uplink EN-DC configuration supported in Table 6.2B.1.1-1 is applicable to the same EN-DC configuration.NOTE 9:The UE does not include the intraBandENDC-Support and intraBandENDC-Support-UL (absent) for these configurations if supported.NOTE 10:Uplink DC_(n)71AA is not applicable to BCS2.",,
