NE-DC configuration,Uplink NE-DC configuration (NOTE 1)
DC_n3A-n8A-n257A_1ADC_n3A-n8A-n257G_1ADC_n3A-n8A-n257H_1ADC_n3A-n8A-n257I_1ADC_n3A-n8A-n257J_1ADC_n3A-n8A-n257K_1ADC_n3A-n8A-n257L_1ADC_n3A-n8A-n257M_1A,DC_n3A_1ADC_n8A_1ADC_n257A_1A
DC_n3A-n8A-n257A_1ADC_n3A-n8A-n257G_1ADC_n3A-n8A-n257H_1ADC_n3A-n8A-n257I_1ADC_n3A-n8A-n257J_1ADC_n3A-n8A-n257K_1ADC_n3A-n8A-n257L_1ADC_n3A-n8A-n257M_1A,DC_n3A_1ADC_n8A_1ADC_n257A_1A
DC_n8A-n77A-n257A_1ADC_n8A-n77A-n257G_1ADC_n8A-n77A-n257H_1ADC_n8A-n77A-n257I_1ADC_n8A-n77A-n257J_1ADC_n8A-n77A-n257K_1ADC_n8A-n77A-n257L_1ADC_n8A-n77A-n257M_1A,DC_n8A_1ADC_n77A_1ADC_n257A_1A
DC_n8A-n77(2A)-n257A_1ADC_n8A-n77(2A)-n257G_1ADC_n8A-n77(2A)-n257H_1ADC_n8A-n77(2A)-n257I_1ADC_n8A-n77(2A)-n257J_1ADC_n8A-n77(2A)-n257K_1ADC_n8A-n77(2A)-n257L_1ADC_n8A-n77(2A)-n257M_1A,DC_n8A_1ADC_n77A_1ADC_n257A_1A
DC_n8A-n77A-n257A_3ADC_n8A-n77A-n257G_3ADC_n8A-n77A-n257H_3ADC_n8A-n77A-n257I_3ADC_n8A-n77A-n257J_3ADC_n8A-n77A-n257K_3ADC_n8A-n77A-n257L_3ADC_n8A-n77A-n257M_3A,DC_n8A_3ADC_n77A_3ADC_n257A_3A
DC_n8A-n77(2A)-n257A_3ADC_n8A-n77(2A)-n257G_3ADC_n8A-n77(2A)-n257H_3ADC_n8A-n77(2A)-n257I_3ADC_n8A-n77(2A)-n257J_3ADC_n8A-n77(2A)-n257K_3ADC_n8A-n77(2A)-n257L_3ADC_n8A-n77(2A)-n257M_3A,DC_n8A_3ADC_n77A_3ADC_n257A_3A
DC_n3A-n257A_1A-8ADC_n3A-n257G_1A-8ADC_n3A-n257H_1A-8ADC_n3A-n257I_1A-8ADC_n3A-n257J_1A-8ADC_n3A-n257K_1A-8ADC_n3A-n257L_1A-8ADC_n3A-n257M_1A-8A,DC_n3A_1ADC_n3A_8ADC_n257A_1ADC_n257A_8A
DC_n8A-n257A_1A-3ADC_n8A-n257G_1A-3ADC_n8A-n257H_1A-3ADC_n8A-n257I_1A-3ADC_n8A-n257J_1A-3ADC_n8A-n257K_1A-3ADC_n8A-n257L_1A-3ADC_n8A-n257M_1A-3A,DC_n8A_1A DC_n8A_3ADC_n257A_1ADC_n257A_3A
DC_n77A-n257A_1A-3ADC_n77A-n257G_1A-3ADC_n77A-n257H_1A-3ADC_n77A-n257I_1A-3ADC_n77A-n257J_1A-3ADC_n77A-n257K_1A-3ADC_n77A-n257L_1A-3ADC_n77A-n257M_1A-3A,DC_n77A_1ADC_n77A_3ADC_n257A_1ADC_n257A-3A
