V2X configuration,V2X transmission configuration
V2X_1A_n47A,V2X_1A_n47A
V2X_n1A_47A,V2X_n1A_47A
V2X_5A_n47A,V2X_5A_n47A
V2X_n5A_47A,V2X_n5A_47A
V2X_8A_n47A,V2X_8A_n47A
V2X_n8A_47A,V2X_n8A_47A
V2X_3A_n47A,V2X_3A_n47A
V2X_20A_n38A,V2X_20A_n38A
V2X_n3A_47A,V2X_n3A_47A
V2X_n34A_47A,V2X_n34A_47A
V2X_34A_n47A,V2X_34A_n47A
V2X_n39A_47A,V2X_n39A_47A
V2X_39A_n47A,V2X_39A_n47A
V2X_n40A_47A,V2X_n40A_47A
V2X_40A_n47A,V2X_40A_n47A
V2X_n71A_47A,V2X_n71A_47A
V2X_n78A_47A,V2X_n78A_47A
V2X_n79A_47A,V2X_n79A_47A
NOTE 1:V2X transmission configurations are the configurations supported by the present release of specifications.,
