NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n7A-n257A,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,"50, 100, 200, 400",
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,See n257 channel bandwidths in Table 5.3.5-1,
CA_n7A-n257G,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257G,
,CA_n7A-n257A/G,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257G,
CA_n7A-n257H,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257H,
,CA_n7A-n257A/G/H,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257H,
CA_n7A-n257I,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257I,
,CA_n7A-n257A/G/H/I,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257I,
CA_n7A-n257J,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257J,
,CA_n7A-n257A/G/H/I/J,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257J,
CA_n7A-n257K,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257K,
,CA_n7A-n257A/G/H/I/J/K,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257K,
CA_n7A-n257L,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257L,
,CA_n7A-n257A/G/H/I/J/K/L,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257L,
CA_n7A-n257M,CA_n7A-n257A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257M,
,CA_n7A-n257A/G/H/I/J/K/L/M,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257M,
CA_n7A-n257O,CA_n7A-n257A/O,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n257,CA_n257O,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257O,
CA_n7A-n257P,CA_n7A-n257A/O/P,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n257,CA_n257P,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257P,
CA_n7A-n257Q,CA_n7A-n257A/O/P/Q,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n257,CA_n257Q,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257Q,
CA_n7A-n258A,CA_n7A-n258A,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,"50, 100, 200, 400",
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,See n258 channel bandwidths in Table 5.3.5-1,
CA_n7A-n258B,CA_n7A-n258A/B,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258B,
CA_n7A-n258C,CA_n7A-n258A/B/C,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258C,
CA_n7A-n258D,CA_n7A-n258A/D,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258D,
CA_n7A-n258E,CA_n7A-n258A/D/E,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258E,
CA_n7A-n258F,CA_n7A-n258A/D/E/F,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258F,
CA_n7A-n258G,CA_n7A-n258A/G,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258G,
CA_n7A-n258H,CA_n7A-n258A/G/H,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258H,
CA_n7A-n258I,CA_n7A-n258A/G/H/I,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258I,
CA_n7A-n258J,CA_n7A-n258A/G/H/I,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258J,
CA_n7A-n258K,CA_n7A-n258A/G/H/I,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258K,
CA_n7A-n258L,CA_n7A-n258A/G/H/I,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258L,
CA_n7A-n258M,CA_n7A-n258A/G/H/I,n7,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258M,
CA_n7A-n258O,CA_n7A-n258A/O,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258O,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258O,
CA_n7A-n258P,CA_n7A-n258A/O/P,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258P,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258P,
CA_n7A-n258Q,CA_n7A-n258A/O/P/Q,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258Q,
,,n7,See n7 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258Q,
CA_n7A-n258R2,CA_n7A-n258A/R2,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R2,
CA_n7A-n258R3,CA_n7A-n258A/R2/R3,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R3,
CA_n7A-n258R4,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R4,
CA_n7A-n258R5,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R5,
CA_n7A-n258R6,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R6,
CA_n7A-n258R7,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R7,
CA_n7A-n258R8,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R8,
CA_n7A-n258R9,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R9,
CA_n7A-n258R10,CA_n7A-n258A/R2/R3/R4,n7,"5, 10, 15, 20, 25, 30, 35, 40, 50",0
,,n258,CA_n258R10,
CA_n7B-n258A,CA_n7A-n258A,n7,CA_n7B,0
,,n258,"50, 100, 200, 400",
CA_n7B-n258B,CA_n7A-n258A/B,n7,CA_n7B,0
,,n258,CA_n258B,
CA_n7B-n258C,CA_n7A-n258A/B/C,n7,CA_n7B,0
,,n258,CA_n258C,
CA_n7B-n258D,CA_n7A-n258A/D,n7,CA_n7B,0
,,n258,CA_n258D,
CA_n7B-n258E,CA_n7A-n258A/D/E,n7,CA_n7B,0
,,n258,CA_n258E,
CA_n7B-n258F,CA_n7A-n258A/D/E/F,n7,CA_n7B,0
,,n258,CA_n258F,
CA_n7B-n258G,CA_n7A-n258A/G,n7,CA_n7B,0
,,n258,CA_n258G,
CA_n7B-n258H,CA_n7A-n258A/G/H,n7,CA_n7B,0
,,n258,CA_n258H,
CA_n7B-n258I,CA_n7A-n258A/G/H/I,n7,CA_n7B,0
,,n258,CA_n258I,
CA_n7B-n258J,CA_n7A-n258A/G/H/I,n7,CA_n7B,0
,,n258,CA_n258J,
CA_n7B-n258K,CA_n7A-n258A/G/H/I,n7,CA_n7B,0
,,n258,CA_n258K,
CA_n7B-n258L,CA_n7A-n258A/G/H/I,n7,CA_n7B,0
,,n258,CA_n258L,
