NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n66A-n257A,CA_n66A-n257A,n66,"5, 10, 15, 20, 40",4 and 5
,,n257,"50, 100, 200, 400",
CA_n66A-n257G,CA_n66A-n257A/G,n66,"5, 10, 15, 20, 40",4 and 5
,,n257,CA_n257G,
CA_n66A-n257H,CA_n66A-n257A/G/H,n66,"5, 10, 15, 20, 40",4 and 5
,,n257,CA_n257H,
CA_n66A-n257I,CA_n66A-n257A/G/H/I,n66,"5, 10, 15, 20, 40",4 and 5
,,n257,CA_n257I,
CA_n66A-n257J,CA_n66A-n257A/G/H/I/J,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257J,
CA_n66A-n257K,CA_n66A-n257A/G/H/I/J/K,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257K,
CA_n66A-n257L,CA_n66A-n257A/G/H/I/J/K/L,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257L,
CA_n66A-n257M,CA_n66A-n257A/G/H/I/J/K/L/M,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257M,
CA_n66A-n257O,CA_n66A-n257A/O,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257O,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257O,
CA_n66A-n257P,CA_n66A-n257A/O/P,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257P,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257P,
CA_n66A-n257Q,CA_n66A-n257A/O/P/Q,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n257,CA_n257Q,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257Q,
CA_n66A-n258A,CA_n66A-n258A,n66,"5, 10, 15, 20, 40",0
,,n258,"50, 100, 200, 400",
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,See n258 channel bandwidths in Table 5.3.5-1,
CA_n66A-n258G,CA_n66A-n258A/G,n66,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258G,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258G,
CA_n66A-n258H,CA_n66A-n258A/G/H,n66,"5, 10, 15, 20, 25, 30, 40",0
,,n258,CA_n258H,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258H,
CA_n66A-n258I,CA_n66A-n258A/G/H/I,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n258,CA_n258I,
,,n66,See n66 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258I,
CA_n66A-n258J,CA_n66A-n258A/G/H/I/J,n66,"5, 10, 15, 20, 25, 30, 35, 40, 45",0
,,n258,CA_n258J,
