NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n5A-n30A-n260A,CA_n5A-n30ACA_n5A-n260ACA_n30A-n260A,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,"50, 100, 200, 400",
CA_n5A-n30A-n260G,CA_n5A-n30ACA_n5A-n260A/GCA_n30A-n260A/G,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260G,
CA_n5A-n30A-n260H,CA_n5A-n30ACA_n5A-n260A/G/HCA_n30A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260H,
CA_n5A-n30A-n260I,CA_n5A-n30ACA_n5A-n260A/G/H/ICA_n30A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260I,
CA_n5A-n30A-n260J,CA_n5A-n30ACA_n5A-n260A/G/H/I/JCA_n30A-n260A/G/H/I/J,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260J,
CA_n5A-n30A-n260K,CA_n5A-n30ACA_n5A-n260A/G/H/I/J/KCA_n30A-n260A/G/H/I/J/K,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260K,
CA_n5A-n30A-n260L,CA_n5A-n30ACA_n5A-n260A/G/H/I/J/K/LCA_n30A-n260A/G/H/I/J/K/L,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260L,
CA_n5A-n30A-n260M,CA_n5A-n30ACA_n5A-n260A/G/H/I/J/K/L/MCA_n30A-n260A/G/H/I/J/K/L/M,n5,"5, 10, 15, 20",0
,,n30,"5, 10",
,,n260,CA_n260M,
CA_n5A-n48A-n260A,CA_n5A-n260ACA_n48A-n260A,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,"50, 100, 200, 400",
CA_n5A-n48A-n260G,CA_n5A-n260A/GCA_n48A-n260A/G,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260G,
CA_n5A-n48A-n260H,CA_n5A-n260A/G/HCA_n48A-n260A/G/H,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260H,
CA_n5A-n48A-n260I,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
,,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n260,CA_n260I,
CA_n5A-n48A-n260J,CA_n5A-n260A/G/H/ICA_n48A-n260A/G/H/I,n5,"5, 10, 15, 20",0
