NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n12A-n257A,CA_n12A-n257A,n12,"5, 10, 15",0
,,n257,"50, 100, 200, 400",
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,See n257 channel bandwidths in Table 5.3.5-1,
CA_n12A-n257G,CA_n12A-n257A/G,n12,"5, 10, 15",0
,,n257,CA_n257G,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257G,
CA_n12A-n257H,CA_n12A-n257A/G/H,n12,"5, 10, 15",0
,,n257,CA_n257H,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257H,
CA_n12A-n257I,CA_n12A-n257A/G/H/I,n12,"5, 10, 15",0
,,n257,CA_n257I,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257I,
CA_n12A-n257J,CA_n12A-n257A/G/H/I/J,n12,"5, 10, 15",0
,,n257,CA_n257J,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257J,
CA_n12A-n257K,CA_n12A-n257A/G/H/I/J/K,n12,"5, 10, 15",0
,,n257,CA_n257K,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257K,
CA_n12A-n257L,CA_n12A-n257A/G/H/I/J/K/L,n12,"5, 10, 15",0
,,n257,CA_n257L,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257L,
CA_n12A-n257M,CA_n12A-n257A/G/H/I/J/K/L/M,n12,"5, 10, 15",0
,,n257,CA_n257M,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257M,
CA_n12A-n257O,CA_n12A-n257A/O,n12,"5, 10, 15",0
,,n257,CA_n257O,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257O,
CA_n12A-n257P,CA_n12A-n257A/O/P,n12,"5, 10, 15",0
,,n257,CA_n257P,
,,n12,See n12 channel bandwidths in Table 5.3.5-1,4 and 5
