NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set,
CA_n1A-n3A-n8A-n77A-n257A,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n8A-n77A-n257G,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257G,,
CA_n1A-n3A-n8A-n77A-n257H,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257H,,
CA_n1A-n3A-n8A-n77A-n257I,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257I,,
CA_n1A-n3A-n8A-n77A-n257J,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257J,,
CA_n1A-n3A-n8A-n77A-n257K,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257K,,
CA_n1A-n3A-n8A-n77A-n257L,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257L,,
CA_n1A-n3A-n8A-n77A-n257M,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",,
,,n257,CA_n257M,,
CA_n1A-n3A-n8A-n77(2A)-n257A,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,"50, 100, 200, 400",,
CA_n1A-n3A-n8A-n77(2A)-n257G,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257G,,
CA_n1A-n3A-n8A-n77(2A)-n257H,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257H,,
CA_n1A-n3A-n8A-n77(2A)-n257I,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257I,,
CA_n1A-n3A-n8A-n77(2A)-n257J,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257J,,
CA_n1A-n3A-n8A-n77(2A)-n257K,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257K,,
CA_n1A-n3A-n8A-n77(2A)-n257L,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257L,,
CA_n1A-n3A-n8A-n77(2A)-n257M,-,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20, 25, 30",,
,,n8,"5, 10, 15, 20",,
,,n77,CA_n77(2A)_BCS0,,
,,n257,CA_n257M,,
CA_n1A-n3A-n28A-n41A-n257A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n41ACA_n1A-n257ACA_n3A-n28ACA_n3A-n41ACA_n3A-n257ACA_n28A-n41ACA_n28A-n257ACA_n41A-n257A,n1,"5, 10, 15, 20",0,
,,n3,"5, 10, 15, 20",,
,,n28,"5, 10",,
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",,
,,n257,"50, 100, 200, 400",,
