EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A-3A-5A-7A-7A_n78A-n257ADC_1A-3A-5A-7A-7A_n78A-n257DDC_1A-3A-5A-7A-7A_n78A-n257EDC_1A-3A-5A-7A-7A_n78A-n257FDC_1A-3A-5A-7A-7A_n78A-n257GDC_1A-3A-5A-7A-7A_n78A-n257HDC_1A-3A-5A-7A-7A_n78A-n257IDC_1A-3A-5A-7A-7A_n78A-n257JDC_1A-3A-5A-7A-7A_n78A-n257KDC_1A-3A-5A-7A-7A_n78A-n257LDC_1A-3A-5A-7A-7A_n78A-n257M,DC_1A_n78ADC_3A_n78ADC_5A_n78ADC_7A_n78ADC_1A_n257ADC_3A_n257ADC_5A_n257ADC_7A_n257ADC_1A_n78A-n257ADC_1A_n78A-n257GDC_1A_n78A-n257HDC_1A_n78A-n257IDC_3A_n78A-n257ADC_3A_n78A-n257GDC_3A_n78A-n257HDC_3A_n78A-n257IDC_5A_n78A-n257ADC_5A_n78A-n257GDC_5A_n78A-n257HDC_5A_n78A-n257IDC_7A_n78A-n257ADC_7A_n78A-n257GDC_7A_n78A-n257HDC_7A_n78A-n257I
DC_1A-3A-5A-7A-7A_n78C-n257ADC_1A-3A-5A-7A-7A_n78C-n257DDC_1A-3A-5A-7A-7A_n78C-n257EDC_1A-3A-5A-7A-7A_n78C-n257FDC_1A-3A-5A-7A-7A_n78C-n257GDC_1A-3A-5A-7A-7A_n78C-n257HDC_1A-3A-5A-7A-7A_n78C-n257IDC_1A-3A-5A-7A-7A_n78C-n257JDC_1A-3A-5A-7A-7A_n78C-n257KDC_1A-3A-5A-7A-7A_n78C-n257LDC_1A-3A-5A-7A-7A_n78C-n257M,DC_1A_n78A-n257ADC_1A_n78A-n257GDC_1A_n78A-n257HDC_1A_n78A-n257IDC_3A_n78A-n257ADC_3A_n78A-n257GDC_3A_n78A-n257HDC_3A_n78A-n257IDC_5A_n78A-n257ADC_5A_n78A-n257GDC_5A_n78A-n257HDC_5A_n78A-n257IDC_7A_n78A-n257ADC_7A_n78A-n257GDC_7A_n78A-n257HDC_7A_n78A-n257I
DC_1A-3A-5A-7A_n78A-n257ADC_1A-3A-5A-7A_n78A-n257DDC_1A-3A-5A-7A_n78A-n257EDC_1A-3A-5A-7A_n78A-n257FDC_1A-3A-5A-7A_n78A-n257GDC_1A-3A-5A-7A_n78A-n257HDC_1A-3A-5A-7A_n78A-n257IDC_1A-3A-5A-7A_n78A-n257JDC_1A-3A-5A-7A_n78A-n257KDC_1A-3A-5A-7A_n78A-n257LDC_1A-3A-5A-7A_n78A-n257M,DC_1A_n78ADC_1A_n257ADC_3A_n78ADC_3A_n257ADC_5A_n78ADC_5A_n257ADC_7A_n78ADC_7A_n257ADC_1A_n78A-n257ADC_1A_n78A-n257GDC_1A_n78A-n257HDC_1A_n78A-n257IDC_3A_n78A-n257ADC_3A_n78A-n257GDC_3A_n78A-n257HDC_3A_n78A-n257IDC_5A_n78A-n257ADC_5A_n78A-n257GDC_5A_n78A-n257HDC_5A_n78A-n257IDC_7A_n78A-n257ADC_7A_n78A-n257GDC_7A_n78A-n257HDC_7A_n78A-n257I
DC_1A-3A-5A-7A_n78C-n257ADC_1A-3A-5A-7A_n78C-n257DDC_1A-3A-5A-7A_n78C-n257EDC_1A-3A-5A-7A_n78C-n257FDC_1A-3A-5A-7A_n78C-n257GDC_1A-3A-5A-7A_n78C-n257HDC_1A-3A-5A-7A_n78C-n257IDC_1A-3A-5A-7A_n78C-n257JDC_1A-3A-5A-7A_n78C-n257KDC_1A-3A-5A-7A_n78C-n257LDC_1A-3A-5A-7A_n78C-n257M,DC_1A_n78A-n257ADC_1A_n78A-n257GDC_1A_n78A-n257HDC_1A_n78A-n257IDC_3A_n78A-n257ADC_3A_n78A-n257GDC_3A_n78A-n257HDC_3A_n78A-n257IDC_5A_n78A-n257ADC_5A_n78A-n257GDC_5A_n78A-n257HDC_5A_n78A-n257IDC_7A_n78A-n257ADC_7A_n78A-n257GDC_7A_n78A-n257HDC_7A_n78A-n257I
DC_1A-3A-7A-28A_n38A-n257ADC_1A-3A-7A-28A_n38A-n257GDC_1A-3A-7A-28A_n38A-n257HDC_1A-3A-7A-28A_n38A-n257I,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257I
DC_1A-3A-7A-28A_n78A-n257ADC_1A-3A-7A-28A_n78A-n257GDC_1A-3A-7A-28A_n78A-n257HDC_1A-3A-7A-28A_n78A-n257I,DC_1A_n78ADC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n78ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_7A_n78ADC_7A_n257ADC_7A_n257GDC_7A_n257HDC_7A_n257IDC_28A_n78ADC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257I
DC_1A-(n)3AA-n8A-n77A-n257ADC_1A-(n)3AA-n8A-n77A-n257GDC_1A-(n)3AA-n8A-n77A-n257HDC_1A-(n)3AA-n8A-n77A-n257IDC_1A-(n)3AA-n8A-n77A-n257JDC_1A-(n)3AA-n8A-n77A-n257KDC_1A-(n)3AA-n8A-n77A-n257LDC_1A-(n)3AA-n8A-n77A-n257M,DC_1A_n3ADC_1A_n8ADC_1A_n77ADC_1A_n257ADC_(n)3AA3DC_3A_n8ADC_3A_n77ADC_3A_n257A
DC_1A-(n)3AA-n8A-n77(2A)-n257ADC_1A-(n)3AA-n8A-n77(2A)-n257GDC_1A-(n)3AA-n8A-n77(2A)-n257HDC_1A-(n)3AA-n8A-n77(2A)-n257IDC_1A-(n)3AA-n8A-n77(2A)-n257JDC_1A-(n)3AA-n8A-n77(2A)-n257KDC_1A-(n)3AA-n8A-n77(2A)-n257LDC_1A-(n)3AA-n8A-n77(2A)-n257M,DC_1A_n3ADC_1A_n8ADC_1A_n77ADC_1A_n257ADC_(n)3AA3DC_3A_n8ADC_3A_n77ADC_3A_n257A
DC_1A-3A-18A-42A_n78A-n257ADC_1A-3A-18A-42A_n78A-n257GDC_1A-3A-18A-42A_n78A-n257HDC_1A-3A-18A-42A_n78A-n257IDC_1A-3A-18A-42C_n78A-n257ADC_1A-3A-18A-42C_n78A-n257GDC_1A-3A-18A-42C_n78A-n257HDC_1A-3A-18A-42C_n78A-n257I,DC_1A_n78ADC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n78ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_18A_n78ADC_18A_n257ADC_18A_n257GDC_18A_n257HDC_18A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-3A-28A-42A_n78A-n257ADC_1A-3A-28A-42A_n78A-n257GDC_1A-3A-28A-42A_n78A-n257HDC_1A-3A-28A-42A_n78A-n257IDC_1A-3A-28A-42C_n78A-n257ADC_1A-3A-28A-42C_n78A-n257GDC_1A-3A-28A-42C_n78A-n257HDC_1A-3A-28A-42C_n78A-n257I,DC_1A_n78ADC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n78ADC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_28A_n78ADC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
