NR CA configuration,Uplink CA configuration,,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n77A-n257A,CA_n77A-n257A,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,"50, 100, 200, 400",
,,,n77,See n77 channel bandwidths in Table 5.3.5-1,4 and 5
,,,n257,See n257 channel bandwidths in Table 5.3.5-1,
CA_n77A-n257D,CA_n77A-n257A/D,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257D,
CA_n77A-n257E,CA_n77A-n257A,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257E,
CA_n77A-n257F,CA_n77A-n257A,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257F,
CA_n77A-n257G,CA_n257GCA_n77A-n257A/G,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257G,
,CA_n77A-n257A/G,n77,,See n77 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,,CA_n257G,
CA_n77A-n257H,CA_n257G/HCA_n77A-n257A/G/H,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257H,
CA_n77A-n257I,CA_n257G/H/ICA_n77A-n257A/G/H/I,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257I,
CA_n77A-n257J,CA_n257G/H/I/JCA_n77A-n257A/G/H/I/J,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257J,
CA_n77A-n257K,CA_n257G/H/I/J/KCA_n77A-n257A/G/H/I/J/K,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257K,
CA_n77A-n257L,CA_n257G/H/I/J/K/LCA_n77A-n257A/G/H/I/J/K/L,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257L,
CA_n77A-n257M,CA_n257G/H/I/J/K/L/MCA_n77A-n257A/G/H/I/J/K/L/M,,n77,"10, 15, 20, 40, 50, 60, 80, 100",0
,,,n257,CA_n257M,
CA_n77A-n257O,CA_n77A-n257A/O,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n257,CA_n257O,
,,,n77,See n77 channel bandwidths in Table 5.3.5-1,4 and 5
,,,n257,CA_n257O,
CA_n77A-n257P,CA_n77A-n257A/O/P,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n257,CA_n257P,
,,,n77,See n77 channel bandwidths in Table 5.3.5-1,4 and 5
,,,n257,CA_n257P,
CA_n77A-n257Q,CA_n77A-n257A/O/P/Q,,n77,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,,n257,CA_n257Q,
,,,n77,See n77 channel bandwidths in Table 5.3.5-1,4 and 5
,,,n257,CA_n257Q,
CA_n77A-n257(2A),CA_n77A-n257A,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257(2A),
CA_n77A-n257(2G),CA_n77A-n257A/G,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257(2G),
CA_n77A-n257(A-G),CA_n77A-n257A/G,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,,n257,CA_n257(A-G),
CA_n77C-n257A,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,"50, 100, 200, 400",
CA_n77C-n257D,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257D,
CA_n77C-n257E,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257E,
CA_n77C-n257F,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257F,
CA_n77C-n257G,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257G,
CA_n77C-n257H,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257H,
CA_n77C-n257I,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257I,
CA_n77C-n257J,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257J,
CA_n77C-n257K,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257K,
CA_n77C-n257L,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257L,
CA_n77C-n257M,CA_n77A-n257A,,n77,CA_n77C,0
,,,n257,CA_n257M,
CA_n77(2A)-n257A,CA_n77(2A)CA_n77A-n257A,,n77,CA_n77(2A),0
,,,n257,"50, 100, 200, 400",
