E-UTRA – NR configuration /Bandwidth combination set,,,,,,
DownlinkEN-DC configuration,Uplink EN-DC configurations,Component carriers in order of increasing carrier frequency,,,Maximum aggregated bandwidth (MHz),Bandwidth combination set
,,Channel bandwidths for E-UTRA carrier (MHz),Channel bandwidths for NR carrier (MHz),Channel bandwidths for E-UTRA carrier (MHz),,
DC_1A_n1A,DC_1A_n1A2,"5, 10, 15, 20","5, 10, 15, 20",,40,0
DC_2A_n2A,DC_2A_n2A2,"5, 10, 15, 20","5, 10, 15, 20",,40,0
DC_3A_n3A,DC_3A_n3A,,"5, 10, 15, 20, 25, 30","5, 10, 15, 20",50,0
,,,"5, 10, 15, 20, 25, 30","5, 10, 15, 20",50,1
,,"5, 10, 15, 20","5, 10, 15, 20, 25, 30",,,
DC_5A_n5A,DC_5A_n5A2,"5, 10","5, 10, 15",,20,0
DC_7A_n7A3,DC_7A_n7A2,"5, 10, 15, 20","5, 10, 15, 20",,40,0
,,"5, 10, 15, 20","5, 10, 15, 20",,40,1
,,,"5, 10, 15, 20","5, 10, 15, 20",,
DC_40A_n40A,DC_40A_n40A2,"5, 10, 15, 20","5, 10, 15, 20, 25, 30, 40",,60,0
,,,"5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20",,
,,"5, 10, 15, 20","10, 20, 25, 30, 40, 50, 60, 70, 80",,95,1
,,,"10, 20, 25, 30, 40, 50, 60, 70, 80","5, 10, 15, 20",,
DC_40C_n40A,DC_40A_n40A2,See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40, 50, 60",,95,0
,,,"10, 20, 25, 30, 40, 50, 60",See CA_40C Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,,
DC_40D_n40A,DC_40A_n40A2,See CA_40D Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,"10, 20, 25, 30, 40",,95,0
,,,"10, 20, 25, 30, 40",See CA_40D Bandwidth Combination Set 1 in TS 36.101 Table 5.6A.1-1,,
DC_41A_n41A,DC_41A_n41A,20,"40, 60, 80,100",,120,0
,,,"40, 60, 80,100",20,,
,,20,"40, 50, 60, 80,100",,120,1
,,,"40, 50, 60, 80,100",20,,
,,20,"10, 20, 30, 40, 50, 60, 80,100",,120,2
,,,"10, 20, 30, 40, 50, 60, 80,100",20,,
,,10,"20, 30, 40, 50, 60, 80,100",,,
,,,"20, 30, 40, 50, 60, 80,100",10,,
DC_41C_n41A,DC_41A_n41A,20+206,"40, 60, 80,100",,140,0
,,,"40, 60, 80,100",20+206,,
,,20+206,"40, 50, 60, 80,100",,140,1
,,,"40, 50, 60, 80,100",20+206,,
DC_41D_n41A,DC_41A_n41A,20+20+206,"40, 60, 80,100",,160,0
,,,"40, 60, 80,100",20+20+206,,
,,20+20+206,"40, 50, 60, 80,100",,160,1
,,,"40, 50, 60, 80,100",20+20+206,,
DC_48A_n48A,DC_48A_n48A2,"5, 10, 15, 20","5, 10, 15, 20, 40",,60,0
,,,"5, 10, 15, 20, 40","5, 10, 15, 20",,
DC_48A-48A_n48A,DC_48A_n48A2,CA_48A-48A_BCS _BCS0,"5, 10, 15, 20, 40",,80,0
,,,"5, 10, 15, 20, 40",CA_48A-48A_BCS0,,
DC_48C_n48A,DC_48A_n48A2,CA_48C_BCS0,"5, 10, 15, 20, 40",,80,0
,,,"5, 10, 15, 20, 40",CA_48C_BCS0,,
DC_48D_n48A,DC_48A_n48A2,CA_48D_BCS0,"5, 10, 15, 20, 40",,100,0
,,,"5, 10, 15, 20, 40",CA_48D_BCS0,,
DC_66A_n66A,DC_66A_n66A2,"5, 10, 15, 20","5, 10, 15, 20, 40",,50,0
,,"5, 10, 15, 20","5, 10, 15, 20, 25, 30, 40",,60,1
,,,"5, 10, 15, 20, 25, 30, 40","5, 10, 15, 20",,
DC_66B_n66A,DC_66A_n66A2,CA_66B_BCS0,"5, 10, 15, 20, 40",,50,0
,,CA_66B_BCS0,"5, 10, 15, 20, 25, 30, 40",,60,1
DC_66A-66A_n66A,DC_66A_n66A2,CA_66A-66A_BCS0,"5, 10, 15, 20, 40",,70,0
,,CA_66A-66A_BCS0,"5, 10, 15, 20, 25, 30, 40",,80,1
,,,"5, 10, 15, 20, 25, 30, 40",CA_66A-66A_BCS0,,
DC_71A_n71A,DC_71A_n71A2,15,5,,20,0
,,10,"5, 10",,,
,,5,"5, 10, 15",,,
,,,5,15,,
,,,"5, 10",10,,
,,,"5, 10, 15",5,,
,,"5, 10, 15, 20","5, 10, 15, 20",,30,1
,,,"5, 10, 15, 20","5, 10, 15, 20",,
"NOTE 1:Void.NOTE 2:Only single switched UL is supported.NOTE 3:Requirements in this specification apply for NR SCS of 15 kHz only.NOTE 4:For TDD bands, the minimum requirements only apply for non-simultaneous Rx/Tx between all carriers.NOTE 5:The UE supporting the configurations indicates intraBandENDC-Support = ‘non-contiguous’ with intraBandENDC-Support-UL absent.NOTE 6:X+X or X+X+X presents contiguous intra-band CA configurations with component carriers in order of increasing carrier frequency as listed.",,,,,,
