NR CA Band,NR Band
CA_n1-n3-n8-n257,"n1, n3, n8, n257"
CA_n1-n3-n28-n257,"n1, n3, n28, n257"
CA_n1-n3-n41-n257,"n1, n3, n41, n257"
CA_n1-n3-n77-n257,"n1, n3, n77, n257"
CA_n1-n3-n79-n257,"n1, n3, n79, n257"
CA_n1-n5-n78-n258,"n1, n5, n78, n258"
CA_n1-n8-n77-n257,"n1, n8, n77, n257"
CA_n1-n8-n78-n2571,"n1, n8, n78, n257"
CA_n1-n28-n41-n257,"n1, n28, n41, n257"
CA_n1-n28-n77-n257,"n1, n28, n77, n257"
CA_n1-n28-n79-n257,"n1, n28, n79, n257"
CA_n1-n41-n77-n257,"n1, n41, n77, n257"
CA_n1-n41-n79-n257,"n1, n41, n79, n257"
CA_n1-n77-n79-n257,"n1, n77, n79, n257"
CA_n1-n78-n79-n257,"n1, n78, n79, n257"
CA_n2-n5-n48-n260,"n2, n5, n48, n260"
CA_n2-n5-n48-n261,"n2, n5, n48, n261"
CA_n2-n5-n66-n260,"n2, n5, n66, n260"
CA_n2-n5-n66-n261,"n2, n5, n66, n261"
CA_n2-n5-n77-n260,"n2, n5, n77, n260"
CA_n2-n5-n77-n261,"n2, n5, n77, n261"
CA_n2-n48-n66-n260,"n2, n48, n66, n260"
CA_n2-n48-n66-n261,"n2, n48, n66, n261"
CA_n2-n66-n77-n260,"n2, n66, n77, n260"
CA_n2-n66-n77-n261,"n2, n66, n77, n261"
CA_n3-n7-n78-n258,"n3, n7, n78, n258"
CA_n3-n8-n77-n257,"n3, n8, n77, n257"
CA_n3-n28-n41-n257,"n3, n28, n41, n257"
CA_n3-n28-n77-n2571,"n3, n28, n77, n257"
CA_n3-n28-n78-n2571,"n3, n28, n78, n257"
CA_n3-n41-n77-n257,"n3, n41, n77, n257"
CA_n3-n41-n79-n257,"n3, n41, n79, n257"
CA_n3-n77-n79-n257,"n3, n77, n79, n257"
CA_n3-n28-n79-n257,"n3, n28, n79, n257"
CA_n7-n26-n78-n258,"n7, n26, n78, n258"
CA_n28-n41-n77-n257,"n28, n41, n77, n257"
CA_n28-n41-n79-n257,"n28, n41, n79, n257"
CA_n5-n48-n66-n260,"n5, n48, n66, n260"
CA_n5-n48-n66-n261,"n5, n48, n66, n261"
CA_n5-n66-n77-n260,"n5, n66, n77, n260"
CA_n5-n66-n77-n261,"n5, n66, n77, n261"
CA_n28-n77-n79-n257,"n28, n77, n79, n257"
CA_n28-n78-n79-n257,"n28, n78, n79, n257"
CA_n41-n77-n79-n257,"n41, n77, n79, n257"
CA_n77-n79-n257-n259,"n77, n79, n257, n259"
CA_n78-n79-n257-n259,"n78, n79, n257, n259"
NOTE 1:Applicable for UE supporting inter-band carrier aggregation with mandatory simultaneous Rx/Tx capability.,
