E-UTRA-NR V2X Band Combination,E-UTRA  or NR Band,Interface
V2X_1_n47,1,Uu
,n47,PC5
V2X_n1_47,n1,Uu
,47,PC5
V2X_8_n47,8,Uu
,n47,PC5
V2X_5_n47,5,Uu
,n47,PC5
V2X_n5_47,n5,Uu
,47,PC5
V2X_n8_47,n8,Uu
,47,PC5
V2X_3_n47,3,Uu
,n47,PC5
V2X_20_n38,20,Uu
V2X_n3_47,n3,Uu
,47,PC5
V2X_n34_47,n34,Uu
,47,PC5
V2X_34_n47,34,Uu
,n47,PC5
,n38,PC5
V2X_n39_47,47,PC5
,n39,Uu
V2X_39_n47,39,Uu
,n47,PC5
V2X_n40_47,47,PC5
,n40,Uu
V2X_40_n47,40,Uu
,n47,PC5
V2X_n71_47,47,PC5
,n71,Uu
V2X_41_n47,41,Uu
,n47,PC5
V2X_n71_47,47,PC5
,n71,Uu
V2X_n71-(n)471,47,PC5
,n47,PC5
,n71,Uu
V2X_n78_47,47,PC5
,n78,Uu
V2X_n79_47,47,PC5
,n79,Uu
NOTE 1:Only single switched SL in ITS band is supported.,,
