NR CA configuration,,Uplink CA configuration,NR Band,,Channel bandwidth (MHz) (note 3),Bandwidth combination set,
CA_n5A-n257A,,CA_n5A-n257A,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,"50, 100, 200, 400",,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,See n257 channel bandwidths in Table 5.3.5-1,,
CA_n5A-n257G,,CA_n5A-n257A/G,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257G,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257G,,
CA_n5A-n257H,,CA_n5A-n257A/G/H,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257H,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257H,,
CA_n5A-n257I,,CA_n5A-n257A/G/H/I,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257I,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257I,,
CA_n5A-n257J,,CA_n5A-n257A/G/H/I/J,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257J,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257J,,
CA_n5A-n257K,,CA_n5A-n257A/G/H/I/J/K,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257K,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257K,,
CA_n5A-n257L,,CA_n5A-n257A/G/H/I/J/K/L,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257L,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257L,,
CA_n5A-n257M,,CA_n5A-n257A/G/H/I/J/K/L/M,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257M,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257M,,
CA_n5A-n257O,,CA_n5A-n257A/O,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257O,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257O,,
CA_n5A-n257P,,CA_n5A-n257A/O/P,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257P,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257P,,
CA_n5A-n257Q,,CA_n5A-n257A/O/P/Q,n5,,"5, 10, 15, 20, 25",0,
,,,n257,,CA_n257Q,,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n257,,CA_n257Q,,
CA_n5A-n258A,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,"50, 100, 200, 400",,
,,,n5,,See n5 channel bandwidths in Table 5.3.5-1,4 and 5,
,,,n258,,See n258 channel bandwidths in Table 5.3.5-1,,
CA_n5A-n258B,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258B,,
CA_n5A-n258C,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258C,,
CA_n5A-n258D,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258D,,
CA_n5A-n258E,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258E,,
CA_n5A-n258F,,CA_n5A-n258A,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258F,,
CA_n5A-n258G,,CA_n5A-n258A/G,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258G,,
CA_n5A-n258H,,CA_n5A-n258A/G/H,n5,,"5, 10, 15, 20",0,
,,,n258,,CA_n258H,,
