NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n78A-n257A,CA_n78A-n257A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,"50, 100, 200, 400",
CA_n78A-n257D,CA_n78A-n257A/D,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257D,
CA_n78A-n257E,CA_n78A-n257A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257E,
CA_n78A-n257F,CA_n78A-n257A,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257F,
CA_n78C-n257A,CA_n78A-n257A,n78,CA_n78C,0
,,n257,"50, 100, 200, 400",
CA_n78C-n257D,CA_n78A-n257A,n78,CA_n78C,0
,,n257,CA_n257D,
CA_n78C-n257E,CA_n78A-n257A,n78,CA_n78C,0
,,n257,CA_n257E,
CA_n78C-n257F,CA_n78A-n257A,n78,CA_n78C,0
,,n257,CA_n257F,
CA_n78C-n257G,CA_n78A-n257A/G,n78,CA_n78C,0
,,n257,CA_n257G,
CA_n78C-n257H,CA_n78A-n257A/G/H,n78,CA_n78C,0
,,n257,CA_n257H,
CA_n78C-n257I,CA_n78A-n257A/G/H/I,n78,CA_n78C,0
,,n257,CA_n257I,
CA_n78C-n257J,CA_n78A-n257A/G/H/I,n78,CA_n78C,0
,,n257,CA_n257J,
CA_n78C-n257K,CA_n78A-n257A/G/H/I,n78,CA_n78C,0
,,n257,CA_n257K,
CA_n78C-n257L,CA_n78A-n257A/G/H/I,n78,CA_n78C,0
,,n257,CA_n257L,
CA_n78C-n257M,CA_n78A-n257A/G/H/I,n78,CA_n78C,0
,,n257,CA_n257M,
CA_n78A-n257G,CA_n257GCA_n78A-n257A/G,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257G,
CA_n78A-n257H,CA_n257G/HCA_n78A-n257A/G/H,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257H,
CA_n78A-n257I,CA_n257G/H/ICA_n78A-n257A/G/H/I,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257I,
CA_n78A-n257J,CA_n257G/H/I/JCA_n78A-n257A/G/H/I/J,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257J,
CA_n78A-n257K,CA_n257G/H/I/J/KCA_n78A-n257A/G/H/I/J/K,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257K,
CA_n78A-n257L,CA_n257G/H/ICA_n78A-n257A/G/H/I,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257L,
CA_n78A-n257M,CA_n257G/H/ICA_n78A-n257A/G/H/I,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257M,
CA_n78A-n257(2A),CA_n78A-n257A/(2A),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257(2A),
CA_n78A-n257(A-G),CA_n78A-n257A/G/(A-G),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257(A-G),
CA_n78A-n257(2G),CA_n78A-n257A/G/(2G)/(A-G),n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n257,CA_n257(2G),
CA_n78(2A)-n257A,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,"50, 100, 200, 400",
CA_n78(2A)-n257D,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257D,
CA_n78(2A)-n257E,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257E,
CA_n78(2A)-n257F,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257F,
CA_n78(2A)-n257G,CA_n78A-n257A/G,n78,CA_n78(2A),0
,,n257,CA_n257G,
CA_n78(2A)-n257H,CA_n78A-n257A/G/H,n78,CA_n78(2A),0
,,n257,CA_n257H,
CA_n78(2A)-n257I,CA_n78A-n257A/G/H/I,n78,CA_n78(2A),0
,,n257,CA_n257I,
CA_n78(2A)-n257J,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257J,
CA_n78(2A)-n257K,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257K,
CA_n78(2A)-n257L,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257L,
CA_n78(2A)-n257M,CA_n78A-n257A,n78,CA_n78(2A),0
,,n257,CA_n257M,
CA_n78A-n258A,CA_n78A-n258A,n78,"10, 15, 20, 25, 30, 40, 50, 60, 80, 100",0
,,n258,"50, 100, 200, 400",
CA_n78A-n258B,CA_n258BCA_n78A-n258A/B,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258B,
CA_n78A-n258C,CA_n258B/CCA_n78A-n258A/B/C,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258C,
CA_n78A-n258D,CA_n258DCA_n78A-n258A/D,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258D,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258D,
CA_n78A-n258E,CA_n258D/ECA_n78A-n258A/D/E,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258E,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258E,
CA_n78A-n258F,CA_n258D/E/FCA_n78A-n258A/D/E/F,n78,"10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,CA_n258F,
,,n78,"10, 15, 20, 25, 30, 40, 50, 60, 70, 80, 90, 100",1
,,n258,CA_n258F,
