NE-DCconfiguration,Uplink NE-DC configuration(note 1),Single UL allowed,
DC_n1A_28A,DC_n1A_28A,No,
DC_n3A_1A,DC_n3A_1A,DC_n3_1,
DC_n3A_8A,DC_n3A_8A,No,
DC_n8A_1A,DC_n8A_1A,No,
DC_n8A_3A,DC_n8A_3A,No,
DC_n28A_3ADC_n28A_3C,DC_n28A_3A,No,
DC_n28A_8ADC_n28A_8B,DC_n28A_8A,No,
DC_n28A_20A3,DC_n28A_20A,No,
DC_n28A_34A,DC_n28A_34A,No,
DC_n28A_39ADC_n28A_39C,DC_n28A_39A,No,
DC_n28A_40ADC_n28A_40C,DC_n28A_40A,No,
DC_n40A_42ADC_n40A_42CDC_n40A_42D,DC_n40A_42A,No,
DC_n41A_3ADC_n41A_3CDC_n41C_3A,DC_n41A_3A,No,
DC_n41A_8ADC_n41A_8BDC_n41C_8A,DC_n41A_8A,No,
DC_n41A_34A2,DC_n41A_34A,No,
DC_n41A_39A2DC_n41A_39C2DC_n41C_39A2,DC_n41A_39A,No,
DC_n41A_40A2DC_n41A_40C2DC_n41C_40A2,DC_n41A_40A,No,
DC_n77A_1A,DC_n77A_1A,DC_n77_1,
DC_n77(2A)_1A,DC_n77A_1A,DC_n77_1,
DC_n77A_3A,DC_n77A_3A,DC_n77_3,
DC_n77(2A)_3A,DC_n77A_3A,DC_n77_3,
DC_n77A_8A,DC_n77A_8A,No,
DC_n77(2A)_8A,DC_n77A_8A,No,
DC_n77A_40ADC_n77A_40CDC_n77A_40D,DC_n77A_40A,No,
DC_n78A_1A,DC_n78A_1A,No,
DC_n78A_3ADC_n78A_3C,DC_n78A_3A,No,
DC_n78A_5A,DC_n78A_5A,No,
DC_n78A_7A,DC_n78A_7A,No,
DC_n78A_7A-7A,DC_n78A_7A,No,
DC_n78A_8A,DC_n78A_8A,No,
DC_n78A_26A,DC_n78A_26A,No,
DC_n78A_40ADC_n78A_40CDC_n78A_40D,DC_n78A_40A,No,
NOTE 1:Uplink NE-DC configurations are the configurations supported by the present release of specifications.NOTE 2: The minimum requirements apply only when there is non-simultaneous Rx/Tx operation between E-UTRA and NR carriers. This restriction applies also for these carriers when applicable EN-DC configuration is part of a higher order EN-DC configuration.NOTE 3:The frequency range in band n28 is restricted for this band combination to 703 - 733 MHz for the UL and 758-788 MHz for the DL.,,,
