NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n1A-n3A-n257A,CA_n1A-n3ACA_n1A-n257ACA_n3A-n257A,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n257G,CA_n1A-n3ACA_n1A-n257A/GCA_n3A-n257A,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257G,
CA_n1A-n3A-n257H,CA_n1A-n3ACA_n1A-n257A/G/HCA_n3A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257H,
CA_n1A-n3A-n257I,CA_n1A-n3ACA_n1A-n257A/G/H/ICA_n3A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257I,
CA_n1A-n3A-n257J,-,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257J,
CA_n1A-n3A-n257K,-,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257K,
CA_n1A-n3A-n257L,-,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257L,
CA_n1A-n3A-n257M,-,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n257,CA_n257M,
CA_n1A-n3A-n258A,CA_n1A-n3ACA_n1A-n258ACA_n3A-n258A,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,"50, 100, 200, 400",
CA_n1A-n3A-n258D,CA_n1A-n3ACA_n1A-n258ACA_n3A-n258A,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,CA_n258D,
CA_n1A-n3A-n258G,CA_n1A-n3ACA_n1A-n258A/GCA_n3A-n258A/G,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,CA_n258G,
CA_n1A-n3A-n258H,CA_n1A-n3ACA_n1A-n258A/G/HCA_n3A-n258A/G/H,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,CA_n258H,
CA_n1A-n3A-n258I,CA_n1A-n3ACA_n1A-n258A/G/H/ICA_n3A-n258A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,CA_n258I,
CA_n1A-n3A-n258J,CA_n1A-n3ACA_n1A-n258A/G/H/ICA_n3A-n258A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n3,"5, 10, 15, 20, 25, 30",
,,,n258,CA_n258J,
CA_n1A-n5A-n258A,CA_n1A-n5ACA_n1A-n258ACA_n5A-n258A,,n1,"5, 10, 15, 20",0
,,,n5,"5, 10, 15, 20, 25",
,,,n258,"50, 100, 200, 400",
CA_n1A-n8A-n257A,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,"50, 100, 200, 400",
CA_n1A-n8A-n257D,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257D,
CA_n1A-n8A-n257E,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257E,
CA_n1A-n8A-n257F,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257F,
CA_n1A-n8A-n257G,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257G,
CA_n1A-n8A-n257H,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257H,
CA_n1A-n8A-n257I,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257I,
CA_n1A-n8A-n257J,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257J,
CA_n1A-n8A-n257K,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257K,
CA_n1A-n8A-n257L,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257L,
CA_n1A-n8A-n257M,-,,n1,"5, 10, 15, 20",0
,,,n8,"5, 10, 15, 20",
,,,n257,CA_n257M,
CA_n1A-n18A-n257A,CA_n1A-n18ACA_n1A-n257ACA_n18A-n257A,,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n18,"5, 10, 15",
,,,n257,"50, 100, 200, 400",
CA_n1A-n18A-n257G,CA_n1A-n18ACA_n1A-n257A/GCA_n18A-n257A/G,,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n18,"5, 10, 15",
,,,n257,CA_n257G,
CA_n1A-n18A-n257H,CA_n1A-n18ACA_n1A-n257A/G/HCA_n18A-n257A/G/H,,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n18,"5, 10, 15",
,,,n257,CA_n257H,
CA_n1A-n18A-n257I,CA_n1A-n18ACA_n1A-n257A/G/H/ICA_n1A-n257ICA_n18A-n257A/G/H/I,,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,,n18,"5, 10, 15",
,,,n257,CA_n257I,
CA_n1A-n28A-n257A,CA_n1A-n28ACA_n1A-n257ACA_n28A-n257A,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n257,"50, 100, 200, 400",
CA_n1A-n28A-n257G,CA_n257GCA_n1A-n28ACA_n1A-n257A/GCA_n28A-n257A/G,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n257,CA_n257G,
CA_n1A-n28A-n257H,CA_n257G/HCA_n1A-n28ACA_n1A-n257A/G/HCA_n28A-n257A/G/H,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n257,CA_n257H,
CA_n1A-n28A-n257I,CA_n257G/H/ICA_n1A-n28ACA_n1A-n257A/G/H/ICA_n28A-n257A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n257,CA_n257I,
CA_n1A-n28A-n258A,CA_n1A-n28ACA_n1A-n258ACA_n28A-n258A,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,"50, 100, 200, 400",
CA_n1A-n28A-n258D,CA_n1A-n28ACA_n1A-n258ACA_n28A-n258A,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,CA_n258D,
CA_n1A-n28A-n258G,CA_n1A-n28ACA_n1A-n258A/GCA_n28A-n258A/G,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,CA_n258G,
CA_n1A-n28A-n258H,CA_n1A-n28ACA_n1A-n258A/G/HCA_n28A-n258A/G/H,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,CA_n258H,
CA_n1A-n28A-n258I,CA_n1A-n28ACA_n1A-n258A/G/H/ICA_n28A-n258A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,CA_n258I,
CA_n1A-n28A-n258J,CA_n1A-n28ACA_n1A-n258A/G/H/ICA_n28A-n258A/G/H/I,,n1,"5, 10, 15, 20",0
,,,n28,"5, 10, 15, 20",
,,,n258,CA_n258J,
CA_n1A-n40A-n258A,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,"50, 100, 200, 400",
CA_n1A-n40A-n258D,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258D,
CA_n1A-n40A-n258E,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50,60",
,,,n258,CA_n258E,
CA_n1A-n40A-n258F,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258F,
CA_n1A-n40A-n258G,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258G,
CA_n1A-n40A-n258H,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258H,
CA_n1A-n40A-n258I,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258I,
CA_n1A-n40A-n258J,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258J,
CA_n1A-n40A-n258K,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258K,
CA_n1A-n40A-n258L,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258L,
CA_n1A-n40A-n258M,-,,n1,"5, 10, 15, 20",0
,,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60",
,,,n258,CA_n258M,
