Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n3A-n257ADC_n1A-n3A-n257GDC_n1A-n3A-n257HDC_n1A-n3A-n257I,DC_n1A-n3ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n3A-n257ADC_n3A-n257GDC_n3A-n257HDC_n3A-n257I
DC_n1A-n3A-n258ADC_n1A-n3A-n258DDC_n1A-n3A-n258GDC_n1A-n3A-n258HDC_n1A-n3A-n258IDC_n1A-n3A-n258J,DC_n1A-n3ADC_n1A-n258ADC_n1A-n258DDC_n1A-n258GDC_n1A-n258HDC_n1A-n258IDC_n1A-n258JDC_n3A-n258ADC_n3A-n258DDC_n3A-n258GDC_n3A-n258HDC_n3A-n258IDC_n3A-n258J
DC_n1A-n18A-n257ADC_n1A-n18A-n257GDC_n1A-n18A-n257HDC_n1A-n18A-n257I,DC_n1A-n18ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n18A-n257ADC_n18A-n257GDC_n18A-n257HDC_n18A-n257I
DC_n1A-n28A-n257ADC_n1A-n28A-n257GDC_n1A-n28A-n257HDC_n1A-n28A-n257I,DC_n1A-n28ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n28A-n257ADC_n28A-n257GDC_n28A-n257HDC_n28A-n257I
DC_n1A-n28A-n258ADC_n1A-n28A-n258DDC_n1A-n28A-n258GDC_n1A-n28A-n258HDC_n1A-n28A-n258IDC_n1A-n28A-n258J,DC_n1A-n28ADC_n1A-n258ADC_n1A-n258DDC_n1A-n258GDC_n1A-n258HDC_n1A-n258IDC_n1A-n258JDC_n28A-n258ADC_n28A-n258DDC_n28A-n258GDC_n28A-n258HDC_n28A-n258IDC_n28A-n258J
DC_n1A-n41A-n257ADC_n1A-n41A-n257GDC_n1A-n41A-n257HDC_n1A-n41A-n257I,DC_n1A-n41ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n41A-n257ADC_n41A-n257GDC_n41A-n257HDC_n41A-n257I
DC_n1A-n77A-n257ADC_n1A-n77A-n257GDC_n1A-n77A-n257HDC_n1A-n77A-n257I,DC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n1A-n77(2A)-n257ADC_n1A-n77(2A)-n257GDC_n1A-n77(2A)-n257HDC_n1A-n77(2A)-n257I,DC_n1A-n77ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n77A-n257ADC_n77A-n257GDC_n77A-n257HDC_n77A-n257I
DC_n1A-n78A-n257A1DC_n1A-n78A-n257G1DC_n1A-n78A-n257H1DC_n1A-n78A-n257I1DC_n1A-n78A-n257J1DC_n1A-n78A-n257K1DC_n1A-n78A-n257L1DC_n1A-n78A-n257M1,DC_n1A-n78ADC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n1A-n257JDC_n1A-n257KDC_n78A-n257ADC_n78A-n257GDC_n78A-n257HDC_n78A-n257IDC_n78A-n257JDC_n78A-n257K
DC_n1A-n79A-n257ADC_n1A-n79A-n257GDC_n1A-n79A-n257HDC_n1A-n79A-n257I,DC_n1A-n257ADC_n1A-n257GDC_n1A-n257HDC_n1A-n257IDC_n79A-n257ADC_n79A-n257GDC_n79A-n257HDC_n79A-n257I
