NR CA Band,,NR Band
CA_n1-n2571,,"n1, n257"
CA_n1-n2581,,"n1, n258"
CA_n2-n2571,,"n2, n257"
CA_n2-n2581,,"n2, n258"
CA_n2-n2601,,"n2, n260"
CA_n2-n2611,,"n2, n261"
CA_n3-n2571,,"n3, n257"
CA_n3-n2581,,"n3, n258"
CA_n5-n2571,,"n5, n257"
CA_n5-n2581,,"n5, n258"
CA_n5-n2601,,"n5, n260"
CA_n5-n2611,,"n5, n261"
CA_n7-n2571,,"n7, n257"
CA_n7-n2581,,"n7, n258"
CA_n7-n2601,,"n7, n260"
CA_n7-n2611,,"n7, n261"
CA_n8-n2571,,"n8, n257"
CA_n8-n2581,,"n8, n258"
CA_n12-n2571,,"n12, n257"
CA_n12-n2581,,"n12, n258"
CA_n12-n2601,,"n12, n260"
CA_n12-n2611,,"n12, n261"
CA_n14-n2601,,"n14, n260"
CA_n18-n2571,,"n18, n257"
CA_n25-n2571,,"n25, n257"
CA_n25-n2581,,"n25, n258"
CA_n25-n2601,,"n25, n260"
CA_n25-n2611,,"n25, n261"
CA_n26-n2581,,"n26, n258"
CA_n28-n2571,,"n28, n257"
CA_n28-n2581,,"n28, n258"
CA_n30-n2571,,"n30, n257"
CA_n30-n2581,,"n30, n258"
CA_n30-n2601,,"n30, n260"
CA_n30-n2611,,"n30, n261"
CA_n34-n2581,,"n34, n258"
CA_n38-n2571,,"n38, n257"
CA_n38-n2581,,"n38, n258"
CA_n39-n2581,,"n39, n258"
CA_n40-n2571,,"n40, n257"
CA_n40-n2581,,"n40, n258"
CA_n41-n2571,,"n41, n257"
CA_n41-n2581,,"n41, n258"
CA_n41-n2601,,"n41, n260"
CA_n41-n2611,,"n41, n261"
CA_n48-n2581,,"n48, n258"
CA_n48-n2601,,"n48, n260"
CA_n48-n2611,,"n48, n261"
CA_n48-n2631,,"n48, n263"
CA_n66-n2571,,"n66, n257"
CA_n66-n2581,,"n66, n258"
CA_n66-n260,,"n66, n260"
CA_n66-n261,,"n66, n261"
CA_n71-n2571,,"n71, n257"
CA_n71-n2581,,"n71, n258"
CA_n71-n2601,,"n71, n260"
CA_n71-n2611,,"n71, n261"
CA_n77-n2571,,"n77, n257"
CA_n77-n2581,,"n77, n258"
CA_n77-n2591,,"n77, n259"
CA_n77-n2601,,"n77, n260"
CA_n77-n2611,,"n77, n261"
CA_n78-n2571,,"n78, n257"
CA_n78-n2581,,"n78, n258"
CA_n78-n2591,,"n78, n259"
CA_n79-n2571,,"n79, n257"
CA_n79-n2581,,"n79, n258"
CA_n79-n2591,,"n79, n259"
CA_n104-n2581,,"n104, n258"
CA_n105-n2571,"n105, n257",
CA_n105-n2581,"n105, n258",
NOTE 1:Applicable for UE supporting inter-band carrier aggregation with mandatory simultaneous Rx/Tx capability.,,
