NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n48A-n258A,CA_n48A-n258A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n258,"50, 100, 200, 400",
,,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,n258 channel bandwidths in Table 5.3.5-1,
CA_n48A-n258G,CA_n48A-n258A/G,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258G BCS0,
CA_n48A-n258H,CA_n48A-n258A/G/H,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258H BCS0,
CA_n48A-n258I,CA_n48A-n258A/G/H/I,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258I BCS0,
CA_n48A-n258J,CA_n48A-n258A/G/H/I/J,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258J BCS0,
CA_n48A-n258(2A),CA_n48A-n258A,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(2A) BCS0,
CA_n48A-n258(A-G),CA_n48A-n258A/G,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-G) BCS0,
CA_n48A-n258(2G),CA_n48A-n258A/G,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(2G) BCS0,
CA_n48A-n258(A-H),CA_n48A-n258A/G/H,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-H) BCS0,
CA_n48A-n258(G-H),CA_n48A-n258A/G/H,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-H) BCS0,
CA_n48A-n258(A-I),CA_n48A-n258A/G/H/I,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-I) BCS0,
CA_n48A-n258(G-I),CA_n48A-n258A/G/H/I,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-I) BCS0,
CA_n48A-n258(A-J),CA_n48A-n258A/G/H/I/J,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(A-J) BCS0,
CA_n48A-n258(G-J),CA_n48A-n258A/G/H/I/J,n48,n48 channel bandwidths in Table 5.3.5-1,4 and 5
,,n258,CA_n258(G-J) BCS0,
CA_n48A-n260A,CA_n48A-n260A,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,"50, 100, 200, 400",
CA_n48A-n260G,CA_n48A-n260A/G,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260G,
CA_n48A-n260H,CA_n48A-n260A/G/H,n48,"5, 10, 15, 20, 40, 50, 60, 80, 90, 100",0
,,n260,CA_n260H,
