NR CA configuration,Uplink configuration,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n1A-n3A-n8A-n257A,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n8A-n257G,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257G,
CA_n1A-n3A-n8A-n257H,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257H,
CA_n1A-n3A-n8A-n257I,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257I,
CA_n1A-n3A-n8A-n257J,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257J,
CA_n1A-n3A-n8A-n257K,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257K,
CA_n1A-n3A-n8A-n257L,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257L,
CA_n1A-n3A-n8A-n257M,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n8,"5, 10, 15, 20",
,,n257,CA_n257M,
CA_n1A-n3A-n28A-n257A,CA_n1A-n3ACA_n1A-n28ACA_n1A-n257ACA_n3A-n28ACA_n3A-n257ACA_n28A-n257A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n28,"5, 10, 15, 20",
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n28A-n257G,CA_n1A-n3ACA_n1A-n28ACA_n1A-n257A/GCA_n3A-n28ACA_n3A-n257A/GCA_n28A-n257A/G,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n28,"5, 10, 15, 20",
,,n257,CA_n257G,
CA_n1A-n3A-n28A-n257H,CA_n1A-n3ACA_n1A-n28ACA_n1A-n257A/G/HCA_n3A-n28ACA_n3A-n257A/G/HCA_n28A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n28,"5, 10, 15, 20",
,,n257,CA_n257H,
CA_n1A-n3A-n28A-n257I,CA_n1A-n3ACA_n1A-n28ACA_n1A-n257A/G/H/ICA_n3A-n28ACA_n3A-n257A/G/H/ICA_n28A-n257A/G/H/I,n1,"5, 10,15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n28,"5, 10, 15, 20",
,,n257,CA_n257I,
CA_n1A-n3A-n41A-n257A,CA_n1A-n3ACA_n1A-n41ACA_n1A-n257ACA_n3A-n41ACA_n3A-n257ACA_n41A-n257A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n41A-n257G,CA_n1A-n3ACA_n1A-n41ACA_n1A-n257A/GCA_n3A-n41ACA_n3A-n257A/GCA_n41A-n257A/G,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n3A-n41A-n257H,CA_n1A-n3ACA_n1A-n41ACA_n1A-n257A/G/HCA_n3A-n41ACA_n3A-n257A/G/HCA_n41A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n3A-n41A-n257I,CA_n1A-n3ACA_n1A-n41ACA_n1A-n257A/G/H/ICA_n3A-n41ACA_n3A-n257A/G/H/ICA_n41A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n3A-n77A-n257A,CA_n1A-n3ACA_n1A-n77ACA_n1A-n257ACA_n3A-n77ACA_n3A-n257ACA_n77A-n257A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n77A-n257G,CA_n1A-n3ACA_n1A-n77ACA_n1A-n257A/GCA_n3A-n77ACA_n3A-n257A/GCA_n77A-n257A/G,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257G,
CA_n1A-n3A-n77A-n257H,CA_n1A-n3ACA_n1A-n77ACA_n1A-n257A/G/HCA_n3A-n77ACA_n3A-n257A/G/HCA_n77A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257H,
CA_n1A-n3A-n77A-n257I,CA_n1A-n3ACA_n1A-n77ACA_n3A-n77ACA_n1A-n257A/G/H/ICA_n3A-n257A/G/H/ICA_n77A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257I,
CA_n1A-n3A-n77A-n257J,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257J,
CA_n1A-n3A-n77A-n257K,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257K,
CA_n1A-n3A-n77A-n257L,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257L,
CA_n1A-n3A-n77A-n257M,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,n257,CA_n257M,
CA_n1A-n3A-n77(2A)-n257A,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n77(2A)-n257G,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257G,
CA_n1A-n3A-n77(2A)-n257H,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257H,
CA_n1A-n3A-n77(2A)-n257I,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257I,
CA_n1A-n3A-n77(2A)-n257J,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257J,
CA_n1A-n3A-n77(2A)-n257K,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257K,
CA_n1A-n3A-n77(2A)-n257L,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257L,
CA_n1A-n3A-n77(2A)-n257M,-,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n77,CA_n77(2A),
,,n257,CA_n257M,
CA_n1A-n3A-n79A-n257A,CA_n1A-n3ACA_n1A-n79ACA_n1A-n257ACA_n3A-n79ACA_n3A-n257ACA_n79A-n257A,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n79,"40, 50, 60, 80, 100",
,,n257,"50, 100, 200, 400",
CA_n1A-n3A-n79A-n257G,CA_n1A-n3ACA_n1A-n79ACA_n1A-n257A/GCA_n3A-n79ACA_n3A-n257A/GCA_n79A-n257A/G,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257G,
CA_n1A-n3A-n79A-n257H,CA_n1A-n3ACA_n1A-n79ACA_n1A-n257A/G/H CA_n3A-n79ACA_n3A-n257A/G/HCA_n79A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25 ,30",
,,n79,"40, 50, 60, 80, 100",
,,n257,CA_n257H,
CA_n1A-n3A-n79A-n257I,CA_n1A-n3ACA_n1A-n79ACA_n1A-n257A/G/H/I CA_n3A-n79ACA_n3A-n257A/G/H/ICA_n79A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n3,"5, 10, 15, 20, 25, 30",
,,n79,"40, 50, 60, 80, 100",
