NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n1A-n257A,CA_n1A-n257A,n1,"5, 10, 15, 20",0
,,n257,"50, 100, 200, 400",
CA_n1A-n257D,CA_n257DCA_n1A-n257A/D,n1,"5, 10, 15, 20",0
,,n257,CA_n257D,
CA_n1A-n257E,-,n1,"5, 10, 15, 20",0
,,n257,CA_n257E,
CA_n1A-n257F,-,n1,"5, 10, 15, 20",0
,,n257,CA_n257F,
CA_n1A-n257G,CA_n257GCA_n1A-n257A/G,n1,"5, 10, 15, 20",0
,,n257,CA_n257G,
CA_n1A-n257H,CA_n257G/HCA_n1A-n257A/G/H,n1,"5, 10, 15, 20",0
,,n257,CA_n257H,
CA_n1A-n257I,CA_n257G/H/ICA_n1A-n257A/G/H/I,n1,"5, 10, 15, 20",0
,,n257,CA_n257I,
CA_n1A-n257J,CA_n257G/H/I/JCA_n1A-n257A/G/H/I/J,n1,"5, 10, 15, 20",0
,,n257,CA_n257J,
CA_n1A-n257K,CA_n257G/H/I/J/KCA_n1A-n257A/G/H/I/J/K,n1,"5, 10, 15, 20",0
,,n257,CA_n257K,
CA_n1A-n257L,CA_n257G/H/I/J/KCA_n1A-n257A/G/H/I/J/K,n1,"5, 10, 15, 20",0
,,n257,CA_n257L,
CA_n1A-n257M,CA_n257G/H/I/J/KCA_n1A-n257A/G/H/I/J/K,n1,"5, 10, 15, 20",0
,,n257,CA_n257M,
CA_n1A-n257(2A),CA_n1A-n257A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257(2A),
CA_n1A-n257(2G),CA_n1A-n257A/G,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257(2G),
CA_n1A-n257(A-G),CA_n1A-n257A/G,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n257,CA_n257(A-G),
CA_n1A-n258A,CA_n1A-n258A,n1,"5, 10, 15, 20",0
,,n258,"50, 100, 200, 400",
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,"50, 100, 200, 400",
CA_n1A-n258B,CA_n1A-n258A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258B,
CA_n1A-n258C,CA_n1A-n258A,n1,"5, 10, 15, 20, 25, 30, 40, 50",0
,,n258,CA_n258C,
CA_n1A-n258D,CA_n1A-n258A,n1,"5, 10, 15, 20",0
,,n258,CA_n258D,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258D,
CA_n1A-n258E,CA_n1A-n258A,n1,"5, 10, 15, 20",0
,,n258,CA_n258E,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258E,
CA_n1A-n258F,CA_n1A-n258A,n1,"5, 10, 15, 20",0
,,n258,CA_n258F,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258F,
CA_n1A-n258G,CA_n1A-n258A/G,n1,"5, 10, 15, 20",0
,,n258,CA_n258G,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258G,
CA_n1A-n258H,CA_n1A-n258A/G/H,n1,"5, 10, 15, 20",0
,,n258,CA_n258H,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258H,
CA_n1A-n258I,CA_n1A-n258A/G/H/I,n1,"5, 10, 15, 20",0
,,n258,CA_n258I,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258I,
CA_n1A-n258J,CA_n1A-n258A/G/H/I,n1,"5, 10, 15, 20",0
,,n258,CA_n258J,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258J,
CA_n1A-n258K,CA_n1A-n258A/G/H/I,n1,"5, 10, 15, 20",0
,,n258,CA_n258K,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258K,
CA_n1A-n258L,CA_n1A-n258A/G/H/I,n1,"5, 10, 15, 20",0
,,n258,CA_n258L,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258L,
CA_n1A-n258M,CA_n1A-n258A/G/H/I,n1,"5, 10, 15, 20",0
,,n258,CA_n258M,
,,n1,"5, 10, 15, 20, 25, 30, 40, 50",1
,,n258,CA_n258M,
CA_n1A-n258R2,CA_n1A-n258A/R2,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R2,
CA_n1A-n258R3,CA_n1A-n258A/R2/R3,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R3,
CA_n1A-n258R4,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R4,
CA_n1A-n258R5,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R5,
CA_n1A-n258R6,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R6,
CA_n1A-n258R7,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R7,
CA_n1A-n258R8,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R8,
CA_n1A-n258R9,CA_n1A-n258A/R2/R3/R4,n1,"5, 10, 15, 20, 25, 30, 40, 45, 50",0
,,n258,CA_n258R9,
