NR CA configuration,Uplink configuration,,NR Band,Channel bandwidth (MHz) (note 1),Bandwidth combination set
CA_n40A-n41A-n258A,CA_n40A-n41ACA_n40A-n258ACA_n41A-n258A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n41,"10, 15, 20, 30, 40, 50, 60, 80, 90, 100",
,,,n258,"50, 100, 200, 400",
CA_n40A-n77A-n257A,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,"50, 100, 200, 400",
CA_n40A-n77A-n257D,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257D,
CA_n40A-n77A-n257E,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257E,
CA_n40A-n77A-n257F,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257F,
CA_n40A-n77A-n257G,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257G,
CA_n40A-n77A-n257H,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257H,
CA_n40A-n77A-n257I,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257I,
CA_n40A-n77A-n257J,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257J,
CA_n40A-n77A-n257K,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257K,
CA_n40A-n77A-n257L,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257L,
CA_n40A-n77A-n257M,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,"10, 15, 20, 40, 50, 60, 80, 90, 100",
,,,n257,CA_n257M,
CA_n40A-n77C-n257A,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,"50, 100, 200, 400",
CA_n40A-n77C-n257D,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257D,
CA_n40A-n77C-n257E,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
,,,n77,CA_n77C,
,,,n257,CA_n257E,
CA_n40A-n77C-n257F,CA_n40A-n77ACA_n77A-n257ACA_n40A-n257A,,n40,"5, 10, 15, 20, 25, 30, 40, 50, 60, 80",0
