NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n3A-n257A,CA_n3A-n257A,n3,"5, 10, 15, 20, 25, 30",0
,,n257,"50, 100, 200, 400",
CA_n3A-n257D,CA_n3A-n257A/D,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257D,
CA_n3A-n257G,CA_n3A-n257A/G,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257G,
CA_n3A-n257H,CA_n3A-n257A/G/H,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257H,
CA_n3A-n257I,CA_n3A-n257A/G/H/I,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257I,
CA_n3A-n257J,CA_n3A-n257A/G/H/I/J,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257J,
CA_n3A-n257K,CA_n3A-n257A/G/H/I/J/K,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257K,
CA_n3A-n257L,CA_n3A-n257A/G/H/I/J/K/L,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257L,
CA_n3A-n257M,CA_n3A-n257A/G/H/I/J/K/L,n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257M,
CA_n3A-n257(2A),CA_n3A-n257A/(2A),n3,"5, 10, 15, 20, 25, 30",0
,,n257,CA_n257(2A),
CA_n3A-n257(2G),CA_n3A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n257,CA_n257(2G),
,CA_n3A-n257A/G/(2G)/(A-G),n3,"5, 10, 15, 20, 25, 30",1
,,n257,CA_n257(2G),
CA_n3A-n257(A-G),CA_n3A-n257A/G,n3,"5, 10, 15, 20, 25, 30, 40",0
,,n257,CA_n257(A-G),
,CA_n3A-n257A/G/(A-G),n3,"5, 10, 15, 20, 25, 30",1
,,n257,CA_n257(A-G),
CA_n3(2A)-n257A,CA_n3A-n257A,n3,CA_n3(2A)_BCS1,0
,,n257,"50, 100, 200, 400",
CA_n3(2A)-n257G,CA_n3A-n257A/G,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257G,
CA_n3(2A)-n257H,CA_n3A-n257A/G/H,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257H,
CA_n3(2A)-n257I,CA_n3A-n257A/G/H/I,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257I,
CA_n3(2A)-n257J,CA_n3A-n257A,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257J,
CA_n3(2A)-n257K,CA_n3A-n257A,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257K,
CA_n3(2A)-n257L,CA_n3A-n257A,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257L,
CA_n3(2A)-n257M,CA_n3A-n257A,n3,CA_n3(2A)_BCS1,0
,,n257,CA_n257M,
CA_n3B-n257A,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,"50, 100, 200, 400",
CA_n3B-n257G,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257G,
CA_n3B-n257H,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257H,
CA_n3B-n257I,CA_n3A-n257A,n3,CA_n3B_BCS0,0
,,n257,CA_n257I,
