EN-DC configuration,Uplink EN-DC configuration (note 1)
DC_1A-3A-5A-7A_n257ADC_1A-3A-5A-7A_n257DDC_1A-3A-5A-7A_n257EDC_1A-3A-5A-7A_n257FDC_1A-3A-5A-7A_n257GDC_1A-3A-5A-7A_n257HDC_1A-3A-5A-7A_n257IDC_1A-3A-5A-7A_n257JDC_1A-3A-5A-7A_n257KDC_1A-3A-5A-7A_n257LDC_1A-3A-5A-7A_n257M,DC_1A_n257ADC_1A_n257DDC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257DDC_3A_n257GDC_3A_n257HDC_3A_n257IDC_5A_n257ADC_5A_n257DDC_5A_n257GDC_5A_n257HDC_5A_n257IDC_7A_n257ADC_7A_n257DDC_7A_n257GDC_7A_n257HDC_7A_n257I
DC_1A-3A-5A-7A-7A_n257A2DC_1A-3A-5A-7A-7A_n257DDC_1A-3A-5A-7A-7A_n257EDC_1A-3A-5A-7A-7A_n257FDC_1A-3A-5A-7A-7A_n257GDC_1A-3A-5A-7A-7A_n257HDC_1A-3A-5A-7A-7A_n257IDC_1A-3A-5A-7A-7A_n257JDC_1A-3A-5A-7A-7A_n257KDC_1A-3A-5A-7A-7A_n257LDC_1A-3A-5A-7A-7A_n257M,DC_1A_n257ADC_1A_n257DDC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257DDC_3A_n257GDC_3A_n257HDC_3A_n257IDC_5A_n257ADC_5A_n257DDC_5A_n257GDC_5A_n257HDC_5A_n257IDC_7A_n257ADC_7A_n257DDC_7A_n257GDC_7A_n257HDC_7A_n257I
DC_1A-3A-7A-28A_n257ADC_1A-3A-7A-28A_n257GDC_1A-3A-7A-28A_n257HDC_1A-3A-7A-28A_n257I,DC_1A_n257ADC_3A_n257ADC_7A_n257ADC_28A_n257A
DC_1A-3A-7A-28A_n258ADC_1A-3A-7A-28A_n258BDC_1A-3A-7A-28A_n258CDC_1A-3A-7A-28A_n258DDC_1A-3A-7A-28A_n258EDC_1A-3A-7A-28A_n258FDC_1A-3A-7A-28A_n258GDC_1A-3A-7A-28A_n258HDC_1A-3A-7A-28A_n258IDC_1A-3A-7A-28A_n258JDC_1A-3A-7A-28A_n258KDC_1A-3A-7A-28A_n258LDC_1A-3A-7A-28A_n258MDC_1A-3C-7A-28A_n258ADC_1A-3C-7A-28A_n258BDC_1A-3C-7A-28A_n258CDC_1A-3C-7A-28A_n258DDC_1A-3C-7A-28A_n258EDC_1A-3C-7A-28A_n258FDC_1A-3C-7A-28A_n258GDC_1A-3C-7A-28A_n258HDC_1A-3C-7A-28A_n258IDC_1A-3C-7A-28A_n258JDC_1A-3C-7A-28A_n258KDC_1A-3C-7A-28A_n258LDC_1A-3C-7A-28A_n258MDC_1A-3A-7C-28A_n258ADC_1A-3A-7C-28A_n258BDC_1A-3A-7C-28A_n258CDC_1A-3A-7C-28A_n258DDC_1A-3A-7C-28A_n258EDC_1A-3A-7C-28A_n258FDC_1A-3A-7C-28A_n258GDC_1A-3A-7C-28A_n258HDC_1A-3A-7C-28A_n258IDC_1A-3A-7C-28A_n258JDC_1A-3A-7C-28A_n258KDC_1A-3A-7C-28A_n258LDC_1A-3A-7C-28A_n258MDC_1A-3C-7C-28A_n258ADC_1A-3C-7C-28A_n258BDC_1A-3C-7C-28A_n258CDC_1A-3C-7C-28A_n258DDC_1A-3C-7C-28A_n258EDC_1A-3C-7C-28A_n258FDC_1A-3C-7C-28A_n258GDC_1A-3C-7C-28A_n258HDC_1A-3C-7C-28A_n258IDC_1A-3C-7C-28A_n258JDC_1A-3C-7C-28A_n258KDC_1A-3C-7C-28A_n258LDC_1A-3C-7C-28A_n258M,DC_1A_n258ADC_1A_n258GDC_1A_n258HDC_1A_n258IDC_3A_n258ADC_3A_n258GDC_3A_n258HDC_3A_n258IDC_3C_n258ADC_3C_n258GDC_3C_n258HDC_3C_n258IDC_7A_n258ADC_7A_n258GDC_7A_n258HDC_7A_n258IDC_7C_n258ADC_7C_n258GDC_7C_n258HDC_7C_n258IDC_28A_n258ADC_28A_n258GDC_28A_n258HDC_28A_n258I
DC_1A-3A-7A_n105A-n257A,DC_1A_n105ADC_1A_n257ADC_3A_n105ADC_3A_n257ADC_7A_n105ADC_7A_n257A
DC_1A-3A-7A_n105A-n258A,DC_1A_n105ADC_1A_n258ADC_3A_n105ADC_3A_n258ADC_7A_n105ADC_7A_n258A
DC_1A-3A-8A-11A_n257ADC_1A-3A-8A-11A_n257GDC_1A-3A-8A-11A_n257HDC_1A-3A-8A-11A_n257I,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_8A_n257ADC_8A_n257GDC_8A_n257HDC_8A_n257IDC_11A_n257ADC_11A_n257GDC_11A_n257HDC_11A_n257I
DC_1A-3A-18A-42A_n257ADC_1A-3A-18A-42A_n257DDC_1A-3A-18A-42A_n257EDC_1A-3A-18A-42A_n257FDC_1A-3A-18A-42A_n257GDC_1A-3A-18A-42A_n257HDC_1A-3A-18A-42A_n257IDC_1A-3A-18A-42A_n257JDC_1A-3A-18A-42A_n257KDC_1A-3A-18A-42A_n257LDC_1A-3A-18A-42A_n257MDC_1A-3A-18A-42C_n257ADC_1A-3A-18A-42C_n257DDC_1A-3A-18A-42C_n257EDC_1A-3A-18A-42C_n257FDC_1A-3A-18A-42C_n257GDC_1A-3A-18A-42C_n257HDC_1A-3A-18A-42C_n257IDC_1A-3A-18A-42C_n257JDC_1A-3A-18A-42C_n257KDC_1A-3A-18A-42C_n257LDC_1A-3A-18A-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_18A_n257ADC_18A_n257GDC_18A_n257HDC_18A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-3A-19A-21A_n257A2DC_1A-3A-19A-21A_n257D2DC_1A-3A-19A-21A_n257E2DC_1A-3A-19A-21A_n257F2,DC_1A_n257ADC_3A_n257ADC_19A_n257ADC_21A_n257A
DC_1A-3A-19A-42A_n257ADC_1A-3A-19A-42A_n257DDC_1A-3A-19A-42A_n257EDC_1A-3A-19A-42A_n257FDC_1A-3A-19A-42A_n257GDC_1A-3A-19A-42A_n257HDC_1A-3A-19A-42A_n257IDC_1A-3A-19A-42A_n257JDC_1A-3A-19A-42A_n257KDC_1A-3A-19A-42A_n257LDC_1A-3A-19A-42A_n257MDC_1A-3A-19A-42C_n257ADC_1A-3A-19A-42C_n257DDC_1A-3A-19A-42C_n257EDC_1A-3A-19A-42C_n257FDC_1A-3A-19A-42C_n257GDC_1A-3A-19A-42C_n257HDC_1A-3A-19A-42C_n257IDC_1A-3A-19A-42C_n257JDC_1A-3A-19A-42C_n257KDC_1A-3A-19A-42C_n257LDC_1A-3A-19A-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257KDC_3A_n257LDC_3A_n257MDC_19A_n257ADC_19A_n257GDC_19A_n257HDC_19A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257I
DC_1A-3A-21A-42A_n257ADC_1A-3A-21A-42A_n257DDC_1A-3A-21A-42A_n257EDC_1A-3A-21A-42A_n257FDC_1A-3A-21A-42A_n257GDC_1A-3A-21A-42A_n257HDC_1A-3A-21A-42A_n257IDC_1A-3A-21A-42A_n257JDC_1A-3A-21A-42A_n257KDC_1A-3A-21A-42A_n257LDC_1A-3A-21A-42A_n257MDC_1A-3A-21A-42C_n257ADC_1A-3A-21A-42C_n257DDC_1A-3A-21A-42C_n257EDC_1A-3A-21A-42C_n257FDC_1A-3A-21A-42C_n257GDC_1A-3A-21A-42C_n257HDC_1A-3A-21A-42C_n257IDC_1A-3A-21A-42C_n257JDC_1A-3A-21A-42C_n257KDC_1A-3A-21A-42C_n257LDC_1A-3A-21A-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257KDC_3A_n257LDC_3A_n257MDC_21A_n257ADC_21A_n257GDC_21A_n257HDC_21A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257I
DC_1A-3A-28A-42A_n257ADC_1A-3A-28A-42A_n257GDC_1A-3A-28A-42A_n257HDC_1A-3A-28A-42A_n257IDC_1A-3A-28A-42A_n257JDC_1A-3A-28A-42A_n257KDC_1A-3A-28A-42A_n257LDC_1A-3A-28A-42A_n257MDC_1A-3A-28A-42C_n257ADC_1A-3A-28A-42C_n257GDC_1A-3A-28A-42C_n257HDC_1A-3A-28A-42C_n257IDC_1A-3A-28A-42C_n257JDC_1A-3A-28A-42C_n257KDC_1A-3A-28A-42C_n257LDC_1A-3A-28A-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_3A_n257JDC_3A_n257KDC_3A_n257LDC_3A_n257MDC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-3A-41A-42A_n257ADC_1A-3A-41A-42A_n257DDC_1A-3A-41A-42A_n257EDC_1A-3A-41A-42A_n257FDC_1A-3A-41A-42A_n257GDC_1A-3A-41A-42A_n257HDC_1A-3A-41A-42A_n257IDC_1A-3A-41A-42A_n257JDC_1A-3A-41A-42A_n257KDC_1A-3A-41A-42A_n257LDC_1A-3A-41A-42A_n257MDC_1A-3A-41A-42C_n257ADC_1A-3A-41A-42C_n257DDC_1A-3A-41A-42C_n257EDC_1A-3A-41A-42C_n257FDC_1A-3A-41A-42C_n257GDC_1A-3A-41A-42C_n257HDC_1A-3A-41A-42C_n257IDC_1A-3A-41A-42C_n257JDC_1A-3A-41A-42C_n257KDC_1A-3A-41A-42C_n257LDC_1A-3A-41A-42C_n257MDC_1A-3A-41C-42A_n257ADC_1A-3A-41C-42A_n257DDC_1A-3A-41C-42A_n257EDC_1A-3A-41C-42A_n257FDC_1A-3A-41C-42A_n257GDC_1A-3A-41C-42A_n257HDC_1A-3A-41C-42A_n257IDC_1A-3A-41C-42A_n257JDC_1A-3A-41C-42A_n257KDC_1A-3A-41C-42A_n257LDC_1A-3A-41C-42A_n257MDC_1A-3A-41C-42C_n257ADC_1A-3A-41C-42C_n257DDC_1A-3A-41C-42C_n257EDC_1A-3A-41C-42C_n257FDC_1A-3A-41C-42C_n257GDC_1A-3A-41C-42C_n257HDC_1A-3A-41C-42C_n257IDC_1A-3A-41C-42C_n257JDC_1A-3A-41C-42C_n257KDC_1A-3A-41C-42C_n257LDC_1A-3A-41C-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_41A_n257ADC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n257ADC_41C_n257GDC_41C_n257HDC_41C_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
DC_1A-19A-21A-42A_n257ADC_1A-19A-21A-42A_n257DDC_1A-19A-21A-42A_n257EDC_1A-19A-21A-42A_n257FDC_1A-19A-21A-42A_n257GDC_1A-19A-21A-42A_n257HDC_1A-19A-21A-42A_n257IDC_1A-19A-21A-42A_n257JDC_1A-19A-21A-42A_n257KDC_1A-19A-21A-42A_n257LDC_1A-19A-21A-42A_n257MDC_1A-19A-21A-42C_n257ADC_1A-19A-21A-42C_n257DDC_1A-19A-21A-42C_n257EDC_1A-19A-21A-42C_n257FDC_1A-19A-21A-42C_n257GDC_1A-19A-21A-42C_n257HDC_1A-19A-21A-42C_n257IDC_1A-19A-21A-42C_n257JDC_1A-19A-21A-42C_n257KDC_1A-19A-21A-42C_n257LDC_1A-19A-21A-42C_n257M,DC_1A_n257ADC_1A_n257GDC_1A_n257HDC_1A_n257IDC_1A_n257JDC_1A_n257KDC_1A_n257LDC_1A_n257MDC_19A_n257ADC_19A_n257GDC_19A_n257HDC_19A_n257IDC_21A_n257ADC_21A_n257GDC_21A_n257HDC_21A_n257IDC_21A_n257JDC_21A_n257KDC_21A_n257LDC_21A_n257MDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257I
DC_1A-19A-28A-42A_n257ADC_1A-19A-28A-42C_n257A,DC_1A_n257ADC_19A_n257ADC_28A_n257ADC_42A_n257A
DC_1A-21A-28A-42A_n257A,DC_1A_n257ADC_21A_n257ADC_28A_n257ADC_42A_n257A
DC_2A-5A-30A-66A_n260ADC_2A-5A-30A-66A_n260GDC_2A-5A-30A-66A_n260HDC_2A-5A-30A-66A_n260IDC_2A-5A-30A-66A_n260JDC_2A-5A-30A-66A_n260KDC_2A-5A-30A-66A_n260LDC_2A-5A-30A-66A_n260M,DC_2A_n260ADC_5A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_5A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_5A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_5A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_5A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_5A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_5A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_5A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-2A-5A-30A-66A_n260ADC_2A-2A-5A-30A-66A_n260GDC_2A-2A-5A-30A-66A_n260HDC_2A-2A-5A-30A-66A_n260IDC_2A-2A-5A-30A-66A_n260JDC_2A-2A-5A-30A-66A_n260KDC_2A-2A-5A-30A-66A_n260LDC_2A-2A-5A-30A-66A_n260M,DC_2A_n260ADC_5A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_5A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_5A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_5A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_5A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_5A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_5A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_5A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-5A-30A-66A-66A_n260ADC_2A-5A-30A-66A-66A_n260GDC_2A-5A-30A-66A-66A_n260HDC_2A-5A-30A-66A-66A_n260IDC_2A-5A-30A-66A-66A_n260JDC_2A-5A-30A-66A-66A_n260KDC_2A-5A-30A-66A-66A_n260LDC_2A-5A-30A-66A-66A_n260M,DC_2A_n260ADC_5A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_5A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_5A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_5A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_5A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_5A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_5A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_5A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-12A-30A-66A_n260ADC_2A-12A-30A-66A_n260GDC_2A-12A-30A-66A_n260HDC_2A-12A-30A-66A_n260IDC_2A-12A-30A-66A_n260JDC_2A-12A-30A-66A_n260KDC_2A-12A-30A-66A_n260LDC_2A-12A-30A-66A_n260M,DC_2A_n260ADC_12A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_12A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_12A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_12A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_12A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_12A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_12A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_12A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-2A-12A-30A-66A_n260ADC_2A-2A-12A-30A-66A_n260GDC_2A-2A-12A-30A-66A_n260HDC_2A-2A-12A-30A-66A_n260IDC_2A-2A-12A-30A-66A_n260JDC_2A-2A-12A-30A-66A_n260KDC_2A-2A-12A-30A-66A_n260LDC_2A-2A-12A-30A-66A_n260M,DC_2A_n260ADC_12A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_12A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_12A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_12A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_12A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_12A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_12A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_12A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-12A-30A-66A-66A_n260ADC_2A-12A-30A-66A-66A_n260GDC_2A-12A-30A-66A-66A_n260HDC_2A-12A-30A-66A-66A_n260IDC_2A-12A-30A-66A-66A_n260JDC_2A-12A-30A-66A-66A_n260KDC_2A-12A-30A-66A-66A_n260LDC_2A-12A-30A-66A-66A_n260M,DC_2A_n260ADC_12A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_12A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_12A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_12A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_12A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_12A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_12A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_12A_n260MDC_30A_n260MDC_66A_n260M
DC_2A-14A-30A-66A_n260ADC_2A-14A-30A-66A_n260GDC_2A-14A-30A-66A_n260HDC_2A-14A-30A-66A_n260IDC_2A-14A-30A-66A_n260JDC_2A-14A-30A-66A_n260KDC_2A-14A-30A-66A_n260LDC_2A-14A-30A-66A_n260M,DC_2A_n260ADC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260MDC_14A_n260ADC_14A_n260GDC_14A_n260HDC_14A_n260IDC_14A_n260JDC_14A_n260KDC_14A_n260LDC_14A_n260MDC_30A_n260ADC_30A_n260GDC_30A_n260HDC_30A_n260IDC_30A_n260JDC_30A_n260KDC_30A_n260LDC_30A_n260MDC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260M
DC_2A-2A-14A-30A-66A_n260ADC_2A-2A-14A-30A-66A_n260GDC_2A-2A-14A-30A-66A_n260HDC_2A-2A-14A-30A-66A_n260IDC_2A-2A-14A-30A-66A_n260JDC_2A-2A-14A-30A-66A_n260KDC_2A-2A-14A-30A-66A_n260LDC_2A-2A-14A-30A-66A_n260M,DC_2A_n260ADC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260MDC_14A_n260ADC_14A_n260GDC_14A_n260HDC_14A_n260IDC_14A_n260JDC_14A_n260KDC_14A_n260LDC_14A_n260MDC_30A_n260ADC_30A_n260GDC_30A_n260HDC_30A_n260IDC_30A_n260JDC_30A_n260KDC_30A_n260LDC_30A_n260MDC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260M
DC_2A-14A-30A-66A-66A_n260ADC_2A-14A-30A-66A-66A_n260GDC_2A-14A-30A-66A-66A_n260HDC_2A-14A-30A-66A-66A_n260IDC_2A-14A-30A-66A-66A_n260JDC_2A-14A-30A-66A-66A_n260KDC_2A-14A-30A-66A-66A_n260LDC_2A-14A-30A-66A-66A_n260M,DC_2A_n260ADC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260MDC_14A_n260ADC_14A_n260GDC_14A_n260HDC_14A_n260IDC_14A_n260JDC_14A_n260KDC_14A_n260LDC_14A_n260MDC_30A_n260ADC_30A_n260GDC_30A_n260HDC_30A_n260IDC_30A_n260JDC_30A_n260KDC_30A_n260LDC_30A_n260MDC_66A_n260ADC_66A_n260GDC_66A_n260HDC_66A_n260IDC_66A_n260JDC_66A_n260KDC_66A_n260LDC_66A_n260M
DC_2A-29A-30A-66A_n260ADC_2A-29A-30A-66A_n260GDC_2A-29A-30A-66A_n260HDC_2A-29A-30A-66A_n260IDC_2A-29A-30A-66A_n260JDC_2A-29A-30A-66A_n260KDC_2A-29A-30A-66A_n260LDC_2A-29A-30A-66A_n260M,DC_2A_n260ADC_30A_n260ADC_66A_n260ADC_2A_n260GDC_30A_n260GDC_66A_n260GDC_2A_n260HDC_30A_n260HDC_66A_n260HDC_2A_n260IDC_30A_n260IDC_66A_n260IDC_2A_n260JDC_30A_n260JDC_66A_n260JDC_2A_n260KDC_30A_n260KDC_66A_n260KDC_2A_n260LDC_30A_n260LDC_66A_n260LDC_2A_n260MDC_30A_n260MDC_66A_n260M
DC_3A-19A-21A-42A_n257ADC_3A-19A-21A-42A_n257DDC_3A-19A-21A-42A_n257EDC_3A-19A-21A-42A_n257FDC_3A-19A-21A-42C_n257ADC_3A-19A-21A-42C_n257DDC_3A-19A-21A-42C_n257EDC_3A-19A-21A-42C_n257F,DC_3A_n257ADC_19A_n257ADC_21A_n257ADC_3A_n257DDC_19A_n257DDC_21A_n257D
DC_3A-28A-41A-42A_n257ADC_3A-28A-41A-42A_n257GDC_3A-28A-41A-42A_n257HDC_3A-28A-41A-42A_n257IDC_3A-28A-41A-42C_n257ADC_3A-28A-41A-42C_n257GDC_3A-28A-41A-42C_n257HDC_3A-28A-41A-42C_n257IDC_3A-28A-41C-42A_n257ADC_3A-28A-41C-42A_n257GDC_3A-28A-41C-42A_n257HDC_3A-28A-41C-42A_n257IDC_3A-28A-41C-42C_n257ADC_3A-28A-41C-42C_n257GDC_3A-28A-41C-42C_n257HDC_3A-28A-41C-42C_n257I,DC_28A_n257ADC_28A_n257GDC_28A_n257HDC_28A_n257IDC_3A_n257ADC_3A_n257GDC_3A_n257HDC_3A_n257IDC_41A_n257ADC_41A_n257GDC_41A_n257HDC_41A_n257IDC_41C_n257ADC_41C_n257GDC_41C_n257HDC_41C_n257IDC_42A_n257ADC_42A_n257GDC_42A_n257HDC_42A_n257IDC_42C_n257ADC_42C_n257GDC_42C_n257HDC_42C_n257I
NOTE 1:Uplink EN-DC configurations are the configurations supported by the present release of specifications.NOTE 2:Applicable for UE supporting inter-band EN-DC with mandatory simultaneous Rx/Tx capability for all of the above combinations.NOTE 3:Only single switched UL is supported.,
