Downlink NR DCconfiguration,Uplink NR DCconfiguration
DC_n1A-n3A-n28A-n257ADC_n1A-n3A-n28A-n257GDC_n1A-n3A-n28A-n257HDC_n1A-n3A-n28A-n257I,DC_n1A-n257A/G/H/IDC_n3A-n257A/G/H/IDC_n28A-n257A/G/H/I
DC_n1A-n3A-n77A-n257ADC_n1A-n3A-n77A-n257GDC_n1A-n3A-n77A-n257HDC_n1A-n3A-n77A-n257I,DC_n1A-n257A/G/H/IDC_n3A-n257A/G/H/IDC_n77A-n257A/G/H/I
DC_n1A-n3A-n79A-n257ADC_n1A-n3A-n79A-n257GDC_n1A-n3A-n79A-n257HDC_n1A-n3A-n79A-n257I,DC_n1A-n257A/G/H/IDC_n3A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n1A-n28A-n77A-n257ADC_n1A-n28A-n77A-n257GDC_n1A-n28A-n77A-n257HDC_n1A-n28A-n77A-n257I,DC_n1A-n257A/G/H/IDC_n28A-n257A/G/H/IDC_n77A-n257A/G/H/I
DC_n1A-n28A-n79A-n257ADC_n1A-n28A-n79A-n257GDC_n1A-n28A-n79A-n257HDC_n1A-n28A-n79A-n257I,DC_n1A-n257A/G/H/IDC_n28A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n1A-n77A-n79A-n257ADC_n1A-n77A-n79A-n257GDC_n1A-n77A-n79A-n257HDC_n1A-n77A-n79A-n257I,DC_n1A-n257A/G/H/IDC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n1A-n77(2A)-n79A-n257ADC_n1A-n77(2A)-n79A-n257GDC_n1A-n77(2A)-n79A-n257HDC_n1A-n77(2A)-n79A-n257I,DC_n1A-n257A/G/H/IDC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n1A-n78A-n79A-n257ADC_n1A-n78A-n79A-n257GDC_n1A-n78A-n79A-n257HDC_n1A-n78A-n79A-n257I,DC_n1A-n257A/G/H/IDC_n78A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n2A-n5A-n48A-n260ADC_n2A-n5A-n48A-n260GDC_n2A-n5A-n48A-n260HDC_n2A-n5A-n48A-n260IDC_n2A-n5A-n48A-n260JDC_n2A-n5A-n48A-n260KDC_n2A-n5A-n48A-n260LDC_n2A-n5A-n48A-n260M,DC_n2A-n260A/G/H/IDC_n5A-n260A/G/H/IDC_n48A-n260A/G/H/I
DC_n2A-n5A-n48A-n261ADC_n2A-n5A-n48A-n261GDC_n2A-n5A-n48A-n261HDC_n2A-n5A-n48A-n261IDC_n2A-n5A-n48A-n261JDC_n2A-n5A-n48A-n261KDC_n2A-n5A-n48A-n261LDC_n2A-n5A-n48A-n261MDC_n2A-n5A-n48A-n261(A-G)DC_n2A-n5A-n48A-n261(A-H)DC_n2A-n5A-n48A-n261(A-I)DC_n2A-n5A-n48A-n261(A-2G)DC_n2A-n5A-n48A-n261(2A-G)DC_n2A-n5A-n48A-n261(2A-H)DC_n2A-n5A-n48A-n261(2A-I)DC_n2A-n5A-n48A-n261(G-H)DC_n2A-n5A-n48A-n261(G-I)DC_n2A-n5A-n48A-n261(2A)DC_n2A-n5A-n48A-n261(3A)DC_n2A-n5A-n48A-n261(2G)DC_n2A-n5A-n48A-n261(2H)DC_n2A-n5A-n48A-n261(A-G-H)DC_n2A-n5A-n48A-n261(H-I)DC_n2A-n5A-n48A-n261(A-G-I),DC_n2A-n261A/G/H/IDC_n5A-n261A/G/H/IDC_n48A-n261A/G/H/I
DC_n2A-n5A-n66A-n260ADC_n2A-n5A-n66A-n260GDC_n2A-n5A-n66A-n260HDC_n2A-n5A-n66A-n260IDC_n2A-n5A-n66A-n260JDC_n2A-n5A-n66A-n260KDC_n2A-n5A-n66A-n260LDC_n2A-n5A-n66A-n260M,DC_n2A-n260A/G/H/IDC_n5A-n260A/G/H/IDC_n77A-n260A/G/H/I
DC_n2A-n5A-n66A-n261ADC_n2A-n5A-n66A-n261GDC_n2A-n5A-n66A-n261HDC_n2A-n5A-n66A-n261IDC_n2A-n5A-n66A-n261JDC_n2A-n5A-n66A-n261KDC_n2A-n5A-n66A-n261LDC_n2A-n5A-n66A-n261MDC_n2A-n5A-n66A-n261(2A)DC_n2A-n5A-n66A-n261(3A)DC_n2A-n5A-n66A-n261(2G)DC_n2A-n5A-n66A-n261(G-H)DC_n2A-n5A-n66A-n261(A-G-H)DC_n2A-n5A-n66A-n261(G-I)DC_n2A-n5A-n66A-n261(2H)DC_n2A-n5A-n66A-n261(A-G-I)DC_n2A-n5A-n66A-n261(H-I)DC_n2A-n5A-n66A-n261(A-G)DC_n2A-n5A-n66A-n261(A-H)DC_n2A-n5A-n66A-n261(2A-G)DC_n2A-n5A-n66A-n261(2A-H)DC_n2A-n5A-n66A-n261(A-2G)DC_n2A-n5A-n66A-n261(A-I)DC_n2A-n5A-n66A-n261(2A-I),DC_n2A-n261A/G/H/IDC_n5A-n261A/G/H/IDC_n66A-n261A/G/H/I
DC_n2A-n5A-n77A-n260ADC_n2A-n5A-n77A-n260GDC_n2A-n5A-n77A-n260HDC_n2A-n5A-n77A-n260IDC_n2A-n5A-n77A-n260JDC_n2A-n5A-n77A-n260KDC_n2A-n5A-n77A-n260LDC_n2A-n5A-n77A-n260M,DC_n2A-n260A/G/H/IDC_n5A-n260A/G/H/IDC_n77A-n260A/G/H/I
DC_n2A-n5A-n77A-n261ADC_n2A-n5A-n77A-n261GDC_n2A-n5A-n77A-n261HDC_n2A-n5A-n77A-n261IDC_n2A-n5A-n77A-n261JDC_n2A-n5A-n77A-n261KDC_n2A-n5A-n77A-n261LDC_n2A-n5A-n77A-n261MDC_n2A-n5A-n77A-n261(A-G)DC_n2A-n5A-n77A-n261(A-H)DC_n2A-n5A-n77A-n261(A-I)DC_n2A-n5A-n77A-n261(A-2G)DC_n2A-n5A-n77A-n261(2A-G)DC_n2A-n5A-n77A-n261(2A-H)DC_n2A-n5A-n77A-n261(2A-I)DC_n2A-n5A-n77A-n261(G-H)DC_n2A-n5A-n77A-n261(2A)DC_n2A-n5A-n77A-n261(3A)DC_n2A-n5A-n77A-n261(2G)DC_n2A-n5A-n77A-n261(2H)DC_n2A-n5A-n77A-n261(A-G-H)DC_n2A-n5A-n77A-n261(G-I)DC_n2A-n5A-n77A-n261(H-I)DC_n2A-n5A-n77A-n261(A-G-I),DC_n2A-n261A/G/H/IDC_n5A-n261A/G/H/IDC_n77A-n261A/G/H/I
DC_n2A-n48A-n66A-n260ADC_n2A-n48A-n66A-n260GDC_n2A-n48A-n66A-n260HDC_n2A-n48A-n66A-n260IDC_n2A-n48A-n66A-n260JDC_n2A-n48A-n66A-n260KDC_n2A-n48A-n66A-n260LDC_n2A-n48A-n66A-n260M,DC_n2A-n260A/G/H/IDC_n66A-n260A/G/H/IDC_n48A-n260A/G/H/I
DC_n2A-n48A-n66A-n261ADC_n2A-n48A-n66A-n261GDC_n2A-n48A-n66A-n261HDC_n2A-n48A-n66A-n261IDC_n2A-n48A-n66A-n261JDC_n2A-n48A-n66A-n261KDC_n2A-n48A-n66A-n261LDC_n2A-n48A-n66A-n261MDC_n2A-n48A-n66A-n261(A-G)DC_n2A-n48A-n66A-n261(A-H)DC_n2A-n48A-n66A-n261(A-I)DC_n2A-n48A-n66A-n261(A-2G)DC_n2A-n48A-n66A-n261(2A-G)DC_n2A-n48A-n66A-n261(2A-H)DC_n2A-n48A-n66A-n261(2A-I)DC_n2A-n48A-n66A-n261(G-H)DC_n2A-n48A-n66A-n261(2A)DC_n2A-n48A-n66A-n261(3A)DC_n2A-n48A-n66A-n261(2G)DC_n2A-n48A-n66A-n261(2H)DC_n2A-n48A-n66A-n261(A-G-H)DC_n2A-n48A-n66A-n261(G-I)DC_n2A-n48A-n66A-n261(H-I)DC_n2A-n48A-n66A-n261(A-G-I),DC_n2A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n48A-n261A/G/H/I
DC_n2A-n66A-n77A-n260ADC_n2A-n66A-n77A-n260GDC_n2A-n66A-n77A-n260HDC_n2A-n66A-n77A-n260IDC_n2A-n66A-n77A-n260JDC_n2A-n66A-n77A-n260KDC_n2A-n66A-n77A-n260LDC_n2A-n66A-n77A-n260M,DC_n2A-n260A/G/H/IDC_n66A-n260A/G/H/IDC_n77A-n260A/G/H/I
DC_n2A-n66A-n77A-n261ADC_n2A-n66A-n77A-n261GDC_n2A-n66A-n77A-n261HDC_n2A-n66A-n77A-n261IDC_n2A-n66A-n77A-n261JDC_n2A-n66A-n77A-n261KDC_n2A-n66A-n77A-n261LDC_n2A-n66A-n77A-n261MDC_n2A-n66A-n77A-n261(A-G)DC_n2A-n66A-n77A-n261(A-H)DC_n2A-n66A-n77A-n261(A-I)DC_n2A-n66A-n77A-n261(A-2G)DC_n2A-n66A-n77A-n261(2A-G)DC_n2A-n66A-n77A-n261(2A-H)DC_n2A-n66A-n77A-n261(2A-I)DC_n2A-n66A-n77A-n261(G-H)DC_n2A-n66A-n77A-n261(2A)DC_n2A-n66A-n77A-n261(3A)DC_n2A-n66A-n77A-n261(2G)DC_n2A-n66A-n77A-n261(2H)DC_n2A-n66A-n77A-n261(A-G-H)DC_n2A-n66A-n77A-n261(G-I)DC_n2A-n66A-n77A-n261(H-I)DC_n2A-n66A-n77A-n261(A-G-I),DC_n2A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n77A-n261A/G/H/I
DC_n3A-n7A-n78A-n258ADC_n3A-n7A-n78A-n258BDC_n3A-n7A-n78A-n258CDC_n3A-n7A-n78A-n258DDC_n3A-n7A-n78A-n258EDC_n3A-n7A-n78A-n258FDC_n3A-n7A-n78A-n258GDC_n3A-n7A-n78A-n258HDC_n3A-n7A-n78A-n258IDC_n3A-n7A-n78A-n258JDC_n3A-n7A-n78A-n258KDC_n3A-n7A-n78A-n258LDC_n3A-n7A-n78A-n258M,DC_n3A-n7ADC_n3A-n78ADC_n7A-n78ADC_n3A-n258A/G/H/IDC_n7A-n258A/G/H/IDC_n78A-n258A/G/H/I
DC_n3A-n7B-n78A-n258ADC_n3A-n7B-n78A-n258BDC_n3A-n7B-n78A-n258CDC_n3A-n7B-n78A-n258DDC_n3A-n7B-n78A-n258EDC_n3A-n7B-n78A-n258FDC_n3A-n7B-n78A-n258GDC_n3A-n7B-n78A-n258HDC_n3A-n7B-n78A-n258IDC_n3A-n7B-n78A-n258JDC_n3A-n7B-n78A-n258KDC_n3A-n7B-n78A-n258LDC_n3A-n7B-n78A-n258M,DC_n3A-n7ADC_n3A-n78ADC_n7A-n78ADC_n3A-n258A/G/H/IDC_n7A-n258A/G/H/IDC_n78A-n258A/G/H/I
DC_n3A-n28A-n77A-n257ADC_n3A-n28A-n77A-n257GDC_n3A-n28A-n77A-n257HDC_n3A-n28A-n77A-n257I,DC_n3A-n28ADC_n3A-n77ADC_n3A-n257A/G/H/IDC_n28A-n77ADC_n28A-n257A/G/H/IDC_n77A-n257A/G/H/I
DC_n3A-n28A-n77(2A)-n257ADC_n3A-n28A-n77(2A)-n257GDC_n3A-n28A-n77(2A)-n257HDC_n3A-n28A-n77(2A)-n257I,DC_n3A-n28ADC_n3A-n77ADC_n3A-n257A/G/H/IDC_n28A-n77ADC_n28A-n257A/G/H/IDC_n77A-n257A/G/H/I
DC_n3A-n28A-n78A-n257ADC_n3A-n28A-n78A-n257GDC_n3A-n28A-n78A-n257HDC_n3A-n28A-n78A-n257I,DC_n3A-n257A/G/H/IDC_n28A-n257A/G/H/IDC_n78A-n257A/G/H/I
DC_n3A-n28A-n79A-n257ADC_n3A-n28A-n79A-n257GDC_n3A-n28A-n79A-n257HDC_n3A-n28A-n79A-n257I,DC_n3A-n28ADC_n3A-n79ADC_n3A-n257A/G/H/IDC_n28A-n79ADC_n28A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n3A-n77A-n79A-n257ADC_n3A-n77A-n79A-n257GDC_n3A-n77A-n79A-n257HDC_n3A-n77A-n79A-n257I,DC_n3A-n257A/G/H/IDC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n3A-n77(2A)-n79A-n257ADC_n3A-n77(2A)-n79A-n257GDC_n3A-n77(2A)-n79A-n257HDC_n3A-n77(2A)-n79A-n257I,DC_n3A-n257A/G/H/IDC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n5A-n48A-n66A-n260ADC_n5A-n48A-n66A-n260GDC_n5A-n48A-n66A-n260HDC_n5A-n48A-n66A-n260IDC_n5A-n48A-n66A-n260JDC_n5A-n48A-n66A-n260KDC_n5A-n48A-n66A-n260LDC_n5A-n48A-n66A-n260M,DC_n5A-n260A/G/H/IDC_n48A-n260A/G/H/IDC_n66A-n260A/G/H/I
DC_n5A-n48A-n66A-n261ADC_n5A-n48A-n66A-n261GDC_n5A-n48A-n66A-n261HDC_n5A-n48A-n66A-n261IDC_n5A-n48A-n66A-n261JDC_n5A-n48A-n66A-n261KDC_n5A-n48A-n66A-n261LDC_n5A-n48A-n66A-n261M,DC_n5A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n48A-n261A/G/H/I
DC_n5A-n48A-n66A-n261(A-G)DC_n5A-n48A-n66A-n261(A-H)DC_n5A-n48A-n66A-n261(A-I)DC_n5A-n48A-n66A-n261(A-2G)DC_n5A-n48A-n66A-n261(2A-G)DC_n5A-n48A-n66A-n261(2A-H)DC_n5A-n48A-n66A-n261(2A-I)DC_n5A-n48A-n66A-n261(G-H)DC_n5A-n48A-n66A-n261(2A)DC_n5A-n48A-n66A-n261(3A)DC_n5A-n48A-n66A-n261(2G)DC_n5A-n48A-n66A-n261(2H)DC_n5A-n48A-n66A-n261(A-G-H)DC_n5A-n48A-n66A-n261(G-I)DC_n5A-n48A-n66A-n261(H-I)DC_n5A-n48A-n66A-n261(A-G-I),DC_n5A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n48A-n261A/G/H/I
DC_n5A-n66A-n77A-n260ADC_n5A-n66A-n77A-n260GDC_n5A-n66A-n77A-n260HDC_n5A-n66A-n77A-n260IDC_n5A-n66A-n77A-n260JDC_n5A-n66A-n77A-n260KDC_n5A-n66A-n77A-n260LDC_n5A-n66A-n77A-n260M,DC_n5A-n260A/G/H/IDC_n66A-n260A/G/H/IDC_n77A-n260A/G/H/I
DC_n5A-n66A-n77A-n261ADC_n5A-n66A-n77A-n261GDC_n5A-n66A-n77A-n261HDC_n5A-n66A-n77A-n261IDC_n5A-n66A-n77A-n261JDC_n5A-n66A-n77A-n261KDC_n5A-n66A-n77A-n261LDC_n5A-n66A-n77A-n261M,DC_n5A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n77A-n261A/G/H/I
DC_n5A-n66A-n77A-n261(A-G)DC_n5A-n66A-n77A-n261(A-H)DC_n5A-n66A-n77A-n261(A-I)DC_n5A-n66A-n77A-n261(A-2G)DC_n5A-n66A-n77A-n261(2A-G)DC_n5A-n66A-n77A-n261(2A-H)DC_n5A-n66A-n77A-n261(2A-I)DC_n5A-n66A-n77A-n261(G-H)DC_n5A-n66A-n77A-n261(2A)DC_n5A-n66A-n77A-n261(3A)DC_n5A-n66A-n77A-n261(2G)DC_n5A-n66A-n77A-n261(2H)DC_n5A-n66A-n77A-n261(A-G-H)DC_n5A-n66A-n77A-n261(G-I)DC_n5A-n66A-n77A-n261(H-I)DC_n5A-n66A-n77A-n261(A-G-I),DC_n5A-n261A/G/H/IDC_n66A-n261A/G/H/IDC_n77A-n261A/G/H/I
DC_n7A-n26A-n78A-n258ADC_n7A-n26A-n78A-n258BDC_n7A-n26A-n78A-n258CDC_n7A-n26A-n78A-n258DDC_n7A-n26A-n78A-n258EDC_n7A-n26A-n78A-n258FDC_n7A-n26A-n78A-n258GDC_n7A-n26A-n78A-n258HDC_n7A-n26A-n78A-n258IDC_n7A-n26A-n78A-n258JDC_n7A-n26A-n78A-n258KDC_n7A-n26A-n78A-n258LDC_n7A-n26A-n78A-n258MDC_n7A-n26A-n78A-n258R2DC_n7A-n26A-n78A-n258R3DC_n7A-n26A-n78A-n258R4DC_n7A-n26A-n78A-n258R5DC_n7A-n26A-n78A-n258R6DC_n7A-n26A-n78A-n258R7DC_n7A-n26A-n78A-n258R8DC_n7A-n26A-n78A-n258R9DC_n7A-n26A-n78A-n258R10,DC_n7A-n26ADC_n7A-n78ADC_n7A-n258A/G/H/I/R2/R3/R4DC_n26A-n78ADC_n26A-n258A/G/H/I/R2/R3/R4DC_n78A-n258A/G/H/I/R2/R3/R4
DC_n7B-n26A-n78A-n258ADC_n7B-n26A-n78A-n258BDC_n7B-n26A-n78A-n258CDC_n7B-n26A-n78A-n258DDC_n7B-n26A-n78A-n258EDC_n7B-n26A-n78A-n258FDC_n7B-n26A-n78A-n258GDC_n7B-n26A-n78A-n258HDC_n7B-n26A-n78A-n258IDC_n7B-n26A-n78A-n258JDC_n7B-n26A-n78A-n258KDC_n7B-n26A-n78A-n258LDC_n7B-n26A-n78A-n258MDC_n7B-n26A-n78A-n258R2DC_n7B-n26A-n78A-n258R3DC_n7B-n26A-n78A-n258R4DC_n7B-n26A-n78A-n258R5DC_n7B-n26A-n78A-n258R6DC_n7B-n26A-n78A-n258R7DC_n7B-n26A-n78A-n258R8DC_n7B-n26A-n78A-n258R9DC_n7B-n26A-n78A-n258R10,DC_n7A-n26ADC_n7A-n78ADC_n7A-n258A/G/H/I/R2/R3/R4DC_n26A-n78ADC_n26A-n258A/G/H/I/R2/R3/R4DC_n78A-n258A/G/H/I/R2/R3/R4
DC_n28A-n77A-n79A-n257ADC_n28A-n77A-n79A-n257GDC_n28A-n77A-n79A-n257HDC_n28A-n77A-n79A-n257I,DC_n28A-n77ADC_n28A-n79ADC_n28A-n257A/G/H/IDC_n77A-n79ADC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n28A-n77(2A)-n79A-n257ADC_n28A-n77(2A)-n79A-n257GDC_n28A-n77(2A)-n79A-n257HDC_n28A-n77(2A)-n79A-n257I,DC_n28A-n77ADC_n28A-n79ADC_n28A-n257A/G/H/IDC_n77A-n79ADC_n77A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n28A-n78A-n79A-n257ADC_n28A-n78A-n79A-n257GDC_n28A-n78A-n79A-n257HDC_n28A-n78A-n79A-n257I,DC_n28A-n257A/G/H/IDC_n78A-n257A/G/H/IDC_n79A-n257A/G/H/I
DC_n77A-n79A-n257A-n259ADC_n77A-n79A-n257A-n259GDC_n77A-n79A-n257A-n259HDC_n77A-n79A-n257A-n259IDC_n77A-n79A-n257A-n259JDC_n77A-n79A-n257A-n259KDC_n77A-n79A-n257A-n259LDC_n77A-n79A-n257A-n259MDC_n77A-n79A-n257G-n259ADC_n77A-n79A-n257G-n259GDC_n77A-n79A-n257G-n259HDC_n77A-n79A-n257G-n259IDC_n77A-n79A-n257G-n259JDC_n77A-n79A-n257G-n259KDC_n77A-n79A-n257G-n259LDC_n77A-n79A-n257G-n259MDC_n77A-n79A-n257H-n259ADC_n77A-n79A-n257H-n259GDC_n77A-n79A-n257H-n259HDC_n77A-n79A-n257H-n259IDC_n77A-n79A-n257H-n259JDC_n77A-n79A-n257H-n259KDC_n77A-n79A-n257H-n259LDC_n77A-n79A-n257H-n259MDC_n77A-n79A-n257I-n259ADC_n77A-n79A-n257I-n259GDC_n77A-n79A-n257I-n259HDC_n77A-n79A-n257I-n259IDC_n77A-n79A-n257I-n259JDC_n77A-n79A-n257I-n259KDC_n77A-n79A-n257I-n259LDC_n77A-n79A-n257I-n259M,DC_n77A-n79ADC_n77A-n257A/G/H/IDC_n77A-n259A/G/H/I/J/K/L/MDC_n79A-n257A/G/H/IDC_n79A-n259A/G/H/I/J/K/L/M
