NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n28A-n257A,CA_n28A-n257A,n28,"5, 10, 15, 20",0
,,n257,"50, 100, 200, 400",
CA_n28A-n257D,CA_n28A-n257A/D,n28,"5, 10, 15, 20",0
,,n257,CA_n257D,
CA_n28A-n257G,CA_n257GCA_n28A-n257A/G,n28,"5, 10, 15, 20",0
,,n257,CA_n257G,
CA_n28A-n257H,CA_n257G/HCA_n28A-n257A/G/H,n28,"5, 10, 15, 20",0
,,n257,CA_n257H,
CA_n28A-n257I,CA_n257G/H/ICA_n28A-n257A/G/H/I,n28,"5, 10, 15, 20",0
,,n257,CA_n257I,
CA_n28A-n258A,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,"50, 100, 200, 400",
CA_n28A-n258B,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,CA_n258B,
CA_n28A-n258C,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,CA_n258C,
CA_n28A-n258D,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,CA_n258D,
CA_n28A-n258E,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,CA_n258E,
CA_n28A-n258F,CA_n28A-n258A,n28,"5, 10, 15, 20",0
,,n258,CA_n258F,
CA_n28A-n258G,CA_n28A-n258A/G,n28,"5, 10, 15, 20",0
,,n258,CA_n258G,
CA_n28A-n258H,CA_n28A-n258A/G/H,n28,"5, 10, 15, 20",0
,,n258,CA_n258H,
CA_n28A-n258I,CA_n28A-n258A/G/H/I,n28,"5, 10, 15, 20",0
,,n258,CA_n258I,
CA_n28A-n258J,CA_n28A-n258A/G/H/I,n28,"5, 10, 15, 20",0
,,n258,CA_n258J,
CA_n28A-n258K,CA_n28A-n258A/G/H/I,n28,"5, 10, 15, 20",0
,,n258,CA_n258K,
CA_n28A-n258L,CA_n28A-n258A/G/H/I,n28,"5, 10, 15, 20",0
,,n258,CA_n258L,
CA_n28A-n258M,CA_n28A-n258A/G/H/I,n28,"5, 10, 15, 20",0
,,n258,CA_n258M,
CA_n28A-n258R2,CA_n28A-n258A/R2,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R2,
CA_n28A-n258R3,CA_n28A-n258A/R2/R3,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R3,
CA_n28A-n258R4,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R4,
CA_n28A-n258R5,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R5,
CA_n28A-n258R6,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R6,
CA_n28A-n258R7,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R7,
CA_n28A-n258R8,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R8,
CA_n28A-n258R9,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R9,
CA_n28A-n258R10,CA_n28A-n258A/R2/R3/R4,n28,"5, 10, 15, 20, 25, 30",0
,,n258,CA_n258R10,
CA_n30A-n257A,CA_n30A-n257A,n30,"5, 10",0
,,n257,"50, 100, 200, 400",
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,See n257 channel bandwidths in Table 5.3.5-1,
CA_n30A-n257G,CA_n30A-n257A/G,n30,"5, 10",0
,,n257,CA_n257G,
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257G,
CA_n30A-n257H,CA_n30A-n257A/G/H,n30,"5, 10",0
,,n257,CA_n257H,
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257H,
CA_n30A-n257I,CA_n30A-n257A/G/H/I,n30,"5, 10",0
,,n257,CA_n257I,
,,n30,See n30 channel bandwidths in Table 5.3.5-1,4 and 5
,,n257,CA_n257I,
CA_n30A-n257J,CA_n30A-n257A/G/H/I/J,n30,"5, 10",0
,,n257,CA_n257J,
