NR CA configuration,Uplink CA configuration,NR Band,Channel bandwidth (MHz) (note 3),Bandwidth combination set
CA_n104A-n258A,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,"50, 100, 200, 400",
CA_n104A-n258B,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258B,
CA_n104A-n258C,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258C,
CA_n104A-n258D,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258D,
CA_n104A-n258E,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258E,
CA_n104A-n258F,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258F,
CA_n104A-n258G,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258G,
CA_n104A-n258H,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258H,
CA_n104A-n258I,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258I,
CA_n104A-n258J,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258J,
CA_n104A-n258K,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258K,
CA_n104A-n258L,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258L,
CA_n104A-n258M,CA_n104A-n258A,n104,"20, 30, 40, 50, 60, 70, 80, 90, 100",0
,,n258,CA_n258M,
CA_n105A-n257A,CA_n105A-n257A,n105,"5, 10,15, 20, 25, 30, 35",0
,,n257,"50, 100, 200, 400",
CA_n105A-n258A,CA_n105A-n258A,n105,"5, 10,15, 20, 25, 30, 35",0
,,n258,"50, 100, 200, 400",
