EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A_n257ADC_1A_n257DDC_1A_n257EDC_1A_n257FDC_1A_n257GDC_1A_n257HDC_1A_n257IDC_1A_n257JDC_1A_n257KDC_1A_n257LDC_1A_n257M,DC_1A_n257ADC_1A_n257DDC_1A_n257GDC_1A_n257HDC_1A_n257IDC_1A_n257JDC_1A_n257KDC_1A_n257LDC_1A_n257M
DC_1A_n257(2A)DC_1A_n257(A-G)DC_1A_n257(2G),DC_1A_n257ADC_1A_n257GDC_1A_n257(2A)DC_1A_n257(2G)
DC_1A_n258ADC_1A_n258BDC_1A_n258CDC_1A_n258DDC_1A_n258EDC_1A_n258FDC_1A_n258GDC_1A_n258HDC_1A_n258IDC_1A_n258JDC_1A_n258KDC_1A_n258LDC_1A_n258M,DC_1A_n258ADC_1A_n258DDC_1A_n258GDC_1A_n258HDC_1A_n258I
DC_1A_n258(2A)DC_1A_n258(A-G)DC_1A_n258(2G),DC_1A_n258ADC_1A_n258GDC_1A_n258(2A)DC_1A_n258(A-G)DC_1A_n258(2G)
DC_2A_n257ADC_2C_n257ADC_2A_n257GDC_2A_n257HDC_2A_n257IDC_2A_n257JDC_2A_n257KDC_2A_n257LDC_2A_n257M,DC_2A_n257ADC_2A_n257GDC_2A_n257HDC_2A_n257IDC_2A_n257JDC_2A_n257KDC_2A_n257LDC_2A_n257M
DC_2A_n257(2A),DC_2A_n257A
DC_2A-2A_n257A,DC_2A_n257A
DC_2A_n258ADC_2A_n258DDC_2A_n258GDC_2A_n258HDC_2A_n258IDC_2A_n258JDC_2A_n258KDC_2A_n258LDC_2A_n258MDC_2A_n258ODC_2A_n258PDC_2A_n258Q,DC_2A_n258ADC_2A_n258DDC_2A_n258GDC_2A_n258HDC_2A_n258IDC_2A_n258JDC_2A_n258KDC_2A_n258LDC_2A_n258MDC_2A_n258ODC_2A_n258PDC_2A_n258Q
DC_2A_n258(2A)DC_2A_n258(3A)DC_2A_n258(4A)DC_2A_n258(5A),DC_2A_n258A
DC_2A_n260ADC_2A_n260DDC_2A_n260EDC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260MDC_2A_n260ODC_2A_n260PDC_2A_n260QDC_2C_n260A,DC_2A_n260ADC_2A_n260DDC_2A_n260EDC_2A_n260GDC_2A_n260HDC_2A_n260IDC_2A_n260JDC_2A_n260KDC_2A_n260LDC_2A_n260MDC_2A_n260ODC_2A_n260PDC_2A_n260Q
