EN-DCconfiguration,Uplink EN-DC configuration(note 1)
DC_1A-3A_n1A-n41A,DC_1A_n1A4DC_1A_n41ADC_3A_n1ADC_3A_n41A
DC_1A-3A-3A_n1A-n41A,DC_1A_n1A4DC_1A_n41ADC_3A_n1ADC_3A_n41A
DC_1A-(n)3AA-n8A,DC_1A_n3ADC_1A_n8ADC_(n)3AA1DC_3A_n8A
DC_1A-3A_n3A-n41A,DC_1A_n3ADC_1A_n41ADC_3A_n3A4DC_3A_n41A
DC_1A-3A_n1A-n78A,DC_1A_n1A4DC_1A_n78ADC_3A_n1ADC_3A_n78A
DC_1A-3A-3A_n1A-n78A,DC_1A_n1A4DC_1A_n78ADC_3A_n1ADC_3A_n78A
"DC_1A-3A_n3A-n77A2, 9",DC_1A_n3ADC_1A_n77A9DC_3A_n3A4DC_3A_n77A9
DC_1A-(n)3AA-n78ADC_1A-(n)3CA-n78A,DC_1A_n3ADC_1A_n78ADC_3A_n3A4DC_(n)3AA4DC_3A_n78ADC_3C_n78A
DC_1A-3A_n3A-n78A2,DC_1A_n3ADC_1A_n78ADC_3A_n3A4DC_3A_n78A
DC_1A-3A-5A_n28A,DC_1A_n28ADC_3A_n28ADC_5A_n28A
DC_1A-3A-5A_n40A,DC_1A_n40ADC_3A_n40ADC_5A_n40A
DC_1A-3A_n5A-n40A,DC_1A_n5ADC_1A_n40ADC_3A_n5ADC_3A_n40A
DC_1A-3A-5A_n77A,DC_1A_n77ADC_3A_n77ADC_5A_n77A
DC_1A-3A-5A_n77(2A)DC_1A-3A-5A_n77(3A),DC_1A_n77ADC_3A_n77ADC_5A_n77A
DC_1A-3A-5A_n78A2 DC_1A-3A-5A_n78C2DC_1A-3C-5A_n78A,DC_1A_n78ADC_3A_n78ADC_5A_n78A
DC_1A-1A-3A-5A_n78ADC_1A-1A-3C-5A_n78A,DC_1A_n78ADC_3A_n78ADC_5A_n78A
DC_1A-3A-5A_n78(2A)DC_1A-3A-5A_n78(A-C),DC_1A_n78ADC_3A_n78ADC_5A_n78A
DC_1A-3A_n5A-n78A2DC_1A-3C_n5A-n78A2,DC_1A_n5ADC_1A_n78ADC_3A_n5ADC_3A_n78ADC_3C_n78A
DC_1A-3A-5A_n79A2,DC_1A_n79ADC_3A_n79ADC_5A_n79A
DC_1A-3A-7A_n1A,DC_1A_n1ADC_3A_n1ADC_7A_n1A
DC_1A-3A-7A_n3ADC_1A-3A-7C_n3A,DC_1A_n3ADC_3A_n3A4DC_7A_n3A
DC_1A-3A-7A_n5ADC_1A-3A-7C_n5ADC_1A-3C-7A_n5ADC_1A-3C-7C_n5A,DC_1A_n5ADC_3A_n5ADC_7A_n5ADC_7C_n5A
DC_1A-3A-7A_n7ADC_1A-3C-7A_n7A,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_7A_n7A4
DC_1A-1A-3A-7A_n7ADC_1A-1A-3C-7A_n7A,DC_1A_n7ADC_3A_n7ADC_3C_n7ADC_7A_n7A4
DC_1A-3A-3A-7A_n7A,DC_1A_n7ADC_3A_n7ADC_7A_n7A4
DC_1A-1A-3A-3A-7A_n7A,DC_1A_n7ADC_3A_n7ADC_7A_n7A4
DC_1A-3A-(n)7AADC_1A-3C-(n)7AA,DC_1A_n7ADC_3A_n7A
DC_1A-3A-7A_n8A,DC_1A_n8ADC_3A_n8ADC_7A_n8A
DC_1A-3A-3A-7A_n8A,DC_1A_n8ADC_3A_n8ADC_7A_n8A
DC_1A-3A-7A-7A_n8A,DC_1A_n8ADC_3A_n8ADC_7A_n8A
DC_1A-3A-3A-7A-7A_n8A,DC_1A_n8ADC_3A_n8ADC_7A_n8A
DC_1A-3A-7A_n26ADC_1A-3A-7C_n26ADC_1A-3C-7A_n26ADC_1A-3C-7C_n26A,DC_1A_n26ADC_3A_n26ADC_3C_n26ADC_7A_n26ADC_7C_n26A
DC_1A-3A-7A_n28ADC_1A-3A-7C_n28ADC_1A-3C-7A_n28ADC_1A-3C-7C_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28ADC_7A_n28ADC_7C_n28A
DC_1A-3A-7A-7A_n28A,DC_1A_n28ADC_3A_n28ADC_7A_n28A
DC_1A-1A-3A-7A_n28ADC_1A-1A-3C-7A_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28ADC_7A_n28A
"DC_1A-3A-7A_n38A12,13",CA_1A-3A
DC_1A-3A-7A_n40A,DC_1A_n40ADC_3A_n40ADC_7A_n40A
DC_1A-3A-7A-7A_n40A,DC_1A_n40ADC_3A_n40ADC_7A_n40A
DC_1A-3A-7A_n77A,DC_1A_n77ADC_3A_n77ADC_7A_n77A
DC_1A-3A-7A_n77(2A)DC_1A-3A-7A_n77(3A),DC_1A_n77ADC_3A_n77ADC_7A_n77A
DC_1A-3A-7A-7A_n77A,DC_1A_n77ADC_3A_n77ADC_7A_n77A
DC_1A-3A-7A-7A_n77(2A)DC_1A-3A-7A-7A_n77(3A),DC_1A_n77ADC_3A_n77ADC_7A_n77A
"DC_1A-3A-7A_n78A2,14DC_1A-3A-7C_n78ADC_1A-3C-7A_n78A2DC_1A-3C-7C_n78ADC_1A-3A-7A_n78C2",DC_1A_n78A14DC_3A_n78A14DC_3C_n78ADC_7A_n78A14DC_7C_n78A
"DC_1A-3A-3A-7A_n78A2,14",DC_1A_n78A14DC_3A_n78A14DC_7A_n78A14
DC_1A-3A-7A_n78(2A)DC_1A-3C-7A_n78(2A)DC_1A-3A-7C_n78(2A)DC_1A-3C-7C_n78(2A)DC_1A-3A-7A_n78(A-C),DC_1A_n78ADC_3A_n78ADC_3C_n78ADC_7A_n78ADC_7C_n78A
DC_1A-1A-3A-7A_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78A
DC_1A-1A-3A-3A-7A_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78A
DC_1A-3A_n7A-n78ADC_1A-3A_n7B-n78A,DC_1A_n7ADC_1A_n78ADC_3A_n7ADC_3A_n78A
DC_1A-3A_n7A-n78(2A)DC_1A-3C_n7A-n78(2A),DC_1A_n7ADC_1A_n78ADC_3A_n7ADC_3A_n78ADC_3C_n7ADC_3C_n78A
DC_1A-3C_n7A-n78ADC_1A-3C_n7B-n78A,DC_1A_n7ADC_1A_n78ADC_3A_n7ADC_3A_n78ADC_3C_n7ADC_3C_n78A
"DC_1A-3A-7A-7A_n78A2,14DC_1A-3A-7A-7A_n78C2",DC_1A_n78A14DC_3A_n78A14DC_7A_n78A14
DC_1A-1A-3C-7A_n78A,DC_1A_n78ADC_3A_n78ADC_7A_n78A
DC_1A-3A-7A-7A_n78(2A)DC_1A-3A-7A-7A_n78(A-C),DC_1A_n78ADC_3A_n78ADC_7A_n78A
"DC_1A-3A-3A-7A-7A_n78A2,14",DC_1A_n78A14DC_3A_n78A14DC_7A_n78A14
DC_1A-3A-7A_n105A,DC_1A_n105ADC_3A_n105ADC_7A_n105A
DC_1A-3A-8A_n1A,DC_1A_n1A4DC_3A_n1ADC_8A_n1A
DC_1A-3A-3A-8A_n1A,DC_1A_n1A4DC_3A_n1ADC_8A_n1A
DC_1A-3A-8A_n7A,DC_1A_n7ADC_3A_n7ADC_8A_n7A
DC_1A-3A-8A_n28ADC_1A-3C-8A_n28A,DC_1A_n28ADC_3A_n28ADC_3C_n28ADC_8A_n28A
DC_1A-3A-8A_n40ADC_1A-3C-8A_n40A,DC_1A_n40ADC_3A_n40ADC_8A_n40A
DC_1A-3A-8A_n41A,DC_1A_n41ADC_3A_n41ADC_8A_n41A
DC_1A-3A-3A-8A_n41A,DC_1A_n41ADC_3A_n41ADC_8A_n41A
DC_1A-3A-8A_n71ADC_1A-3C-8A_n71A,DC_1A_n71ADC_3A_n71ADC_8A_n71A
"DC_1A-3A-8A_n77A2,9DC_1A-3C-8A_n77A2,9",DC_1A_n77A9DC_3A_n77A9DC_3C_n77ADC_8A_n77A9
DC_1A-3A-8A_n77(2A)2DC_1A-3C-8A_n77(2A),DC_1A_n77A9DC_3A_n77A9DC_3C_n77ADC_8A_n77A9
DC_1A_n3A-n8A-n77A,DC_1A_n3ADC_1A_n8ADC_1A_n77A
DC_1A_n3A-n8A-n77(2A),DC_1A_n3ADC_1A_n8ADC_1A_n77A
DC_1A-3A-8A_n77(3A)2,DC_1A_n77ADC_3A_n77ADC_8A_n77A
DC_1A-3A_n8A-n77A,DC_1A_n8ADC_1A_n77ADC_3A_n8ADC_3A_n77A
DC_1A-3A_n8A-n77(2A),DC_1A_n8ADC_1A_n77ADC_3A_n8ADC_3A_n77A
"DC_1A-3A-8A_n78A2,9DC_1A-3A-8B_n78A2DC_1A-3C-8A_n78A2,9",DC_1A_n78A9DC_3A_n78A9DC_3C_n78ADC_8A_n78A9DC_8B_n78A
DC_1A-3A-8A_n78(2A)2DC_1A-3C-8A_n78(2A)2,DC_1A_n78A9DC_3A_n78A9DC_3C_n78ADC_8A_n78A9
DC_1A-3A-3A-8A_n78A2DC_1A-3A-3A-8B_n78A2,DC_1A_n78ADC_3A_n78ADC_8A_n78ADC_8B_n78A
DC_1A-3A_n8A-n78A14,DC_1A_n8ADC_1A_n78A14DC_3A_n8ADC_3A_n78A14
"DC_1A-3A-3A_n8A-n78A2,14",DC_1A_n8ADC_1A_n78A14DC_3A_n8ADC_3A_n78A14
"DC_1A-3A-8A_n79A2, 9",DC_1A_n79A9DC_3A_n79A9DC_8A_n79A9
DC_1A-3A-11A_n28A,DC_1A_n28ADC_3A_n28ADC_11A_n28A
"DC_1A-3A-11A_n77A2,9",DC_1A_n77A9DC_3A_n77A9DC_11A_n77A
