Parameter,Unit,Value,,,,,,
Reference channel,,CCR.3.1 TDD,CCR.3.2 TDD,CCR.3.3 TDD,CCR.3.4 TDD,CCR.3.5 TDD,CCR.3.6 TDD,CCR.3.7 TDD
Channel bandwidth,MHz,100,100,100,100,100,100,100
Subcarrier spacing,kHz,120,120,120,120,120,120,120
Allocated resource blocks for CORESET Note 3,,24,24,24,24,24,24,48
Number of transmitter antennas,,1,1,1,1,1,1,1
monitoringSlotPeriodicityAndOffset Note 4,,sl1600,sl1600,sl16080,sl1600,sl1600,sl16080,sl1600
monitoringSymbolsWithinSlot,,11000000000000,00110000000000,11000000000000,10000000000000,00100000000000,10000000000000,11000000000000
Duration of CORESET,slot,1,1,1,2,2,2,1
REG bundle size,,6,6,6,6,6,6,6
DMRS precoder granularity,,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size
CCE to REG mapping,,Interleaved,Interleaved,Interleaved,Interleaved,Interleaved,Interleaved,Interleaved
Interleave n_shift,,0,0,0,0,0,0,0
Interleave size,,2,2,2,2,2,2,2
Beamforming Pre-Coder,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Aggregation level,CCE,4,4,4,8,8,8,4
DCI formats,,Note 1,Note 1,Note 1,Note 1,Note 1,Note 1,Note 1
Payload size (without CRC),bits,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2
NOTE 1:DCI format shall depend upon the test configuration.NOTE 2:Payload size shall depend upon the test configuration.NOTE 3:Allocated in the same resource blocks where the associated PDSCH RMC is scheduled.NOTE 4: monitoringSlotPeriodicityAndOffet is set to “sl1 0” if it is specifically stated that cell(s) configured with one of the control channel RMCs above shall transmit PDCCHs continuously.,,,,,,,,
