Parameter,Unit,E-UTRAN Cell
Duplex mode,,FDD or TDD
TDD special subframe configurationNote1,,6
TDD uplink-downlink configurationNote1,,1
BWchannel,MHz,"5 MHz: NRB,c = 2510 MHz: NRB,c = 5020 MHz: NRB,c = 100"
PDSCH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.7 FDD10 MHz: R.3 FDD20 MHz: R.6 FDD5 MHz: R.4 TDD10 MHz: R.0 TDD20 MHz: R.3 TDD
PCFICH/PDCCH/PHICH parameters:DL Reference Measurement ChannelNote2,,5 MHz: R.11 FDD10 MHz: R.6 FDD20 MHz: R.10 FDD5 MHz: R.11 TDD10 MHz: R.6 TDD20 MHz: R.10 TDD
OCNG PatternsNote2,,5 MHz: OP.20 FDD10 MHz: OP.10 FDD20 MHz: OP.17 FDD5 MHz: OP.9 TDD10 MHz: OP.1 TDD20 MHz: OP.7 TDD
PBCH_RA,dB,
PBCH_RB,dB,
PSS_RA,dB,
SSS_RA,dB,
PCFICH_RB,dB,
PHICH_RA,dB,
PHICH_RB,dB,0
PDCCH_RA,dB,
PDCCH_RB,dB,
PDSCH_RA,dB,
PDSCH_RB,dB,
OCNG_RANote3,dB,
OCNG_RBNote3,dB,
"NOTE 1:Special subframe and uplink-downlink configurations are specified in table 4.2-1 in TS 36.211.NOTE 2:DL RMCs and OCNG patterns are specified in clauses A 3.1 and A 3.2 of TS 36.133 respectively.NOTE 3:OCNG shall be used such that all cells are fully allocated and a constant total transmitted power spectral density is achieved for all OFDM symbols.NOTE 4:The E-UTRA signal is required only to ensure the E-UTRA link to the DUT in the EN-DC operation. The Test System shall provide a stable and noise-free E-UTRA signal without need of precise propagation modelling, path loss and polarization control. Further details of the E-UTRA signal configuration are not defined as part of the cell specific test parameters, since the E-UTRA link is not under performance verification and shall not affect the test result unless otherwise specifically stated in the test case.",,
