,SRS.1 TDD,SRS.4 TDD,PDC-SRS.1,POS-SRS.1,
Field,Value,,,,Comment
c-SRS,12,12,"Same as NRB,c in the test case","Same as NRB,c in the test case",
b-SRS,0,0,0,n.a.,
b-hop,0,0,0,n.a.,Frequency hopping is disabled
groupOrSequenceHopping,neither,neither,neither,neither,No group or sequence hopping
freqDomainPosition,0,0,0,0,Frequency domain position of SRS
freqDomainShift,0,0,0,0,
pathlossReferenceRSssb-Index,0,0,0,0,SSB #0 is used for SRS path loss estimation
usage,antennaSwitching,antennaSwitching,usagePDC-r17,n.a.,
startPositionNote 1,1,1,5,5,resourceMapping setting
nrofSymbols Note 1,1,1,4,4,
repetitionFactor,n1,n1,n.a.,n.a.,without repetition.
transmissionComb,n2,n2,n4,n4,
combOffset-n2,0,0,0,0,transmissionComb setting
cyclicShift-n2,0,0,0,0,
nrofSRS-Ports Note 1,port1,port1,port1,port1,Number of antenna ports used for SRS transmission
resourceType,Periodic,Aperiodic,Periodic,Periodic,
periodicityAndOffset-p Note 1,"sl40, 1",N/A,"sl160, 20","sl160, 20",SRS transmission periodicity
"NOTE 1:For test cases in clauses A.4.5.2.11, A.4.5.2.12, A.6.5.2.3, A.6.5.2.4, the startPosition, nrofSymbols, nrofSRS-Ports, periodicityAndOffset-p are specified in each test cases.",,,,,
