,CSI-RS.1.1A TDD,CSI-RS.1.2A TDD,CSI-RS.1.3A TDD
Resource Type,periodic,aperiodic,periodic
Resource Set Config,,,
nzp-CSI-ResourceSetId,1,1,1
repetition,off,off,off
aperiodicTriggeringOffset,n.a.,0,n.a.
trs-Info,n.a.,n.a.,n.a.
Resource Config,,,
nzp-CSI-RS-ResourceId,12 for resource #0,22 for resource #0,14 for resource #0
,,,
,,,
,,,
,13 for resource #1,23 for resource #1,15 for resource #1
,,,
,,,
,,,
powerControlOffset,0,0,0
powerControlOffsetSS,db0,db0,db0
scramblingID,0,0,0
Period (slots),slot20,n.a.,slot10
Offset,1,n.a.,2
qcl-InfoPeriodicCSI-RS,n.a.,n.a.,n.a.
,,,
frequencyDomainAllocation,0001,0001,0001
nrofPorts,1,1,1
firstOFDMSymbolInTimeDomain,6 for resource #0,7 for resource #0,6 for resource #0
,,,
,,,
,,,
,10 for resource #1,11 for resource #1,10 for resource #1
,,,
,,,
,,,
cdm-Type,noCDM,noCDM,noCDM
density,3,3,3
startingRB,0,0,0
nrofRBs,276 (Note 1),276 (Note 1),276 (Note 1)
"NOTE 1:If the configured value of PRBs is larger than the width of the corresponding BWP relevant for the test case, the Test Equipment shall implement CSI-RS only in the width of that BWP.",,,
