Clause,Test case slogan
"A.20.1.3, A.20.1.4",Cell reselection to FR1 intra-frequency NR cell for 1Rx/2Rx RedCap UE configured with feature for enhanced requirements
"A.20.1.5, A.20.1.6",Time-based measurement initiation to FR1 intra-frequency NR cell reselection for 1Rx/2Rx RedCap UE
"A.20.1.7, A.20.1.8",Location-based measurement initiation to FR1 inter-frequency NR cell reselection for 1Rx/2Rx RedCap UE
"A.20.2.1.7, A.20.2.1.8",Intra-frequency SAN time-based conditional Handover from FR1 to FR1 for 1Rx/2Rx RedCap UE with NTN
"A.20.2.1.9, A.20.2.1.10",Inter-frequency SAN distance-based conditional Handover from FR1 to FR1 for 1Rx/2Rx RedCap UE with NTN
A.20.3.1.1,NR UE Transmit Timing Test for FR1
"A.20.5.1.1, A.20.5.1.2",SA event triggered reporting tests without gap under non-DRX for 1Rx/2Rx RedCap UE
"A.20.5.1.3, A.20.5.1.4",SA event triggered reporting tests without gap under DRX for 1Rx/2Rx RedCap UE
"A.20.5.1.5, A.20.5.1.6",SA event triggered reporting tests without gap under non-DRX with SSB index reading for 1Rx/2Rx RedCap UE
"A.20.5.1.7, A.20.5.1.8",SA event triggered reporting tests with single measurement gap under non-DRX for satellite access for 1Rx/2Rx RedCap UE
"A.20.5.1.9, A.20.5.1.10",SA event triggered reporting tests with FNO concurrent gaps under DRX for satellite access for 1Rx/2Rx RedCap UE
"A.20.5.1.11, A.20.5.1.12",SA event triggered reporting tests with PPO concurrent gaps under non-DRX with SSB index reading for satellite access for 1Rx/2Rx RedCap UE with NTN
"A.20.5.2.5, A.20.5.2.6",SA event triggered reporting tests for FR1 without SSB time index detection when DRX is not used with two gaps in fully non-overlapped for 1Rx/2Rx RedCap UE with satellite access
"A.20.5.2.7, A.20.5.2.8",SA event triggered reporting tests for FR1 without SSB time index detection when DRX is not used with two gaps in partially partial overalpping for 1Rx/2Rx RedCap UE with satellite access
"A.20.6.3.1, A.20.6.3.2",SA intra-frequency measurement accuracy with FR1 serving cell and FR1 target cell for 1Rx/2Rx RedCap UE
"A.20.6.3.3, A.20.6.3.4",SA Inter-frequency measurement accuracy with FR1 serving cell and FR1 target cell for 1Rx/2Rx RedCap UE
"A.20.6.4.1, A.20.6.4.2",SSB based L1-RSRP measurement for 1Rx/2Rx RedCap UE
"A.20.6.4.3, A.20.6,4.4",CSI-RS based L1-RSRP measurement on resource set with repetition off for 1Rx/2Rx RedCap UE
