,CSI-RS.3.1 TDD,CSI-RS.3.2 TDD,CSI-RS.3.3 TDD,CSI-RS.3.4 TDD,CSI-RS.3.5 TDD,CSI-RS.3.6 TDD
Resource Type,periodic,periodic,aperiodic,aperiodic,periodic,periodic
Resource Set Config,,,,,,
nzp-CSI-ResourceSetId,0,0,0,0,0,0
repetition,n.a.,off,off,on,n.a.,off
aperiodicTriggeringOffset,n.a.,n.a.,4,4,n.a.,n.a.
trs-Info,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Resource Config,,,,,,
,,0 for resource #0,0 for resource #0,0 for resource #0,,2 for resource #0
,,,,1 for resource #1,,
,,,,2 for resource #2,,
,,,,3 for resource #3,,
nzp-CSI-RS-ResourceId,0 for resource #0,1 for resource #1,1 for resource #1,4 for resource #4,0 for resource #0,3 for resource #1
,,,,5 for resource #5,,
,,,,6 for resource #6,,
,,,,7 for resource #7,,
powerControlOffset,0,0,0,0,0,0
powerControlOffsetSS,db0,db0,db0,db0,db0,db0
scramblingID,0,0,0,0,0,0
Period (slots),slot40,slot80,n.a.,n.a.,slot320,slot80
Offset,8,16,n.a.,n.a.,8,16
qcl-InfoPeriodicCSI-RS,TCI.State.0,TCI.State.0,n.a.,n.a.,TCI.State.0,TCI.State.0
,,TCI.State.1,,,,TCI.State.1
frequencyDomainAllocation,000001,0001,0001,0001,000001,0100
nrofPorts,2,1,1,1,1,1
,,6 for resource #0,6 for resource #0,0 for resource #0,,6 for resource #0
,,,,1 for resource #1,,
,,,,2 for resource #2,,
,,,,3 for resource #3,,
firstOFDMSymbolInTimeDomain,5 for resource #0,10 for resource #1,10 for resource #1,4 for resource #4,5 for resource #0,10 for resource #1
,,,,5 for resource #5,,
,,,,6 for resource #6,,
,,,,7 for resource #7,,
cdm-Type,FD-CDM2,noCDM,noCDM,noCDM,FD-CDM2,noCDM
density,1,3,3,3,1,3
startingRB,0,0,0,0,0,0
nrofRBs,276 (Note 1),276 (Note 1),276 (Note 1),276 (Note 1),276 (Note 1),276 (Note 1)
"NOTE 1:If the configured value of PRBs is larger than the width of the corresponding BWP relevant for the test case, the Test Equipment shall implement CSI-RS only in the width of that BWP.",,,,,,
