Parameter,Unit,Value
Reference channel,,CD.1A HD
Sidelink transmission mode,,2
Channel bandwidth,MHz,Note1
Allocated PSSCH resource blocks,,10
Number of PSSCH symbols per slot,,10
Modulation,,QPSK
Target Code Rate,,1/3
Information Bit Payload (Transport block size),Bits,672
Transport block CRC,Bits,24
Number of PSSCH HARQ retransmissions,,0
Binary Channel Bits,Bits,2160
NOTE 1:    Channel bandwidth depends on test configuration.NOTE 2:    2nd state SCI and PSFCH are not allocated per slot.,,
