Parameter,Unit,Value
Reference channel,,TRS.1.2 TDD
Bandwidth,,BW of Active BWPNote 1
SCS,kHz,30
First subcarrier index in the PRB used for CSI-RS,,"k0=0 for CSI-RS resource 1,2,3,4"
First OFDM symbol in the slot used for CSI-RS,,l0 = 5 for CSI-RS resource 1 and 3l0 = 9 for CSI-RS resource 2 and 4
Number of CSI-RS ports (X),,"1 for CSI-RS resource 1,2,3,4"
CDM Type,,"‘No CDM’ for CSI-RS resource 1,2,3,4"
Density (ρ),,"3 for CSI-RS resource 1,2,3,4"
CSI-RS periodicity,slots,"40 for CSI-RS resource 1,2,3,4"
CSI-RS offset,slots,20 for CSI-RS resource 1 and 221 for CSI-RS resource 3 and 4
EPRE ratio to SSS,dB,0Note 2
TCI state,,TCI.State.0 Note 3
"NOTE 1:BW of TRS is configured same as the BW size of UE active BWP in the RRM test cases.NOTE 2:Unless otherwise specified in the test case.NOTE 3:If unified TCI states are configured, the TCI state ID is defined in each test case and from A.3.16A Unified TCI state Configuration.",,
