Parameter,Unit,Value,,,,,,
Reference channel,,CCR.1.1 CCA,CCR.1.2 CCA,CCR.1.3 CCA,,,,
Channel bandwidth,MHz,40,40,40,,,,
Subcarrier spacing,kHz,30,30,30,,,,
Allocated resource blocks for CORESET Note 3,,24,24,18,,,,
Number of transmitter antennas,,1,1,1,,,,
Duration of CORESET,symbols,2,2,2,,,,
REG bundle size,,6,6,6,,,,
DMRS precoder granularity,,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,,,,
CCE to REG mapping,,Interleaved,Interleaved,Interleaved,,,,
Interleave n_shift,,0,0,0,,,,
Interleave size,,2,2,2,,,,
Beamforming Pre-Coder,,N/A,N/A,N/A,,,,
Aggregation level,CCE,4,8,4,,,,
DCI formats,,Note 1,Note 1,Note 1,,,,
Payload size (without CRC),bits,Note 2,Note 2,Note 2,,,,
NOTE 1:DCI format shall depend upon the test configuration.NOTE 2:Payload size shall depend upon the test configuration.NOTE 3:Allocated in the same resource blocks where the associated RMC is scheduled.,,,,,,,,
