Parameter,Unit,Value,,,,,,,,,
Reference channel,,CCR.1.1 FDD,CCR.1.2 FDD,CCR.1.3 FDD,CCR.1.4 FDD,CCR.1.5 FDD,CCR.1.6 FDD,CCR.1.7 FDD,CCR.1.8 FDD,,
Channel bandwidth,MHz,Defined in test case,Defined in test case,Defined in test case,Defined in test case,10,3 MHz,3 MHz,5 MHz,,
Subcarrier spacing,kHz,15,15,15,15,15,15,15,15,,
Allocated resource blocks for CORESET Note 3,,24,18,24,18,24,12,12,18,,
Number of transmitter antennas,,1,1,1,1,1,1,1,1,,
Duration of CORESET,symbols,2,2,2,2,2,2,2,3,,
monitoringSymbolsWithinSlot,,10000000000000,10000000000000,10000000000000,10000000000000,00100000000000,10000000000000,10000000000000,10000000000000,,
REG bundle size,,6,6,6,6,6,6,6,6,,
DMRS precoder granularity,,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,,
CCE to REG mapping,,Interleaved,Interleaved,Interleaved,Interleaved,Interleaved,Interleaved,Non-Interleaved,Interleaved,,
Interleave n_shift,,0,0,0,0,0,0,0,0,,
Interleave size,,2,2,2,2,2,2,N/A,2,,
Beamforming Pre-Coder,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Aggregation level,CCE,4,2,8,4,4,4,4,8,,
DCI formats,,Note 1,Note 1,Note 1,Note 1,Note 1,1-0,1-0,1-0,,
Payload size (without CRC),bits,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,Note 2,,
NOTE 1:DCI format shall depend upon the test configuration.NOTE 2:Payload size shall depend upon the test configuration.NOTE 3:Allocated in the resource blocks where the associated RMC is scheduled.,,,,,,,,,,,
