Field,Value,Comment
SL-ResourcePool-r16,,
sl-PSCCH-Config-r16,Set according to Table A.3.21.3-1,
sl-PSSCH-Config-r16,Set according to Table A.3.21.3-2,
sl-PSFCH-Config-r16,Not present,
sl-SyncAllowed-r16,,Indicates the allowed synchronization reference(s) which is (are) allowed to use the configured resource pool.
gnss-Sync-r16,true,
gnbEnb-Sync-r16,true,
ue-Sync-r16,true,
sl-SubchannelSize-r16,n10,Subchannel bandwidth is 10 PRB
sl-StartRB-Subchannel-r16,0,The offset of lowest PRB index of the subchannel with the lowest index in the resource pool with respect to the lowest PRB index of a SL BWP
sl-NumSubchannel-r16,1,Number of subchannels in resource pool
sl-UE-SelectedConfigRP-r16,,
sl-Thres-RSRP-List-r16,Set according to the specific test configuration,"Indicates a list of 64 thresholds, and the threshold should be selected based on the priority in the decoded SCI and the priority in the SCI to be transmitted. A resource is excluded if it is indicated or reserved by a decoded SCI and PSSCH RSRP in the associated data resource is above a threshold."
sl-MultiReserveResource-r16,Not present,
sl-MaxNumPerReserve-r16,n2,At most 2 PSCCH/PSSCH resources can be reserved by a single SCI.
sl-SensingWindow-r16,ms100,Length of resource sensing window specified in TS 38.214 [26] subclause 8.1.4. which is 100 ms.
sl-SelectionWindowList-r16,,Parameter that determines the end of the selection window for each priority level8 entries
"SL-SelectionWindowConfig-r16[k,k=1..8]",,entry k
sl-Priority-r16,k,for priority level = k
sl-SelectionWindow-r16,n20,"Length of resource selection window specified in TS 38.214 [26] subclause 8.1.4. which is 20∙2μslots, where µ=0,1,2,3 refers to SCS 15,30,60,120 kHz respectively"
sl-ResourceReservePeriodList-r16,Not present,
sl-RS-ForSensing-r16,pssch,PSSCH-RSRP measurement is used in the sensing operation.
sl-RxParametersNcell,Not present,
sl-ZoneConfigMCR-List-r16,Not present,
sl-PreemptionEnable-r16,enabled,
sl-MinMaxMCS-List-r16,,1 entry
SL-MinMaxMCS-Config-r16[1],,Entry 1
sl-MCS-Table-r16,qam64,TS 38.214 [26] Table 5.1.3.1-1 is the MCS table used in the resource pool.
sl-TimeResource-r16,11111111111111111111,Every slot in a period of 20 slots during a SFN or DFN cycle can be used for sidelink
SL-TxPercentageList-r16,,
SL-TxPercentageConfig-r16,,
sl-TxPercentage-r16,p20,"Indicates the portion of candidate single-slot PSSCH resources over the toal resources. Value p20 corresponds to 20%, and so on."
