Parameter,Unit,Value,,,,,,
Reference channel,,CCR.2.1 FDD,,,,,,
Channel bandwidth,MHz,100,,,,,,
Subcarrier spacing,kHz,120,,,,,,
Allocated resource blocks for CORESET Note 3,,24,,,,,,
Number of transmitter antennas,,1,,,,,,
Duration of CORESET,symbols,1,,,,,,
monitoringSlotPeriodicityAndOffset Note 4,,sl1600,,,,,,
monitoringSymbolsWithinSlot,,11000000000000,,,,,,
REG bundle size,,6,,,,,,
DMRS precoder granularity,,Same as REG bundle size,,,,,,
CCE to REG mapping,,Interleaved,,,,,,
Interleave n_shift,,0,,,,,,
Interleave size,,2,,,,,,
Beamforming Pre-Coder,,N/A,,,,,,
Aggregation level,CCE,4,,,,,,
DCI formats,,Note 1,,,,,,
Payload size (without CRC),bits,Note 2,,,,,,
NOTE 1:DCI format shall depend upon the test configuration.NOTE 2:Payload size shall depend upon the test configuration.NOTE 3:Allocated in the resource blocks where the associated RMC is scheduled.NOTE 4:monitoringSlotPeriodicityAndOffet is set to “sl1 0” if it is specifically stated that cell(s) configured with one of the control channel RMCs above shall transmit PDCCHs continuously.,,,,,,,,
