Parameter,Unit,Value,,,,,,
Reference channel,,SR.1.1 CCA,,,,,,
Channel bandwidth,MHz,40,,,,,,
Number of transmitter antennas,,1,,,,,,
Allocated resource blocks for PDSCH Note 1,,24,,,,,,
Allocated slots per Radio Frame,,,,,,,,
Radio frame containing SSB,slots,Note 5,,,,,,
Radio frame not containing SSB,slots,Note 7,,,,,,
MCS table,,64QAM,,,,,,
MCS index,,4,,,,,,
Modulation,,QPSK,,,,,,
Target Coding Rate,,1/3,,,,,,
Number of control symbols,,2,,,,,,
PDSCH mapping type,,Type A,,,,,,
Information Bit Payload,,,,,,,,
For slots with RMSI Note 2,bits,1608,,,,,,
For slots without RMSI,bits,1864,,,,,,
Number of Code Blocks per slot,,1,,,,,,
Binary Channel Bits Per slot,,,,,,,,
"For slots with RMSI Note 2, Note 4",bits,5184,,,,,,
For slots without RMSI Note 6,bits,6048,,,,,,
"NOTE 1:Allocated outside the discovery burst transmission window in time and in resource blocks which do not overlap with the resource blocks allocated for SS/PBCH block.NOTE 2:PDSCH is scheduled on the slots with RMSI.NOTE 3:If necessary the information bit payload size can be adjusted to facilitate the test implementation. The payload sizes are defined in TS 38.213 [3].NOTE 4:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 2.NOTE 5:PDSCH is not scheduled in slots containing SSB according to the SSB configuration used in the test. SSB configurations are defined in clause A.3.10A.NOTE 6:Derived based on the PDSCH DMRS assumption: dmrs-TypeA-Position=2, dmrs-Type=1, dmrs-AdditonalPositions=2, maxLength=1, Antenna port index: 1000, and Number of PDSCH DMRS CDM group(s) without data: 1.NOTE 7:PDSCH is transmitted during the RMC burst as specified in clause A.3.1A.5.",,,,,,,,
