Parameter,Unit,Value,,,,,,
Reference channel,,CR.1.1 FDD,CR.1.2 FDD,CR.1.3 FDD,CR.1.4 FDD,,,
Channel bandwidth,MHz,Defined in test case,Defined in test case,Defined in test case,Defined in test case,,,
Subcarrier spacing for RMSI CORESET,kHz,15,15,15,15,,,
Allocated resource blocks for RMSI CORESET,,24(Note 8),12(Note 9),15(Note 10),20(Note 11),,,
Subcarrier spacing for SSB,kHz,15,15,15,15,,,
SSB and RMSI CORESET multiplexing configuration,,Pattern 1,Pattern 1,Pattern 1,Pattern 1,,,
"Offset between SSB and RMSI CORESET Note 3, 7",PRB,0 (Note 8),0 (Note 9),0 (Note 10),0 (Note 11),,,
Configuration of PDCCH monitoring occasions for RMSI CORESET Note 4,,Index 4,Index 4,Index 4,Index 4,,,
Number of transmitter antennas,,1,1,1,1,,,
Duration of RMSI CORESET,symbols,2(Note 8),2(Note 9),3(Note 10),3(Note 11),,,
DCI Format Note 1,,Note 2,Note 2,Note 2,Note 2,,,
Aggregation level,CCE,8,4,8,8,,,
DMRS precoder granularity,,6,Same as REG bundle size,Same as REG bundle size,Same as REG bundle size,,,
REG bundle size,,6,6,6,6,,,
Mapping from REG to CCE,,Distributed(Note 8),Distributed(Note 9),Non-Distributed(Note 10),Distributed(Note 11),,,
Cell ID,,Note 5,Note 5,Note 5,Note 5,,,
Payload (without CRC),bits,Note 6,Note 6,Note 6,Note 6,,,
"NOTE 1:DCI formats are defined in TS 38.212 [8].NOTE 2:DCI format shall depend upon the test configuration.NOTE 3:The offset is defined with respect to the subcarrier spacing of the CORESET from the smallest PRB index of RMSI CORESET to the smallest PRB index of the common PRB overlapping with the first PRB of the SS/PBCH block.NOTE 4:The configuration of PDCCH monitoring occasions for RMSI CORESET is defined in table 13-11 in TS 38.213 [3].NOTE 5:Cell ID shall depend upon the test configuration.NOTE 6:Payload size shall depend upon the test configuration.NOTE 7:Other values can be used to align with GSCN [13] as long as SSB does not overlap the RMC.NOTE 8: The configuration of set of resource blocks, slot symbols, RB offset and REG to CCE mapping of control resource set for Type0-PDCCH search space corresponds to index 0 in table 13-1 in TS 38.213 [3]NOTE 9: The configuration of set of resource blocks, slot symbols, RB offset and REG to CCE mapping of control resource set for Type0-PDCCH search space corresponds to index 0 in table 13-0 in TS 38.213 [3] NOTE 10: The configuration of set of resource blocks, slot symbols, RB offset and REG to CCE mapping of control resource set for Type0-PDCCH search space corresponds to index 8 in table 13-0 in TS 38.213 [3] NOTE 11: The configuration of set of resource blocks, slot symbols, RB offset and REG to CCE mapping of control resource set for Type0-PDCCH search space corresponds to index 11 in table 13-0 in TS 38.213 [3]",,,,,,,,
